# script: ch05_minimisation.py
# seeds: 42, 7, 123, 2024, 5
# n: 1200
# theta_deg: 35.0
# n_starts: 16
# max_iter: 200
seed,construction,sense,n,theta_deg,eigengap,angle_target,angle_gaussian_axis,dvar_at_solution,dvar_target_axis,dvar_gaussian_axis,angle_PCA,angle_FastICA
42,bimodal,max,1200,35.0,0.09376984414104672,2.3966164063366167,87.60338359366334,0.7684658628448674,0.7677389608080559,0.6177652908615723,25.753191544776655,3.4502696172227063
42,bimodal,min,1200,35.0,0.09376984414104672,75.05441308694277,14.94558691305719,0.6127560573323079,0.7677389608080559,0.6177652908615723,25.753191544776655,3.4502696172227063
42,heavy,max,1200,35.0,0.18145640679353725,74.9995201561392,15.000479843860777,0.6246270565231291,0.46876845262347444,0.6177652908615723,83.44465673131513,4.439922184368211
42,heavy,min,1200,35.0,0.18145640679353725,1.7435516865138512,88.25644831348617,0.4684644075797497,0.46876845262347444,0.6177652908615723,83.44465673131513,4.439922184368211
7,bimodal,max,1200,35.0,0.061741716333787666,2.647899631860674,87.35210036813922,0.737335088770701,0.7365600942215808,0.5984178819634157,11.05546393474224,1.6430408054809507
7,bimodal,min,1200,35.0,0.061741716333787666,89.3801211049513,0.619878895047432,0.5984098751858388,0.7365600942215808,0.5984178819634157,11.05546393474224,1.6430408054809507
7,heavy,max,1200,35.0,0.06317355185728935,68.18215964156974,21.817840358430256,0.6053878481448396,0.4860150718325844,0.5984178819634157,69.60272096870219,0.5000972284897077
7,heavy,min,1200,35.0,0.06317355185728935,1.6719879809424378,88.32801201905744,0.48585671809558834,0.4860150718325844,0.5984178819634157,69.60272096870219,0.5000972284897077
123,bimodal,max,1200,35.0,0.09649182314909022,1.701488385383007,88.2985116146169,0.7312648142302592,0.7309429294861938,0.6362797231164804,62.36675167584968,2.336521238769225
123,bimodal,min,1200,35.0,0.09649182314909022,56.11995369119783,33.88004630880216,0.6188898295105667,0.7309429294861938,0.6362797231164804,62.36675167584968,2.336521238769225
123,heavy,max,1200,35.0,0.13818113585602554,87.35019892275562,2.6498010772441267,0.6364304928671048,0.4622666249319865,0.6362797231164804,80.52609816334159,5.066272013792032
123,heavy,min,1200,35.0,0.13818113585602554,1.00563470561723,88.99436529438248,0.4621766235131698,0.4622666249319865,0.6362797231164804,80.52609816334159,5.066272013792032
2024,bimodal,max,1200,35.0,0.04311971020176364,0.13072569502491901,89.86927430497167,0.7531600094097226,0.753157566013137,0.6358521988453699,89.3063726343016,0.9268694920111544
2024,bimodal,min,1200,35.0,0.04311971020176364,69.64771207146826,20.35228792853173,0.6339865589349654,0.753157566013137,0.6358521988453699,89.3063726343016,0.9268694920111544
2024,heavy,max,1200,35.0,0.25096720230720904,84.92001876108584,5.079981238914056,0.636557643506698,0.4534189792557545,0.6358521988453699,83.58734700557184,0.7306134347595201
2024,heavy,min,1200,35.0,0.25096720230720904,2.54000373212659,87.45999626787321,0.4527321982895783,0.4534189792557545,0.6358521988453699,83.58734700557184,0.7306134347595201
5,bimodal,max,1200,35.0,0.05679912958723221,0.8217934967794397,89.17820650321983,0.7617151956944933,0.7616363285037124,0.6220230018849203,7.561741731612165,2.0370664662923352
5,bimodal,min,1200,35.0,0.05679912958723221,83.82748452089778,6.172515479102132,0.6218353522365763,0.7616363285037124,0.6220230018849203,7.561741731612165,2.0370664662923352
5,heavy,max,1200,35.0,0.22128186400299898,74.20143846218835,15.798561537811645,0.6285940748596304,0.47916820776282393,0.6220230018849203,0.9299778879874815,2.9025243149881987
5,heavy,min,1200,35.0,0.22128186400299898,4.207270058134719,85.79272994186509,0.4775527087795455,0.47916820776282393,0.6220230018849203,0.9299778879874815,2.9025243149881987
