# script: ch06_shengyin_on_panel.py
# seeds: 0
# n_perturb: 500
seed,maturity,d,mspe_dcor,mspe_sy,DM,p,sy_seconds,sy_objective
0,2,1,3.5605535479103727,3.559938871884507,-0.04436325395067444,0.9646148518946212,0.198,0.481283
0,2,2,3.4214191068045743,3.368393236647976,-2.0248709692393834,0.042880615289262236,0.252,0.472111
0,2,3,3.5036606819394613,3.677385060162627,1.8044947763913288,0.07115377731488826,0.379,0.453691
0,2,4,3.768202130305378,3.844167579443975,1.7382322806541284,0.08216989327583546,0.499,0.433176
0,2,5,3.784364452116871,3.7019199208342695,-1.2905081892208263,0.19687427034885574,0.76,0.417221
0,2,6,3.6711240712496833,3.68955981973508,1.4436542098914669,0.1488362678756876,0.878,0.399652
0,2,7,3.6722287045963884,3.6845564198367167,2.1999119147217456,0.027813145211337265,1.116,0.383657
0,3,1,12.451927452676365,12.34743460563237,-1.7055085905422236,0.08809961148930467,0.188,0.607681
0,3,2,11.9418667277996,12.019084558611823,0.8637272531760487,0.38773773870255823,0.24,0.603017
0,3,3,12.144146790814698,12.679850731018501,1.810249820925468,0.07025705475020128,0.372,0.583179
0,3,4,12.591853558324035,13.125078979749823,1.8921827490506247,0.05846663601985602,0.561,0.553997
0,3,5,12.61158737893688,12.874944542175351,1.1970119577316818,0.23130189400536771,0.795,0.527237
0,3,6,12.735503999278794,12.769522968613972,0.5136536669679076,0.6074941511036958,0.921,0.504938
0,3,7,12.732491714269113,12.700028690287223,-0.866712432961286,0.3860995915138623,1.122,0.491317
0,4,1,25.665696298639524,25.30421938778359,-2.2821191681664206,0.022482305616994047,0.201,0.680107
0,4,2,24.392045699576155,24.129626243902983,-2.1451522710088455,0.03194067430193992,0.238,0.679009
0,4,3,24.31023566688115,25.510893295951334,1.5430855043539693,0.12281003132902812,0.388,0.654177
0,4,4,24.32560093096597,26.603788651425532,2.2458672569553406,0.024712511721974195,0.722,0.621574
0,4,5,26.352231296152432,26.21081678423674,-0.5470199584615351,0.5843650203897728,0.958,0.595353
0,4,6,26.284875560797964,26.124159673415164,-0.8367938829571152,0.4027084363823821,0.765,0.570417
0,4,7,26.28548473518914,25.923697293768907,-1.158048101434721,0.24684440736046964,1.12,0.553387
0,5,1,37.93229183004274,37.79317519462904,-0.6094069927756354,0.5422547039971184,0.187,0.735581
0,5,2,36.08377463603349,36.033682646171286,-0.20833264684905672,0.8349692423356343,0.309,0.742004
0,5,3,36.90267846903615,38.43719048731916,1.5192874797722276,0.1286901498220323,0.369,0.716387
0,5,4,40.22001686065933,40.216704654548415,-0.010261186503195598,0.9918129013864279,0.716,0.683886
0,5,5,39.932903625249004,40.047721685495304,0.37398639356410435,0.708414439242516,0.814,0.648737
0,5,6,39.76497413599294,39.455811128459054,-0.6311965587116298,0.5279120117922387,0.95,0.627835
0,5,7,39.18446264501314,39.05299637250391,-1.4466242047976765,0.14800220324031432,1.014,0.608912
