# script: ch06_dcor_linear_vs_poly.py
# seeds: 0
maturity,d,r2_poly,r2_lin,mspe_poly,mspe_lin,DM,p
2,1,0.16979107605932775,0.15374893251231236,3.7493221443306677,3.82177037068538,-1.6806768881392977,0.09282569216245062
2,2,0.1841700427748696,0.16930372633880175,3.6843850221623358,3.751523073574512,-1.6261957045264026,0.1039080296699253
2,3,0.1454687354018238,0.13605691601135583,3.859164724673312,3.9016696193347964,-1.7923295345869013,0.07308019496292983
2,4,0.13832999007520996,0.13072293175175098,3.8914041467801783,3.925758526024839,-1.885636748097507,0.05934392181180659
2,5,0.13625897128954323,0.12833433612345768,3.900757113690686,3.9365457076905126,-1.7092765521122022,0.0873997345486015
2,6,0.14168904121369352,0.1299987605581432,3.876234272722843,3.9290289691797886,-1.6523073256842356,0.09847191668641919
2,7,0.1437237199041026,0.13084831314579515,3.867045422000379,3.925192288751761,-1.6552084639498017,0.09788221893920679
2,8,0.1323948480086864,0.12009562206591606,3.918207953554671,3.9737527192824005,-1.6143190328574164,0.10645824383254121
3,1,0.1911190196613909,0.16706372557127913,12.923437466597553,13.307767295670844,-1.723354056788028,0.08482451778174971
3,2,0.20650635333121525,0.18682315350766832,12.677595062964325,12.992072233580537,-1.5713270496453862,0.11610670122168854
3,3,0.17028387532884492,0.15076701919241908,13.256319177793774,13.568138686416779,-1.6226636837853514,0.10466131871910056
3,4,0.16497474425896874,0.14710288529625482,13.341142810752473,13.62668030926035,-1.5548368567105733,0.11998492880006939
3,5,0.1746198618608189,0.1488801183036198,13.187043410203692,13.598285576051714,-1.8246003257835357,0.06806136423318443
3,6,0.1744043713283141,0.14857161677129882,13.19048628806726,13.603214484455062,-1.8285066776863519,0.0674735444053336
3,7,0.17409880133826583,0.1471519911355631,13.195368359415266,13.625895748541318,-1.8584071672436482,0.0631112152541804
3,8,0.16945075946152188,0.14030242229380763,13.269629814433138,13.735330853026685,-1.8596274100852137,0.06293825854480994
4,1,0.17859294071707543,0.16008831838016913,26.986448274534595,27.594397801984073,-0.9181133926601118,0.3585595040394258
4,2,0.1957152874677789,0.18381479098409947,26.423911929485545,26.814889982533273,-0.703267981123987,0.4818887607182929
4,3,0.17043167072583498,0.15683999838312357,27.254578050124046,27.701117872853604,-0.7466031332177151,0.4553031565584602
4,4,0.1685456845714115,0.15542648691532257,27.316540103198278,27.7475572766549,-0.737585468408028,0.4607663885782891
4,5,0.17694718143598664,0.15386171264831472,27.04051793124075,27.798966257550187,-1.6514752117970404,0.09864157824663367
4,6,0.17726382784892425,0.15301501126479733,27.03011485283098,27.826783723728546,-1.726936521590944,0.08417906445337442
4,7,0.17716638058365397,0.14896774661614898,27.033316378254934,27.959752264550986,-1.9487935344901026,0.051320086205990156
4,8,0.17371564007585716,0.14468678823157122,27.146686757983343,28.10039856251645,-1.9320635321017035,0.053351664766800866
5,1,0.1536078970291257,0.15406637115707178,41.70874892378184,41.68615610631174,0.01414897569065115,0.9887111274063549
5,2,0.16651121750789577,0.17497830840655393,41.07289545558067,40.655651760646144,0.2540161499281101,0.7994830813833937
5,3,0.14171958356773395,0.14932735832264354,42.294584589719605,41.919686518237796,0.21728657393818923,0.8279850196025771
5,4,0.14450890901275892,0.1509629392592604,42.157131423220406,41.839087899240255,0.19793984775836243,0.8430921269272604
5,5,0.1610744997710145,0.15075527562121815,41.34080756660004,41.84932120660371,-0.5796055559416343,0.5621806454705323
5,6,0.16113484793963018,0.1512525596903168,41.3378337125152,41.82481590190034,-0.5352577199921843,0.592471658286903
5,7,0.16203674761987552,0.14696666978900896,41.29338964553282,42.03601719404516,-0.9765235672208381,0.3288050748992317
5,8,0.15858833965160257,0.14286158846329367,41.46332126662264,42.23830855017311,-1.0324337051257322,0.3018689892228106
