# script: ch06_full_grid.py
# seeds: 0
maturity,d,cp,anchor,method,DM,p,mspe_anchor,mspe_method
2,1,False,PCA+poly(LN-winner),SAVE+poly,-0.9537170280846222,0.3402268983846566,3.8633797332649595,4.185997306871756
2,1,False,PCA+poly(LN-winner),SIR+linear,-0.794597295874228,0.42684779183490473,3.8633797332649595,4.071187781413635
2,1,False,PCA+poly(LN-winner),SIR+poly,-1.344986338062797,0.17862964652849622,3.8633797332649595,4.3160249598109734
2,1,True,PCA+poly(LN-winner),DcorSDR(seqX)+linear,-1.5259004933173734,0.1270346478279698,2.3364872842024775,2.540778645727945
2,1,True,PCA+poly(LN-winner),DcorSDR(seqX)+poly,-1.2916606355510543,0.1964746953777421,2.3364872842024775,2.508790150174655
2,1,True,PCA+poly(LN-winner),DcorSDR(seqY)+linear,-1.5259004933173734,0.1270346478279698,2.3364872842024775,2.540778645727945
2,1,True,PCA+poly(LN-winner),DcorSDR(seqY)+poly,-1.2916606355510543,0.1964746953777421,2.3364872842024775,2.508790150174655
2,1,True,PCA+poly(LN-winner),"DvarSDR(joi,plain)+linear",-1.537882564939346,0.12407733101275475,2.3364872842024775,2.7136340247156574
2,1,True,PCA+poly(LN-winner),"DvarSDR(joi,plain)+poly",-1.2850804935159494,0.1987641572806953,2.3364872842024775,2.54966264575731
2,1,True,PCA+poly(LN-winner),"DvarSDR(joi,robust)+linear",-1.2951788426237336,0.1952585416587771,2.3364872842024775,2.8408126723338003
2,1,True,PCA+poly(LN-winner),"DvarSDR(joi,robust)+poly",-1.2453117851706221,0.21301716528788361,2.3364872842024775,2.9132986730402077
2,1,True,PCA+poly(LN-winner),"DvarSDR(seq,plain)+linear",-1.1748445831944072,0.24005689981645295,2.3364872842024775,2.620067394899532
2,1,True,PCA+poly(LN-winner),"DvarSDR(seq,plain)+poly",-1.3192707387452083,0.18707861662666248,2.3364872842024775,2.6617281539145274
2,1,True,PCA+poly(LN-winner),"DvarSDR(seq,robust)+linear",-1.3754981756757556,0.16897705091412618,2.3364872842024775,2.9456136324403484
2,1,True,PCA+poly(LN-winner),"DvarSDR(seq,robust)+poly",-1.1329850526503482,0.25722053040462445,2.3364872842024775,5.870917480223448
2,1,True,PCA+poly(LN-winner),INPCA(k2)+linear,-0.8970788475589185,0.3696768449112313,2.3364872842024775,2.65375258773766
2,1,True,PCA+poly(LN-winner),INPCA(k2)+poly,-0.9297814644853276,0.3524842451755401,2.3364872842024775,2.6663807427850754
2,1,True,PCA+poly(LN-winner),INPCA(k3)+linear,-1.0686395760366874,0.2852321082849696,2.3364872842024775,2.7747607040770994
2,1,True,PCA+poly(LN-winner),INPCA(k3)+poly,-1.054119447825804,0.29182823334129093,2.3364872842024775,2.766731711419391
