# script: ch04_known_start.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,dcor2_true,dcor2_found,dcor2_from_truth,angle_found,angle_from_truth,found_beats_truth
7,tanh,1.0,200,20,0.298619,0.397561,0.397315,27.0971,27.089,True
7,tanh,2.0,200,5,0.083459,0.126926,0.12693,33.2745,33.1091,True
7,tanh,2.0,200,20,0.066628,0.19295,0.192935,56.8938,57.1342,True
123,square,0.0,200,5,0.296424,0.297834,0.297834,2.3111,2.3108,True
123,square,0.0,200,20,0.262721,0.272703,0.272719,6.6639,6.8354,True
123,square,0.5,200,5,0.237965,0.240363,0.240365,3.3791,3.7515,True
123,square,0.5,200,20,0.206098,0.219567,0.219558,9.5393,9.3978,True
123,square,1.0,200,5,0.164174,0.166388,0.166424,4.0906,4.6486,True
123,square,1.0,200,20,0.138857,0.156966,0.15689,13.5065,13.0592,True
123,square,2.0,200,5,0.073126,0.07594,0.075988,13.7751,13.0685,True
123,square,2.0,200,20,0.071875,0.118423,0.103461,70.6617,29.7985,True
123,sine,0.0,200,5,0.052138,0.069265,0.052528,46.6745,1.0905,True
123,sine,0.0,200,20,0.014927,0.141741,0.017157,86.7234,3.7479,True
123,sine,0.5,200,5,0.028592,0.040684,0.028975,69.6936,1.3374,True
123,sine,0.5,200,20,0.010155,0.115638,0.11423,79.352,59.9469,True
123,sine,1.0,200,5,0.01768,0.021378,0.018081,74.1436,1.7327,True
123,sine,1.0,200,20,0.006758,0.087142,0.084818,65.5735,58.047,True
123,sine,2.0,200,5,0.011897,0.016582,0.01293,42.9771,7.1965,True
123,sine,2.0,200,20,0.007055,0.084758,0.084873,60.7819,59.93,True
123,abs,0.0,200,5,0.321734,0.322363,0.322365,1.244,1.2626,True
123,abs,0.0,200,20,0.279607,0.289072,0.289058,6.0579,5.8439,True
123,abs,0.5,200,5,0.167742,0.169268,0.16931,3.8302,3.5032,True
123,abs,0.5,200,20,0.158527,0.178056,0.177869,13.5215,14.008,True
123,abs,1.0,200,5,0.06492,0.068167,0.068177,13.2688,12.9698,True
123,abs,1.0,200,20,0.077452,0.127953,0.112013,69.6632,29.424,True
123,abs,2.0,200,5,0.017346,0.031947,0.03198,52.058,51.7811,True
123,abs,2.0,200,20,0.031795,0.106325,0.104985,66.596,67.3815,True
123,cubic,0.0,200,5,0.717336,0.719351,0.719365,2.5247,2.5422,True
123,cubic,0.0,200,20,0.765955,0.777444,0.777325,6.5816,6.8496,True
123,cubic,0.5,200,5,0.664925,0.670219,0.670206,4.7145,4.6174,True
123,cubic,0.5,200,20,0.710846,0.726976,0.726991,7.6021,7.6687,True
123,cubic,1.0,200,5,0.576291,0.584028,0.584029,6.5336,6.6253,True
123,cubic,1.0,200,20,0.603009,0.627926,0.627992,10.7786,10.5916,True
123,cubic,2.0,200,5,0.408457,0.417695,0.417685,8.8302,9.325,True
123,cubic,2.0,200,20,0.416542,0.456829,0.456855,17.2719,17.8026,True
123,tanh,0.0,200,5,0.91115,0.911497,0.91148,0.8548,0.9598,True
123,tanh,0.0,200,20,0.93399,0.939136,0.939162,4.1975,4.1168,True
123,tanh,0.5,200,5,0.64196,0.642802,0.642804,1.8532,1.767,True
123,tanh,0.5,200,20,0.724004,0.746631,0.746637,9.3535,9.2222,True
123,tanh,1.0,200,5,0.290686,0.29239,0.292382,4.0486,3.9943,True
123,tanh,1.0,200,20,0.445148,0.484909,0.484921,15.5948,15.2106,True
123,tanh,2.0,200,5,0.06725,0.068574,0.06858,7.0518,6.975,True
123,tanh,2.0,200,20,0.199311,0.256567,0.25644,28.0648,28.5565,True
2024,square,0.0,200,5,0.277287,0.286565,0.286562,5.9141,5.9667,True
2024,square,0.0,200,20,0.301416,0.310032,0.321434,15.766,9.8172,True
2024,square,0.5,200,5,0.223775,0.231142,0.231145,6.3591,6.3144,True
2024,square,0.5,200,20,0.238828,0.229811,0.272487,35.1974,15.423,False
2024,square,1.0,200,5,0.159822,0.166995,0.167005,7.3819,7.2536,True
2024,square,1.0,200,20,0.160111,0.193454,0.200121,31.0411,21.4591,True
2024,square,2.0,200,5,0.086068,0.094448,0.094467,10.116,10.5337,True
2024,square,2.0,200,20,0.066524,0.138338,0.138987,77.1614,70.0902,True
2024,sine,0.0,200,5,0.023522,0.033507,0.024059,48.2501,1.433,True
2024,sine,0.0,200,20,0.024067,0.094923,0.02606,76.7428,3.1438,True
2024,sine,0.5,200,5,0.01841,0.058809,0.018773,65.1718,1.7744,True
2024,sine,0.5,200,20,0.010819,0.079102,0.01428,84.0973,4.3759,True
2024,sine,1.0,200,5,0.009586,0.073433,0.073353,86.4044,85.5948,True
2024,sine,1.0,200,20,0.003163,0.099839,0.092346,85.0998,79.1397,True
2024,sine,2.0,200,5,0.006166,0.069982,0.07001,83.1638,82.9998,True
2024,sine,2.0,200,20,0.0,0.120274,0.116648,87.5596,86.3591,True
2024,abs,0.0,200,5,0.293003,0.302719,0.302769,5.6098,5.4742,True
2024,abs,0.0,200,20,0.317371,0.319077,0.335383,15.0083,8.1756,True
2024,abs,0.5,200,5,0.174259,0.182891,0.182889,7.0787,7.1262,True
2024,abs,0.5,200,20,0.167888,0.185486,0.20366,34.2607,16.7437,True
2024,abs,1.0,200,5,0.092729,0.10215,0.101835,9.7673,9.9477,True
2024,abs,1.0,200,20,0.066902,0.131831,0.134091,79.5798,70.279,True
2024,abs,2.0,200,5,0.04199,0.053374,0.05339,15.9171,15.5019,True
2024,abs,2.0,200,20,0.015121,0.120297,0.087327,82.3251,75.3119,True
2024,cubic,0.0,200,5,0.754262,0.762489,0.762491,4.8116,4.8157,True
2024,cubic,0.0,200,20,0.717571,0.734773,0.734844,8.2687,8.3387,True
2024,cubic,0.5,200,5,0.675601,0.683868,0.683869,5.2468,5.2976,True
2024,cubic,0.5,200,20,0.643795,0.671735,0.671778,11.7432,11.7801,True
2024,cubic,1.0,200,5,0.541893,0.552459,0.55246,6.8341,6.8302,True
2024,cubic,1.0,200,20,0.533547,0.577103,0.577086,16.9124,16.5716,True
2024,cubic,2.0,200,5,0.319179,0.335403,0.335377,11.6334,11.6647,True
2024,cubic,2.0,200,20,0.34341,0.417079,0.41709,29.1141,29.1454,True
2024,tanh,0.0,200,5,0.927451,0.933083,0.933062,3.6092,3.6927,True
2024,tanh,0.0,200,20,0.927786,0.937636,0.937553,5.4324,5.7246,True
