# script: ch05_robustness.py
# seeds: 42, 7, 123, 2024, 5
# n_starts: 4
frac,seed,MSS_plain,MSS_robust,MSS_PCA,MSS_FastICA,time_plain,time_robust
0.0,42,0.05006124328406725,0.7437761637697354,0.04152789217310121,0.04152789217310249,0.5258285999298096,8.584416627883911
0.0,7,0.042224148402898176,0.7627707965580497,0.02511600762638866,0.02511600762638877,0.1193089485168457,11.211697578430176
0.0,123,0.054108193533909055,0.769573829023467,0.03214131566326972,0.03214131566326961,0.18107891082763672,11.539246797561646
0.0,2024,0.035851310974353234,0.7846361057415392,0.02526959588070743,0.025269595880705986,0.1399993896484375,11.373947381973267
0.0,5,0.045549642539516266,0.6743202378306432,0.03515964487240392,0.03515964487240292,0.15100407600402832,10.794737815856934
0.05,42,0.31196099244070097,0.8898391679484678,0.9291178471679941,0.9291178471679937,0.23469257354736328,10.458187341690063
0.05,7,0.26767045498877373,0.7377243802865787,0.7864409879833276,0.7864409879833278,0.21198344230651855,9.216713666915894
0.05,123,0.08198017313899869,0.7338735087002504,0.9488786375696981,0.9488786375696985,0.18115568161010742,10.283488512039185
0.05,2024,0.1090666910561553,0.6454525945878056,0.8243368073348669,0.8243368073348674,0.22502398490905762,11.482144832611084
0.05,5,0.39620523745681135,0.883392171104314,0.8297929716748126,0.8297929716748129,0.24439644813537598,12.133853673934937
0.1,42,0.7212121966503422,0.658190299923846,0.927410818213759,0.927410818213759,0.19074559211730957,12.04719352722168
0.1,7,0.7452756820712345,0.6484589700342762,0.8764375210773573,0.8764375210773575,0.2442455291748047,10.748937845230103
0.1,123,0.7327473512062002,0.6026479927275672,0.9171464759695861,0.9171464759695857,0.25531482696533203,10.417467594146729
0.1,2024,0.5631394503989082,0.7800165568229265,0.9363857316887281,0.936385731688728,0.22373318672180176,10.410927057266235
0.1,5,0.7827246081443504,0.8221536884610885,0.9357646158168599,0.9357646158168597,0.25361132621765137,10.331387042999268
0.2,42,0.8687617782729073,0.8147885383519746,0.9676382952302353,0.9676382952302356,0.3052093982696533,10.630134344100952
0.2,7,0.842022019759977,0.5826349606243455,0.9108287699231452,0.9108287699231452,0.21213245391845703,10.258293151855469
0.2,123,0.9322909644851555,0.7037101594994326,0.9204016757961757,0.9204016757961773,0.2425525188446045,10.230798959732056
0.2,2024,0.7475844584970497,0.7361476584648288,0.9524564957932842,0.9524564957932866,0.28774547576904297,9.688571691513062
0.2,5,0.8680708913786801,0.770582790101072,0.9293711032757275,0.9293711032757277,0.27668023109436035,9.41846752166748
