# script: ch05_multi_direction.py
# seeds: 42, 7, 123, 2024, 5
# n_starts: 20
# max_iter: 300
# index_fun: plain
seed,scenario,strategy,dependent,MSS_dVar,MSS_PCA,MSS_FastICA,ortho_defect,inter_dcor_max,per_dir_dvar,restart_spread,elapsed
42,S1_basic,sequential,False,0.08906374224612723,0.0759103975789518,0.0759103975789518,0.0005679357031836669,0.11009592549488381,"[1.667990638608, 1.561632168488]",0.03717339600883651,1.2948508262634277
42,S1_basic,joint,False,0.08633455419701352,0.0759103975789518,0.0759103975789518,2.291736539152823e-16,0.10781841882306879,"[1.660425383051, 1.579268086545]",0.0006791229389193632,0.3233933448791504
42,S2_highdim,sequential,False,0.09038767878343656,0.059547529542147815,0.059547529542147926,0.0003812460436458829,0.1303124032066559,"[2.425368109536, 2.328024529768]",0.013859873383888388,0.27231740951538086
42,S2_highdim,joint,False,0.09039892697982099,0.059547529542147815,0.059547529542147926,8.886049970330882e-16,0.10936077208155022,"[2.397802234569, 2.404416234069]",0.0006114870011648676,0.2712552547454834
42,S4_weak,sequential,False,0.6920763396322268,0.6043204500356815,0.60432045003568,0.0005651483836421402,0.07635549165457063,"[1.072753420793, 1.034716863063]",0.05931205584884913,0.38271164894104004
42,S4_weak,joint,False,0.6909189477470101,0.6043204500356815,0.60432045003568,8.965079328717827e-16,0.07520464734038329,"[1.072642471401, 1.034871227242]",0.08468260724819343,0.510786771774292
42,S5_multi_dir,sequential,False,0.1683272318291033,0.0751051909673669,0.0751051909673654,0.0009893943360660836,0.1202892644555251,"[1.480086654511, 1.438961436409, 1.372350237481, 1.32743322736]",0.08402830927507798,1.2327675819396973
42,S5_multi_dir,joint,False,0.1558770691848553,0.0751051909673669,0.0751051909673654,5.440945744643533e-16,0.1367410034914702,"[1.426352655712, 1.438587500694, 1.386611755311, 1.417169849928]",0.015218537395035092,2.037757396697998
42,S1_dep,sequential,True,0.12895736432245214,0.07403161387956753,0.07403161387956797,0.0009099735701433376,0.12129991319659217,"[1.564429407995, 1.537280456137]",0.003873985577111938,0.21489620208740234
42,S1_dep,joint,True,0.12812376541958026,0.07403161387956753,0.07403161387956797,4.497206102782855e-16,0.12104939169063744,"[1.55896592309, 1.550184025343]",0.0038286280320418697,0.2032783031463623
7,S1_basic,sequential,False,0.08760710173444825,0.07171556109060756,0.0717155610906049,0.00015434061617160844,0.1169041484499899,"[1.623813305447, 1.547410683175]",0.07265046768908712,0.2107546329498291
7,S1_basic,joint,False,0.0874656879908674,0.07171556109060756,0.0717155610906049,4.577568834345673e-16,0.10836044414985242,"[1.622735509928, 1.550957441205]",0.011940234915432502,0.2180471420288086
7,S2_highdim,sequential,False,0.06713577332083892,0.055256567355394304,0.05525656735539469,0.0003325453316341513,0.09961846587947813,"[2.424279342287, 2.23812474979]",0.18235965584493785,0.19069600105285645
7,S2_highdim,joint,False,0.06688915331868567,0.055256567355394304,0.05525656735539469,6.281812770623913e-16,0.10013740665828993,"[2.423339294543, 2.240495112239]",0.0004943848766281178,0.21500039100646973
7,S4_weak,sequential,False,0.8287054823738711,0.7606905822083365,0.7606905822083363,0.000729201998041067,0.07370947044744254,"[1.064224861597, 1.059028668257]",0.06744797053152796,0.346698522567749
7,S4_weak,joint,False,0.8388655577503558,0.7606905822083365,0.7606905822083363,4.556354560077474e-17,0.07052879247672182,"[1.060116987127, 1.063825016704]",0.09394483067126691,0.337252140045166
7,S5_multi_dir,sequential,False,0.18551825483446135,0.07640376108715752,0.07640376108715743,0.0013218595117309813,0.13440912755931367,"[1.546668108759, 1.406996013158, 1.364568573734, 1.298654786717]",0.15670445308418945,1.1980328559875488
7,S5_multi_dir,joint,False,0.19491191376285233,0.07640376108715752,0.07640376108715743,2.870444446942553e-16,0.1343880642403648,"[1.382664496348, 1.523942137282, 1.430896152587, 1.321851161126]",0.04300240686455847,1.7330234050750732
7,S1_dep,sequential,True,0.09732766543377491,0.07092602635893719,0.07092602635893769,0.001368764246706935,0.13137066351678303,"[1.623628090638, 1.569448725327]",0.0532281909256076,0.1878340244293213
7,S1_dep,joint,True,0.09683590045359242,0.07092602635893719,0.07092602635893769,5.577398663828628e-16,0.13095481311665338,"[1.623351721987, 1.570062772231]",0.0003228487615865028,0.21313142776489258
123,S1_basic,sequential,False,0.0788440095923198,0.059917226147121416,0.059917226147121416,0.0007284495016144675,0.08797463514199383,"[1.580403274762, 1.512854702962]",0.0559292114929697,0.1920459270477295
123,S1_basic,joint,False,0.0764541043308396,0.059917226147121416,0.059917226147121416,3.1487520049188995e-16,0.099226511669625,"[1.51960076037, 1.575913253102]",0.0010646580074142875,0.2181406021118164
123,S2_highdim,sequential,False,0.06635755152955602,0.048502023436022,0.04850202343602089,0.0012193677247327782,0.07649861414560545,"[2.361114177432, 2.269370976064]",0.09003644392108656,0.24391651153564453
123,S2_highdim,joint,False,0.06551500738878968,0.048502023436022,0.04850202343602089,4.589286420590423e-16,0.07603356182303098,"[2.360729305785, 2.270386411408]",0.0014455930574035492,0.2783479690551758
123,S4_weak,sequential,False,0.8003821538411875,0.6310045188677629,0.631004518867764,5.245871713410922e-05,0.0925346345677245,"[1.064750827194, 1.035795625278]",0.04290361101263418,0.33658552169799805
123,S4_weak,joint,False,0.794407304207966,0.6310045188677629,0.631004518867764,5.692995319055708e-16,0.08148286978861555,"[1.043472894547, 1.063048122691]",0.06226142668158596,0.4806530475616455
123,S5_multi_dir,sequential,False,0.1809311048033517,0.07171763402910164,0.07171763402910322,0.00318562467968925,0.11925775581474575,"[1.478910590479, 1.412827159775, 1.332753967374, 1.273925969528]",0.04728416218455456,1.1978785991668701
123,S5_multi_dir,joint,False,0.17871783390824203,0.07171763402910164,0.07171763402910322,7.122504760257559e-16,0.1649850128180271,"[1.395052546749, 1.378175005577, 1.383604593199, 1.452470173871]",0.06429616061773835,2.590070962905884
123,S1_dep,sequential,True,0.10493333950804323,0.06316763340137554,0.06316763340137549,0.0008848728300881077,0.2070420293244017,"[1.59568798497, 1.446933484766]",0.010694335227520613,0.18080902099609375
123,S1_dep,joint,True,0.10457775824867482,0.06316763340137554,0.06316763340137549,2.548277789835943e-16,0.20317403873807174,"[1.56816773321, 1.52812335989]",0.0006395387864324142,0.19051790237426758
2024,S1_basic,sequential,False,0.10208763553328565,0.07737584659295477,0.07737584659295482,0.001262983145438599,0.11565151086339052,"[1.621986647361, 1.592099975321]",0.0069979260992592,0.17555904388427734
2024,S1_basic,joint,False,0.10557968551866459,0.07737584659295477,0.07737584659295482,7.585337356286877e-17,0.10669182843111766,"[1.610322312787, 1.616892144673]",0.00026541864844409346,0.1936359405517578
2024,S2_highdim,sequential,False,0.09467204503849647,0.0625305103608258,0.06253051036082607,6.500737057027544e-05,0.10973526906591749,"[2.359048454893, 2.26109808681]",0.06781488924853862,0.2150416374206543
2024,S2_highdim,joint,False,0.09556516898257306,0.0625305103608258,0.06253051036082607,4.454384424125799e-16,0.09496342470239853,"[2.351552810689, 2.281779338548]",0.00044821740372480434,0.30389928817749023
2024,S4_weak,sequential,False,0.7706653305229896,0.6374359152697331,0.6374359152697338,0.0015752166406368504,0.08648550240848017,"[1.091764509304, 1.022308297481]",0.09719648913395118,0.3390381336212158
2024,S4_weak,joint,False,0.7164828988695591,0.6374359152697331,0.6374359152697338,2.220983470201034e-16,0.11440325313817395,"[1.083305744202, 1.03201271076]",0.048850983415969385,0.45973634719848633
2024,S5_multi_dir,sequential,False,0.18190378874276922,0.0691067522490158,0.06910675224901636,0.0026458988508554276,0.11736732309419205,"[1.500378700279, 1.400612309165, 1.327529459423, 1.254066881356]",0.07761657230642016,1.1900968551635742
2024,S5_multi_dir,joint,False,0.15440793757469426,0.0691067522490158,0.06910675224901636,1.0111658619029496e-15,0.17250348783175762,"[1.421568999095, 1.434781320264, 1.382600582436, 1.429975045928]",0.12896271379152857,1.6811730861663818
2024,S1_dep,sequential,True,0.11020781146049108,0.06526560111732982,0.06526560111733265,0.00015002276213586305,0.12356477204705987,"[1.535353857195, 1.46958916981]",0.058386021455002046,0.1758100986480713
2024,S1_dep,joint,True,0.10768179055861199,0.06526560111732982,0.06526560111733265,3.335143433779504e-16,0.12710082293937883,"[1.533915790148, 1.472644815897]",0.0029579814912135127,0.25879645347595215
5,S1_basic,sequential,False,0.0836510128939496,0.05529297426129126,0.05529297426129243,0.0002879480229078088,0.09111803112985609,"[1.617067624869, 1.516396148764]",0.048493774234285025,0.18744397163391113
5,S1_basic,joint,False,0.0786236172661216,0.05529297426129126,0.05529297426129243,1.1368130841748834e-16,0.10075668637623708,"[1.545391203584, 1.60361625358]",0.0008372816411084116,0.2575061321258545
5,S2_highdim,sequential,False,0.09086534418380704,0.06979358485996628,0.06979358485996673,0.000237814933465771,0.08285770981319623,"[2.382081401244, 2.245472106096]",0.11180584845065633,0.19023776054382324
5,S2_highdim,joint,False,0.09300330267588752,0.06979358485996628,0.06979358485996673,2.7520865425821337e-16,0.08161929978130604,"[2.259405347292, 2.376880079834]",0.0005703956515947795,0.4425199031829834
5,S4_weak,sequential,False,0.7864323699248181,0.7097495811603286,0.7097495811603285,0.0031720890543619437,0.09919553820672335,"[1.069544594531, 1.044144881287]",0.06602218582012598,0.3643932342529297
5,S4_weak,joint,False,0.7844253290203984,0.7097495811603286,0.7097495811603285,2.4841765564302984e-16,0.09695027671384535,"[1.067814783453, 1.049046275115]",0.06996295257196605,0.4088437557220459
5,S5_multi_dir,sequential,False,0.1849462948831463,0.0761801085567059,0.0761801085567059,0.0013597590232305562,0.14030450766237812,"[1.438920068513, 1.391300455976, 1.332353275703, 1.279769978172]",0.2236495109563541,1.3904354572296143
5,S5_multi_dir,joint,False,0.18775280582287068,0.0761801085567059,0.0761801085567059,6.911771104173625e-16,0.1782216840232009,"[1.377750195395, 1.42382085999, 1.374001632933, 1.366329899156]",0.08433729685261593,1.5288310050964355
5,S1_dep,sequential,True,0.0987538309142138,0.06376525307328629,0.06376525307328779,0.0005089123122995447,0.1265094003833584,"[1.716045983112, 1.501993713214]",0.188886228238629,0.1690998077392578
5,S1_dep,joint,True,0.09806051761240397,0.06376525307328629,0.06376525307328779,5.551178830633724e-16,0.1288852433513857,"[1.710010474267, 1.514262537863]",0.00044023408029580935,0.18776583671569824
