# script: ch05_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_starts: 20
# max_iter: 300
# n_rand: 20
# index_fun: plain
seed,n,p,sigma,dist,angle_deg,MSS_dVar,MSS_PCA,MSS_FastICA,MSS_random,dvar_obj,dvar_random_mean,restart_spread,beats_PCA,beats_FastICA,beats_random
42,200,20,0.5,skewed,66.43264012686178,0.8401384210678826,0.9120452016128142,0.9120452016128143,0.9251979400258007,0.8716516377287956,0.6447100394097088,0.027336450448490757,True,True,True
42,200,50,0.5,skewed,75.16211008243668,0.9344204389573407,0.9042086664574575,0.9042086664574571,0.9782692684335339,1.0521780196877464,0.6454016692259177,0.06646672145006216,False,False,True
42,200,5,1.0,skewed,17.913272822967876,0.09460364208063521,0.015152973786405344,0.015152973786406898,0.8107775285870511,0.8799769542826266,0.694901977301881,0.0005920302274167177,False,False,True
42,200,20,1.0,skewed,58.557923114831794,0.7278955474838955,0.20187536722092392,0.20187536722092247,0.9251979400258007,0.9168630613538453,0.6529789806790307,0.016122917672058312,False,False,True
42,200,50,1.0,skewed,70.55172632493553,0.8891404941173839,0.36452158469022045,0.3645215846902199,0.9782692684335339,1.069694057674366,0.6490486500813819,0.051275607120251365,False,False,True
42,200,5,2.0,skewed,6.704104332924742,0.013628666944848433,0.004357957666386358,0.004357957666386358,0.8107775285870511,1.2884566462306752,0.814510010802822,8.378650683282807e-05,False,False,True
42,200,20,2.0,skewed,14.507253450496005,0.06275153569322722,0.025815879032892952,0.02581587903289273,0.9251979400258007,1.2724122691747732,0.6832985373516074,0.00024072837474653497,False,False,True
42,200,50,2.0,skewed,18.361136308957068,0.09922836573033167,0.06888522274307574,0.06888522274307518,0.9782692684335339,1.362148079775345,0.6638322704280295,0.00043044841866701766,False,False,True
42,200,5,4.0,skewed,2.494079590800591,0.0018936557326615366,0.0012737995804800173,0.0012737995804800173,0.8107775285870511,2.352578900945188,1.1479148934638044,0.0003229652072818112,False,False,True
42,200,20,4.0,skewed,5.7928559912088655,0.010187318732539419,0.00436128697992344,0.004361286979922996,0.9251979400258007,2.3438698204386554,0.7841640220062077,0.009426630802798375,False,False,True
42,200,50,4.0,skewed,8.305908208552845,0.020868182482434605,0.015158776886062486,0.015158776886062264,0.9782692684335339,2.419796145314761,0.7159295151674417,0.000664101683094831,False,False,True
42,200,5,0.5,chisq,40.40832272013208,0.4202027998230209,0.34185353891038506,0.34185353891038883,0.8108526313039146,0.7411681160865246,0.6527920646060525,0.02697474437370373,False,False,True
42,200,20,0.5,chisq,89.73641850126836,0.9999788367911604,0.9895287282284116,0.9895287282284209,0.9627588958867076,0.8875509612462142,0.6387836139008982,0.07181334475394041,False,False,False
42,200,50,0.5,chisq,80.51785930001019,0.9728606766889776,0.827652909085853,0.8276529090858529,0.9854299814027845,1.0415848282188347,0.6377284347487332,0.07957130072811458,False,False,True
42,200,5,1.0,chisq,22.162307571525456,0.1423036911106681,0.028909697283050817,0.02890969728304993,0.8108526313039146,0.839067923307267,0.6948240388329626,0.0041034139412048365,False,False,True
42,200,20,1.0,chisq,29.848302415574604,0.24771060747424667,0.09513595785187878,0.09513595785187812,0.9627588958867076,0.9242141803679855,0.6525796083192439,0.0704040426417818,False,False,True
42,200,50,1.0,chisq,48.3903621497359,0.5590349518736941,0.400641546917859,0.40064154691785914,0.9854299814027845,1.1084991591118305,0.6412375860584423,0.13099014866280345,False,False,True
42,200,5,2.0,chisq,8.263320635553859,0.020656214817750373,0.002469933846310668,0.002469933846310668,0.8108526313039146,1.2161489435205288,0.8216846138978612,0.0006877737154911134,False,False,True
42,200,20,2.0,chisq,13.030265685619314,0.050834790962297594,0.018819424660194928,0.01881942466019526,0.9627588958867076,1.3265271875282847,0.6974862657112555,0.002385965537581969,False,False,True
42,200,50,2.0,chisq,25.832461942865045,0.18987032461956888,0.09482230407871495,0.09482230407871517,0.9854299814027845,1.3989110619917589,0.6580433021200093,0.00028799857181338595,False,False,True
42,200,5,4.0,chisq,3.251595621200652,0.003217225510869115,0.0007838142306777485,0.0007838142306779705,0.8108526313039146,2.2285794863248936,1.171649730923866,7.552335512617248e-05,False,False,True
42,200,20,4.0,chisq,5.998955625384353,0.010922410190430498,0.005196162535534898,0.0051961625355353425,0.9627588958867076,2.348923086117362,0.8293357776690952,0.0006712457582218612,False,False,True
42,200,50,4.0,chisq,10.547536991349665,0.03350775890876001,0.019702389160337397,0.01970238916033762,0.9854299814027845,2.369037941628182,0.714881358380236,0.0002843239339331838,False,False,True
42,200,5,0.5,gaussian,75.30027377141249,0.9356092511826781,0.3648862416743731,0.36488624167437433,0.8436009160341469,0.7238598769094984,0.6406820865114631,0.005982182102448497,False,False,False
42,200,20,0.5,gaussian,79.47597632029746,0.9666397882120159,0.8885747301169283,0.8885747301169231,0.9444617215082568,0.8906872894529269,0.647403366935165,0.0655394585792125,False,False,False
