# script: ch04_shengyin_on_our_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_perturb: 500
# n_restarts: 3
# max_iter: 100
part,seed,config,nonlinearity,noise,n,p,k,method,angle,dcor2_u,dcov_v,seconds
single,42,abs_p20_s0.0,abs,0.0,200,20,1,dCor-PP (this thesis),7.8757,0.324,0.286303,0.05
single,42,abs_p20_s0.0,abs,0.0,200,20,1,Sheng-Yin (dcsol),6.2159,0.323168,0.287798,0.312
single,42,abs_p2_s0.5,abs,0.5,200,2,1,dCor-PP (this thesis),0.1088,0.191737,0.265965,0.027
single,42,abs_p2_s0.5,abs,0.5,200,2,1,Sheng-Yin (dcsol),0.3638,0.191722,0.266004,0.109
single,42,abs_p5_s0.5,abs,0.5,200,5,1,dCor-PP (this thesis),2.3938,0.184801,0.254434,0.031
single,42,abs_p5_s0.5,abs,0.5,200,5,1,Sheng-Yin (dcsol),2.7126,0.184737,0.254698,0.114
single,42,abs_p20_s0.5,abs,0.5,200,20,1,dCor-PP (this thesis),89.5355,0.112909,0.197727,0.052
single,42,abs_p20_s0.5,abs,0.5,200,20,1,Sheng-Yin (dcsol),9.471,0.18191,0.240681,0.308
single,42,abs_p2_s1.0,abs,1.0,200,2,1,dCor-PP (this thesis),0.4417,0.101986,0.243302,0.027
single,42,abs_p2_s1.0,abs,1.0,200,2,1,Sheng-Yin (dcsol),0.9859,0.101971,0.243377,0.104
single,42,abs_p5_s1.0,abs,1.0,200,5,1,dCor-PP (this thesis),3.5682,0.093201,0.225847,0.038
single,42,abs_p5_s1.0,abs,1.0,200,5,1,Sheng-Yin (dcsol),3.6284,0.093174,0.226284,0.116
single,42,abs_p20_s1.0,abs,1.0,200,20,1,dCor-PP (this thesis),87.0792,0.098171,0.221708,0.05
single,42,abs_p20_s1.0,abs,1.0,200,20,1,Sheng-Yin (dcsol),21.2285,0.088336,0.210546,0.258
single,42,abs_p2_s2.0,abs,2.0,200,2,1,dCor-PP (this thesis),0.9781,0.044485,0.229865,0.028
single,42,abs_p2_s2.0,abs,2.0,200,2,1,Sheng-Yin (dcsol),1.0441,0.044486,0.229875,0.103
single,42,abs_p5_s2.0,abs,2.0,200,5,1,dCor-PP (this thesis),4.0686,0.037749,0.210013,0.033
single,42,abs_p5_s2.0,abs,2.0,200,5,1,Sheng-Yin (dcsol),4.633,0.037729,0.210251,0.13
single,42,abs_p20_s2.0,abs,2.0,200,20,1,dCor-PP (this thesis),81.8274,0.082103,0.262125,0.047
single,42,abs_p20_s2.0,abs,2.0,200,20,1,Sheng-Yin (dcsol),82.2679,0.081964,0.263872,0.414
single,42,cubic_p2_s0.0,cubic,0.0,200,2,1,dCor-PP (this thesis),1.3071,0.745133,0.760262,0.046
single,42,cubic_p2_s0.0,cubic,0.0,200,2,1,Sheng-Yin (dcsol),0.6127,0.745004,0.760605,0.105
single,42,cubic_p5_s0.0,cubic,0.0,200,5,1,dCor-PP (this thesis),1.6455,0.770638,0.750626,0.04
single,42,cubic_p5_s0.0,cubic,0.0,200,5,1,Sheng-Yin (dcsol),1.6406,0.769839,0.752363,0.112
single,42,cubic_p20_s0.0,cubic,0.0,200,20,1,dCor-PP (this thesis),6.8447,0.802118,0.729993,0.049
single,42,cubic_p20_s0.0,cubic,0.0,200,20,1,Sheng-Yin (dcsol),4.4055,0.795213,0.73384,0.302
single,42,cubic_p2_s0.5,cubic,0.5,200,2,1,dCor-PP (this thesis),1.3585,0.642509,0.71872,0.039
single,42,cubic_p2_s0.5,cubic,0.5,200,2,1,Sheng-Yin (dcsol),0.5799,0.642404,0.719086,0.103
single,42,cubic_p5_s0.5,cubic,0.5,200,5,1,dCor-PP (this thesis),1.8903,0.717903,0.747307,0.043
single,42,cubic_p5_s0.5,cubic,0.5,200,5,1,Sheng-Yin (dcsol),2.8375,0.717338,0.749188,0.113
single,42,cubic_p20_s0.5,cubic,0.5,200,20,1,dCor-PP (this thesis),7.2032,0.735709,0.705703,0.055
single,42,cubic_p20_s0.5,cubic,0.5,200,20,1,Sheng-Yin (dcsol),5.0143,0.729311,0.708383,0.275
single,42,cubic_p2_s1.0,cubic,1.0,200,2,1,dCor-PP (this thesis),1.4661,0.507171,0.6785,0.04
single,42,cubic_p2_s1.0,cubic,1.0,200,2,1,Sheng-Yin (dcsol),0.6233,0.507083,0.678867,0.104
single,42,cubic_p5_s1.0,cubic,1.0,200,5,1,dCor-PP (this thesis),4.099,0.612151,0.741139,0.042
