# script: ch06_fixed_d_bottleneck.py
# seeds: 0
seed,B,mat,PCA+poly(d8),PCA+lin(d8),INPCA+lin(4+4),dCor+lin(d2),dCor+lin(d4)
0,8,2,0.19903742576015127,0.12009562206591595,0.18509616344443813,0.16930372633880175,0.13072293175175098
0,8,3,0.21506984898571357,0.14030242229380763,0.19998031478900735,0.18682315350766832,0.14710288529625482
0,8,4,0.21340140859714796,0.14468678823157133,0.19939008342274966,0.18381479098409947,0.15542648691532257
0,8,5,0.2003115758656394,0.14286158846329355,0.19145207691444366,0.17497830840655393,0.1509629392592604
0,12,2,0.19903742576015127,0.12009562206591595,0.18509616344443813,0.1788827698068921,0.18242736139367055
0,12,3,0.21506984898571357,0.14030242229380763,0.19998031478900735,0.20087189700135022,0.19715171583530955
0,12,4,0.21340140859714796,0.14468678823157133,0.19939008342274966,0.19820505210263384,0.19672324213889403
0,12,5,0.2003115758656394,0.14286158846329355,0.19145207691444366,0.19256748611436214,0.19206966186796615
0,16,2,0.19903742576015127,0.12009562206591595,0.18509616344443813,0.1888571219418833,0.2007936534310225
0,16,3,0.21506984898571357,0.14030242229380763,0.19998031478900735,0.1983797686024702,0.21249089900561835
0,16,4,0.21340140859714796,0.14468678823157133,0.19939008342274966,0.2042696035446253,0.21080268870254792
0,16,5,0.2003115758656394,0.14286158846329355,0.19145207691444366,0.19681420834451324,0.20606705984191276
0,20,2,0.19903742576015127,0.12009562206591595,0.18509616344443813,0.16973532215471676,0.18133030029440533
0,20,3,0.21506984898571357,0.14030242229380763,0.19998031478900735,0.14130910801548568,0.17005537935630965
0,20,4,0.21340140859714796,0.14468678823157133,0.19939008342274966,0.15677922028977964,0.14127188226142506
0,20,5,0.2003115758656394,0.14286158846329355,0.19145207691444366,0.14205502120450542,0.13848031486694523
