# script: ch03_derivative_free.py
# seeds: 20260808, 7, 123
# n_restarts: 3
# gradient_max_iter: 100
# derivative_free_max_iter: 2000
index,seed,n,p,solver,objective,angle_to_gradient,seconds,cost_ratio
dCor2,20260808,200,5,gradient,0.6516216856454239,0.0,0.07368683815002441,1.0
dCor2,20260808,200,5,Nelder-Mead,0.6516219083858625,0.03161542216443558,0.5940637588500977,8.062006374063708
dCor2,20260808,200,5,COBYLA,0.6516219040832376,0.0338502650313786,1.1051921844482422,14.998501933250287
dCor2,20260808,200,20,gradient,0.6743758584962702,0.0,0.10061812400817871,1.0
dCor2,20260808,200,20,Nelder-Mead,0.6683031524441119,6.064318779805588,3.88612961769104,38.62256085568796
dCor2,20260808,200,20,COBYLA,0.6743918840482734,0.3727204939832164,5.856548309326172,58.20569968935342
dCor2,20260808,200,50,gradient,0.6742392964539553,0.0,0.08523035049438477,1.0
dCor2,20260808,200,50,Nelder-Mead,0.2811042744515651,54.407839471873345,3.1473021507263184,36.927011709680485
dCor2,20260808,200,50,COBYLA,0.6961799764367641,15.443042460668302,14.960511922836304,175.53033439445903
dCor2,20260808,500,5,gradient,0.6442121158865718,0.0,0.227769136428833,1.0
dCor2,20260808,500,5,Nelder-Mead,0.6442134223970069,0.07552566904485417,13.897977590560913,61.017826244880055
dCor2,20260808,500,5,COBYLA,0.6442134203161385,0.07603240103026679,2.8772037029266357,12.632105244977406
dCor2,20260808,500,20,gradient,0.6718874592285994,0.0,0.2927231788635254,1.0
dCor2,20260808,500,20,Nelder-Mead,0.6689013781688559,3.7376868460238004,51.874717473983765,177.21424615359555
dCor2,20260808,500,20,COBYLA,0.6718972914328813,0.2231222665703324,12.376530408859253,42.28066413090399
dCor2,20260808,500,50,gradient,0.6706437815691476,0.0,0.3337404727935791,1.0
dCor2,20260808,500,50,Nelder-Mead,0.5018628580010298,28.968771769051383,44.18594479560852,132.39612332825408
dCor2,20260808,500,50,COBYLA,0.6712535469509845,1.6834790732960507,37.37861347198486,111.99904272654341
dCor2,7,200,5,gradient,0.6193037418596359,0.0,0.04811286926269531,1.0
dCor2,7,200,5,Nelder-Mead,0.6193059857759721,0.0863510775522865,0.35138916969299316,7.303434093161546
dCor2,7,200,5,COBYLA,0.6193059123582325,0.09446987918556793,0.4093129634857178,8.50734886025768
dCor2,7,200,20,gradient,0.663080089112116,0.0,0.050637245178222656,1.0
dCor2,7,200,20,Nelder-Mead,0.6522460722101483,6.8850488161924694,1.2648990154266357,24.9796174925137
dCor2,7,200,20,COBYLA,0.6631770798704495,0.6969290160667522,2.7142953872680664,53.602745917848466
dCor2,7,200,50,gradient,0.7282043798883464,0.0,0.05468606948852539,1.0
dCor2,7,200,50,Nelder-Mead,0.3898705211586317,45.24246474195155,0.9237451553344727,16.89178183720626
dCor2,7,200,50,COBYLA,0.7327082120720325,5.707174013005943,9.370999574661255,171.35990321314907
dCor2,7,500,5,gradient,0.6161961617991409,0.0,0.3230855464935303,1.0
dCor2,7,500,5,Nelder-Mead,0.6161976287025193,0.0748294681611324,6.855510473251343,21.218870815035434
dCor2,7,500,5,COBYLA,0.616197626275129,0.07407983615905893,2.2800421714782715,7.057085023529299
dCor2,7,500,20,gradient,0.6323113249771852,0.0,0.32863855361938477,1.0
dCor2,7,500,20,Nelder-Mead,0.6299951043753383,3.0138571747692064,38.00552463531494,115.64536241031333
dCor2,7,500,20,COBYLA,0.6323764562481752,0.5322025157395286,11.075405836105347,33.70087201921054
dCor2,7,500,50,gradient,0.6741987969213875,0.0,0.33196568489074707,1.0
dCor2,7,500,50,Nelder-Mead,0.33731195980384293,45.70153031431941,26.92180562019348,81.0981581697328
dCor2,7,500,50,COBYLA,0.6800232586164665,5.187389761965059,36.89712905883789,111.14741895982735
dCor2,123,200,5,gradient,0.6702188601690579,0.0,0.05206036567687988,1.0
dCor2,123,200,5,Nelder-Mead,0.6702265725832495,0.22285558063744582,0.30190348625183105,5.799104219237304
dCor2,123,200,5,COBYLA,0.6702265642083578,0.22311135044772948,0.40251779556274414,7.731751214753821
dCor2,123,200,20,gradient,0.7269764435348469,0.0,0.05370593070983887,1.0
dCor2,123,200,20,Nelder-Mead,0.7249594219534685,3.0177954390194395,1.8633646965026855,34.69569695328489
dCor2,123,200,20,COBYLA,0.7270005679932742,0.319057708245423,2.3799448013305664,44.314375896190604
dCor2,123,200,50,gradient,0.6616480486734784,0.0,0.056620121002197266,1.0
dCor2,123,200,50,Nelder-Mead,0.3101192816532721,45.165405067035366,0.9479763507843018,16.74274681870626
dCor2,123,200,50,COBYLA,0.6624116399794348,2.5269364329965196,4.692951202392578,82.88486706360904
dCor2,123,500,5,gradient,0.6870022707079348,0.0,0.2812628746032715,1.0
dCor2,123,500,5,Nelder-Mead,0.6870057012171337,0.11697444072412277,10.283994197845459,36.563638952888105
dCor2,123,500,5,COBYLA,0.6870056376302259,0.10360245250976205,2.8527886867523193,10.142784364186888
dCor2,123,500,20,gradient,0.6854928692597968,0.0,0.3261077404022217,1.0
dCor2,123,500,20,Nelder-Mead,0.680533071902394,4.8883167220319965,51.75507664680481,158.7054529370264
dCor2,123,500,20,COBYLA,0.6855046308342067,0.20442115560722462,10.289584636688232,31.552715136405673
dCor2,123,500,50,gradient,0.6738678802006034,0.0,0.32935261726379395,1.0
dCor2,123,500,50,Nelder-Mead,0.39656902818726414,41.2299005513532,35.01277422904968,106.30786699049156
dCor2,123,500,50,COBYLA,0.6744137261652473,1.6126645114027283,38.529212951660156,116.98468732920469
dVar,20260808,200,5,gradient,1.4914499708724158,0.0,0.06851053237915039,1.0
dVar,20260808,200,5,Nelder-Mead,1.491454969539748,0.12137449800231785,0.4915938377380371,7.175449097628709
dVar,20260808,200,5,COBYLA,1.4914549578984884,0.11904578893694034,0.1798865795135498,2.6256777354761027
dVar,20260808,200,20,gradient,1.491854824365585,0.0,0.047196388244628906,1.0
dVar,20260808,200,20,Nelder-Mead,1.4858845069570672,5.7558720958799094,89.05727481842041,1886.9510598314778
dVar,20260808,200,20,COBYLA,1.4918870703120486,0.39339806323185944,1.5741605758666992,33.35341186930429
dVar,20260808,200,50,gradient,1.6995993227555892,0.0,0.05786895751953125,1.0
dVar,20260808,200,50,Nelder-Mead,1.6490688434499905,15.492691866240976,43.70028758049011,755.1594058998022
dVar,20260808,200,50,COBYLA,1.6996637770198577,0.5329839550768998,9.014862537384033,155.78062788398154
dVar,20260808,500,5,gradient,1.5540158331300913,0.0,1.0397582054138184,1.0
dVar,20260808,500,5,Nelder-Mead,1.5540170777601396,0.0747874359861642,8.936882734298706,8.595154804036264
dVar,20260808,500,5,COBYLA,1.5540170762568792,0.07569540300070336,0.8793866634368896,0.8457607344266145
dVar,20260808,500,20,gradient,1.5475970826648306,0.0,0.802567720413208,1.0
dVar,20260808,500,20,Nelder-Mead,1.5458234043418388,2.991811786798827,258.1882348060608,321.70274014151806
dVar,20260808,500,20,COBYLA,1.5476138561346564,0.3002803271627943,9.156222820281982,11.408660711606782
dVar,20260808,500,50,gradient,1.6026723645036518,0.0,1.3521521091461182,1.0
dVar,20260808,500,50,Nelder-Mead,1.4772461238693206,24.274889656779045,1358.5686450004578,1004.7454245797773
dVar,20260808,500,50,COBYLA,1.6026928881686913,0.3183351877436368,19.417974948883057,14.360791820341483
dVar,7,200,5,gradient,1.5448051936058043,0.0,0.07103466987609863,1.0
dVar,7,200,5,Nelder-Mead,1.5448140351530337,0.20294482402594968,15.87343978881836,223.4604569361048
dVar,7,200,5,COBYLA,1.5448140335348746,0.20246175951360815,0.17539310455322266,2.469119725046234
dVar,7,200,20,gradient,1.5908998246431763,0.0,0.058023929595947266,1.0
dVar,7,200,20,Nelder-Mead,1.5474733617353653,14.046594009424592,84.39326882362366,1454.4562805604635
dVar,7,200,20,COBYLA,1.5909135554878047,0.30141623644598203,1.2901482582092285,22.234761885195383
dVar,7,200,50,gradient,1.5644279132827226,0.0,0.04400038719177246,1.0
dVar,7,200,50,Nelder-Mead,1.4614897453537405,22.672760581697343,29.395101308822632,668.0646054478166
dVar,7,200,50,COBYLA,1.5644799542916843,0.49497756232117385,9.679344177246094,219.98315912674545
dVar,7,500,5,gradient,1.6542597204388478,0.0,0.9178190231323242,1.0
dVar,7,500,5,Nelder-Mead,1.6542828773696603,0.3190902634197179,6.414479732513428,6.988828484532987
dVar,7,500,5,COBYLA,1.6542828769301794,0.3189228280418772,1.0734522342681885,1.1695685175544963
dVar,7,500,20,gradient,1.6164326259567758,0.0,0.9026532173156738,1.0
dVar,7,500,20,Nelder-Mead,1.5819787386018467,12.440587547455978,178.80880522727966,198.09246984021667
dVar,7,500,20,COBYLA,1.6164446484308745,0.23460924315012985,5.840558767318726,6.470434775258967
dVar,7,500,50,gradient,1.6432991168065845,0.0,0.9411396980285645,1.0
dVar,7,500,50,Nelder-Mead,1.486995099648005,26.445275478542655,981.4663157463074,1042.8487054602163
dVar,7,500,50,COBYLA,1.6433372739471908,0.4112010935826434,18.242083072662354,19.382970573735896
dVar,123,200,5,gradient,1.5381971810567472,0.0,0.06952571868896484,1.0
dVar,123,200,5,Nelder-Mead,1.5381998827120487,0.10985141366918112,8.102189302444458,116.53513915751067
dVar,123,200,5,COBYLA,1.5381998823579095,0.11112642038678266,0.1964116096496582,2.8250209182063837
dVar,123,200,20,gradient,1.5755093357176218,0.0,0.06251978874206543,1.0
dVar,123,200,20,Nelder-Mead,1.487571378634782,19.744511590603068,4.880670785903931,78.06601532260217
dVar,123,200,20,COBYLA,1.5755254417267743,0.31260804567733785,1.5207505226135254,24.324306802884525
dVar,123,200,50,gradient,1.6705451637816382,0.0,0.05099821090698242,1.0
