# script: ch06_widen_bottleneck.py
# seeds: 0
seed,B,mat,PCA+poly,INPCA+lin,dCor+lin,dCor+poly,SIR+poly,PLS+lin
0,8,2,0.19933796692321604,0.1982049318523288,0.16930372633880175,0.1841700427748696,0.08437863018503067,0.12009562206591551
0,8,3,0.21506984898571357,0.19998031478900735,0.18682315350766832,0.20650635333121525,0.1405485602662011,0.14030242229380718
0,8,4,0.21340140859714796,0.19939008342274966,0.18381479098409947,0.1957152874677789,0.15450693973785645,0.14468678823157088
0,8,5,0.2003115758656394,0.19145207691444366,0.17497830840655393,0.16651121750789577,0.1192048261484211,0.14286158846329322
0,12,2,0.2564424283953942,0.2534401930348471,0.19810884404462425,0.22138309618197505,0.15821801587906204,0.18458512991708176
0,12,3,0.25981397446619836,0.25412956241420526,0.2085899069119349,0.22866366341914357,0.17272559480837857,0.19151719762320785
0,12,4,0.257848849996116,0.2537945248746052,0.2082870254985032,0.22841048349890158,0.18835027656333458,0.19514261003691502
0,12,5,0.2446485275024235,0.24416327344247857,0.20355146219948284,0.22697276809000522,0.16840879589084512,0.19249268348101412
0,16,2,0.2770091852240122,0.26597716086915457,0.20632541553158978,0.23470851489283373,0.16911015995952916,0.1965329204372548
0,16,3,0.2807519588805478,0.2666208523154905,0.21530998210478203,0.2347761149277533,0.17188353044770177,0.20440901971991832
0,16,4,0.2819676977052269,0.26928397073083954,0.21419256244393725,0.23840143356672983,0.18367966668176028,0.21155366682807486
0,16,5,0.265442493493922,0.2572113232749691,0.21039295087478538,0.2355413509051515,0.18002919944639606,0.20653206041257366
0,20,2,0.2821622424581913,0.26844404798172183,0.19349171989449887,0.19694311381343654,0.15900362572774474,0.1931318802580495
0,20,3,0.2809496711935827,0.26696094912307267,0.19108874219863792,0.209901751119573,0.16225662090172832,0.19108874219863725
0,20,4,0.28263006103526056,0.27005387073122644,0.1985741445580449,0.2107660857880722,0.16582637017468904,0.18966948144705276
0,20,5,0.26694466674101835,0.2590569570725205,0.1835197027937996,0.19423136651117845,0.16355738486260207,0.18179968309818695
