# script: ch06_case_mechanism.py
# seeds: 0, 42, 7, 123, 2024
# n: 480
# spike_counts: (2, 5, 10, 20)
seed,n_spike,spike_sd,dvar,dvar_biloop,dvar_clean,dvar_biloop_clean
0,2,2.0,0.634517071640946,3.380772465355381,0.6292761328451025,3.3633925782601017
0,2,3.0,0.6282542290547299,3.361790875841581,0.6292761328451025,3.3633925782601017
0,2,4.0,0.6195691278548388,3.359503260425022,0.6292761328451025,3.3633925782601017
0,2,6.0,0.5968087628996318,3.3600145913387904,0.6292761328451025,3.3633925782601017
0,2,8.0,0.5690723124523852,3.3600537223465405,0.6292761328451025,3.3633925782601017
0,2,12.0,0.5081408264728065,3.360054188221993,0.6292761328451025,3.3633925782601017
0,2,20.0,0.4001444041158088,3.3600541216016877,0.6292761328451025,3.3633925782601017
0,5,2.0,0.6375980122238692,3.3943590556559986,0.6292761328451025,3.3633925782601017
0,5,3.0,0.6223942711034804,3.34684970165797,0.6292761328451025,3.3633925782601017
0,5,4.0,0.6031859954145142,3.341006843579351,0.6292761328451025,3.3633925782601017
0,5,6.0,0.5582195138226815,3.342188698748072,0.6292761328451025,3.3633925782601017
0,5,8.0,0.5116034243463502,3.342281162866888,0.6292761328451025,3.3633925782601017
0,5,12.0,0.43075416721221205,3.342282317139104,0.6292761328451025,3.3633925782601017
0,5,20.0,0.33081841223923236,3.342282168961714,0.6292761328451025,3.3633925782601017
0,10,2.0,0.6378357285687551,3.3953515940489654,0.6292761328451025,3.3633925782601017
0,10,3.0,0.6110719041090203,3.301336818714204,0.6292761328451025,3.3633925782601017
0,10,4.0,0.5805935723499243,3.2887853012749435,0.6292761328451025,3.3633925782601017
0,10,6.0,0.5197849337848953,3.290712992914231,0.6292761328451025,3.3633925782601017
0,10,8.0,0.4683156497457707,3.2908747094317805,0.6292761328451025,3.3633925782601017
0,10,12.0,0.39835678432549226,3.2908768423166834,0.6292761328451025,3.3633925782601017
0,10,20.0,0.3355561281070749,3.2908766178310915,0.6292761328451025,3.3633925782601017
0,20,2.0,0.6349902431101806,3.376505534976625,0.6292761328451025,3.3633925782601017
0,20,3.0,0.595946624530899,3.1912053495574306,0.6292761328451025,3.3633925782601017
0,20,4.0,0.5591606660906755,3.161896377039786,0.6292761328451025,3.3633925782601017
0,20,6.0,0.5025373468288268,3.1638348209450693,0.6292761328451025,3.3633925782601017
0,20,8.0,0.4668285995692524,3.1640611095860702,0.6292761328451025,3.3633925782601017
0,20,12.0,0.4308453697038633,3.164065746520455,0.6292761328451025,3.3633925782601017
0,20,20.0,0.40817788392643295,3.164065677807762,0.6292761328451025,3.3633925782601017
42,2,2.0,0.63701891039273,3.3591714103593127,0.6308467596039169,3.3398663481032327
42,2,3.0,0.6310380176086118,3.3400707970920407,0.6308467596039169,3.3398663481032327
42,2,4.0,0.6223065112308916,3.337114318724288,0.6308467596039169,3.3398663481032327
42,2,6.0,0.5994026844518765,3.337188727516007,0.6308467596039169,3.3398663481032327
42,2,8.0,0.5714781639125683,3.337206576245259,0.6308467596039169,3.3398663481032327
42,2,12.0,0.510133448185696,3.337209341142451,0.6308467596039169,3.3398663481032327
42,2,20.0,0.40147139181426833,3.3372094661734204,0.6308467596039169,3.3398663481032327
42,5,2.0,0.642048939956292,3.379600630963791,0.6308467596039169,3.3398663481032327
42,5,3.0,0.6270255158861753,3.331596993047677,0.6308467596039169,3.3398663481032327
42,5,4.0,0.6075016504188067,3.3241898815532136,0.6308467596039169,3.3398663481032327
42,5,6.0,0.5618125424871548,3.3243166323358833,0.6308467596039169,3.3398663481032327
42,5,8.0,0.5145072284839985,3.3243581979917725,0.6308467596039169,3.3398663481032327
42,5,12.0,0.43263557368329786,3.324365162754032,0.6308467596039169,3.3398663481032327
42,5,20.0,0.3317238663897829,3.3243654882820084,0.6308467596039169,3.3398663481032327
42,10,2.0,0.6447370217009193,3.3925924187021033,0.6308467596039169,3.3398663481032327
42,10,3.0,0.6172551697048074,3.297008878863772,0.6308467596039169,3.3398663481032327
42,10,4.0,0.5858844427075561,3.2816213676967982,0.6308467596039169,3.3398663481032327
42,10,6.0,0.523488187489284,3.2815389438757476,0.6308467596039169,3.3398663481032327
42,10,8.0,0.4708916769926455,3.281604917515455,0.6308467596039169,3.3398663481032327
42,10,12.0,0.3997067982090285,3.2816186041099056,0.6308467596039169,3.3398663481032327
42,10,20.0,0.33607683877388705,3.2816192938913478,0.6308467596039169,3.3398663481032327
42,20,2.0,0.6436939817963068,3.384729321923622,0.6308467596039169,3.3398663481032327
42,20,3.0,0.6026903007755774,3.1984153604987164,0.6308467596039169,3.3398663481032327
42,20,4.0,0.5642435600245299,3.164182294301617,0.6308467596039169,3.3398663481032327
42,20,6.0,0.5054587046402841,3.16238710203547,0.6308467596039169,3.3398663481032327
42,20,8.0,0.46863238755675546,3.1624402152027224,0.6308467596039169,3.3398663481032327
42,20,12.0,0.43170141384375743,3.1624671803298336,0.6308467596039169,3.3398663481032327
42,20,20.0,0.40850563573860116,3.16246878253601,0.6308467596039169,3.3398663481032327
7,2,2.0,0.6396456541354707,3.347957995795288,0.6361252655089376,3.334790764750882
7,2,3.0,0.6330741153128994,3.3288396155232602,0.6361252655089376,3.334790764750882
7,2,4.0,0.6241169865643975,3.32558672645758,0.6361252655089376,3.334790764750882
7,2,6.0,0.6008768107032899,3.325806565091191,0.6361252655089376,3.334790764750882
7,2,8.0,0.5727571947731573,3.3258525681238655,0.6361252655089376,3.334790764750882
7,2,12.0,0.5113027616809491,3.325858832222427,0.6361252655089376,3.334790764750882
7,2,20.0,0.4027265440578308,3.325859183875545,0.6361252655089376,3.334790764750882
7,5,2.0,0.6418882222096935,3.3574531333856625,0.6361252655089376,3.334790764750882
7,5,3.0,0.6261591077247122,3.3097345478801317,0.6361252655089376,3.334790764750882
7,5,4.0,0.6064564806493342,3.3014538793279207,0.6361252655089376,3.334790764750882
7,5,6.0,0.5608193788957812,3.3018868329663444,0.6361252655089376,3.334790764750882
7,5,8.0,0.5138435900870384,3.3019940032257065,0.6361252655089376,3.334790764750882
7,5,12.0,0.4326694908106375,3.302009389902746,0.6361252655089376,3.334790764750882
7,5,20.0,0.33232804585771164,3.3020102825914095,0.6361252655089376,3.334790764750882
7,10,2.0,0.6427822351818908,3.361323983792314,0.6361252655089376,3.334790764750882
7,10,3.0,0.6148847711229749,3.2671249199472268,0.6361252655089376,3.334790764750882
7,10,4.0,0.5835861791167457,3.2498252233143816,0.6361252655089376,3.334790764750882
7,10,6.0,0.5218681461031766,3.2502355647960446,0.6361252655089376,3.334790764750882
7,10,8.0,0.47000457900976733,3.2504205512300297,0.6361252655089376,3.334790764750882
7,10,12.0,0.3996757676589778,3.250450385454176,0.6361252655089376,3.334790764750882
7,10,20.0,0.3364018048447532,3.2504522292722826,0.6361252655089376,3.334790764750882
7,20,2.0,0.6383731825509212,3.3372624258260903,0.6361252655089376,3.334790764750882
7,20,3.0,0.5981718085066482,3.152497788891044,0.6361252655089376,3.334790764750882
