# script: ch06_outlier_recovery.py
# seeds: 42, 7, 123
# K: 3
# budget: {'plain': {'n_starts': 20, 'max_iter': 300}, 'robust': {'n_starts': 8, 'max_iter': 80}}
method,basis,strategy,seed,direction,criterion,z_sep2001,z_oct2001,rank_sep2001,rank_oct2001,worse_rank,pair_isolated,sep_margin,dvar,dvar_biloop,top5_months,detail
PCA,unit,-,7,3,1.0020896536030257,-4.993178568357901,7.813223449688547,4,1,4,False,0.7275656416680796,0.5272300093483986,3.0927360290401102,2001-10 1973-08 1973-09 2001-09 2003-04,+0.000 +0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,unit,-,7,1,1.0100261695264272,-2.292991864853081,-1.8689204166440068,13,32,32,False,0.48968429627479265,0.6403070754825692,3.455606635132821,1966-11 1966-10 1967-01 1966-06 1966-07,+0.012 +0.148 +0.214 -0.126 +0.485 +0.530 -0.540 -0.329
MCD-PCA,unit,-,7,2,0.7450421877888661,-2.2021409572547843,-1.8623033095390538,26,43,43,False,0.5228525046586496,0.6176115534597709,3.2410500880596915,1981-09 1990-08 1970-05 2002-07 1982-06,+0.332 +0.245 -0.063 +0.469 +0.141 -0.156 +0.325 -0.675
MCD-PCA,unit,-,7,3,0.6297117879839788,-2.0757508586236257,2.7423488093307364,50,19,50,False,0.49048915598778786,0.5796925832109341,3.1392566878795294,2003-04 1982-10 1973-09 1982-05 1973-08,-0.094 -0.285 -0.400 -0.432 +0.587 -0.434 +0.060 -0.161
MCD distance,unit,-,7,0,17.534546139484647,17.786357951918234,29.627173725537464,2,1,2,True,1.8001382853036298,,,2001-10 2001-09 1980-05 1980-04 1980-03,flagged at chi2_0.975: 113 of 480 months
dVar-PP,unit,sequential,7,1,0.6771106686496648,1.0005552623559184,1.0173113317945754,132,122,132,False,0.3462561824747221,0.6771106686496648,3.3828131636844394,1966-10 1966-11 1981-01 1967-01 1966-09,+0.056 +0.092 -0.258 +0.329 -0.308 -0.594 +0.585 +0.154
dVar-PP,unit,sequential,7,2,0.6492440595352913,2.4307125718232103,2.6014654149665257,6,2,6,False,0.8505495616796149,0.6492467698824899,3.4536310010765847,1975-04 2001-10 1982-07 2002-01 1982-08,-0.505 -0.637 +0.003 -0.324 -0.132 -0.085 +0.055 +0.455
dVar-PP,unit,sequential,7,3,0.6080468102736888,0.6025115995762288,1.415924805999846,262,80,262,False,0.15334164908017167,0.6081228354546063,3.3197578088152637,1982-10 1987-11 1982-04 1982-09 1981-06,+0.362 -0.002 +0.177 +0.353 -0.434 +0.189 -0.351 +0.605
dVar-PP,unit,joint,7,1,0.6665986656242373,0.29149503764789986,0.9816792804628182,370,141,370,False,0.10086584854225403,0.6665986656242373,3.3904507696598776,1966-10 1981-01 1966-05 1966-08 1966-09,+0.050 +0.002 -0.298 +0.264 -0.154 -0.631 +0.636 -0.115
dVar-PP,unit,joint,7,2,0.6478176053333792,-2.2433962185696217,-2.458852995779197,12,2,12,False,0.7906022924458966,0.6478176053333792,3.4257707572143024,1975-04 2001-10 2002-01 1980-05 1991-05,+0.478 +0.675 +0.035 +0.348 +0.093 +0.123 -0.096 -0.402
dVar-PP,unit,joint,7,3,0.6292423722702888,1.704436243015769,1.5586487989055413,40,48,48,False,0.47263094816428414,0.6292423722702888,3.2442773340556577,1974-12 1982-10 1982-09 1970-05 1987-11,-0.021 +0.299 +0.137 +0.268 -0.679 +0.005 -0.099 +0.590
dVar-PP (biloop),unit,sequential,7,1,3.4541708086506513,2.499981874840415,-0.8233281027249049,8,207,207,False,0.22417480253866254,0.6383251796139189,3.4541708086506513,1981-01 1966-11 1970-12 1981-06 1983-01,+0.032 +0.066 -0.261 +0.077 +0.147 -0.534 +0.682 +0.385
dVar-PP (biloop),unit,sequential,7,2,3.4177175828550035,-0.22884205067444324,-1.6933871352738572,396,60,396,False,0.049225787614214755,0.586043362385725,3.2762051003465844,1970-12 1981-06 1982-02 1983-01 1974-12,-0.005 -0.219 -0.006 -0.316 +0.812 -0.168 +0.384 -0.126
dVar-PP (biloop),unit,sequential,7,3,3.380585039879477,0.0220370186185796,5.779030245469077,468,1,468,False,0.006410049785707536,0.6029696473560002,3.225251657612666,2001-10 1982-01 1975-04 1966-11 2002-01,-0.307 -0.376 -0.002 -0.566 -0.389 -0.453 +0.202 +0.214
dVar-PP (biloop),unit,joint,7,1,3.476695797269646,-0.6398115283303374,3.707858722507218,255,1,255,False,0.22250716488358377,0.6486670438089465,3.476695797269646,2001-10 1981-01 1966-11 1973-02 1975-03,+0.160 +0.094 -0.308 +0.407 -0.082 -0.718 +0.332 +0.269
