# script: ch06_outlier_recovery.py
# seeds: 42, 7, 123
# K: 3
# budget: {'plain': {'n_starts': 20, 'max_iter': 300}, 'robust': {'n_starts': 8, 'max_iter': 80}}
method,basis,strategy,seed,direction,criterion,z_sep2001,z_oct2001,rank_sep2001,rank_oct2001,worse_rank,pair_isolated,sep_margin,dvar,dvar_biloop,top5_months,detail
MCD-PCA,scaled,-,7,3,4.634805151834699,-0.9035292452147755,3.0495636644893307,181,12,181,False,0.21245647826520947,1.69503379703071,3.116435957899686,1970-12 1973-08 1982-02 1973-12 1979-04,-0.087 -0.778 +0.150 -0.501 +0.270 -0.051 +0.004 +0.194
MCD distance,scaled,-,7,0,17.534546139484647,15.48430952281654,28.037393241233815,2,1,2,True,1.3234420603529076,,,2001-10 2001-09 1980-05 1980-04 1980-03,flagged at chi2_0.975: 113 of 480 months
dVar-PP,scaled,sequential,7,1,2.740029240136459,-1.8744390534161675,-1.7396024533852847,47,57,57,False,0.2990946257735215,2.740029240136459,3.126804791487355,1974-12 1980-05 1980-04 1974-11 1975-02,-0.995 -0.013 +0.048 +0.053 +0.039 +0.030 +0.033 -0.026
dVar-PP,scaled,sequential,7,2,1.809732843330588,0.5722382512047627,2.0262595230429654,276,48,276,False,0.1276371444621498,1.809783644081357,3.1530306160933694,1980-03 1973-12 1974-07 1970-12 1980-12,-0.011 -0.952 -0.069 -0.218 +0.026 -0.127 -0.097 +0.118
dVar-PP,scaled,sequential,7,3,1.5887727333825257,2.3176029950434778,-0.7296167547421362,9,221,221,False,0.16202360997830645,1.5887593764714585,3.3851916924689744,1982-02 1966-10 1978-01 1970-10 1991-06,-0.024 -0.059 -0.360 +0.624 -0.562 -0.345 -0.200 +0.052
dVar-PP,scaled,joint,7,1,2.27673496162949,-1.9034369494683308,-2.32043105208614,32,17,32,False,0.4030535457595609,2.27673496162949,3.254550831795175,1980-05 1975-02 1975-01 1982-08 1974-12,-0.602 +0.735 +0.193 +0.124 +0.146 +0.042 -0.013 -0.147
dVar-PP,scaled,joint,7,2,2.107960767144351,-2.747113457734379,1.7131621718749488,12,55,55,False,0.3318218200739116,2.107960767144351,3.1784787704851705,1974-12 1980-05 1980-04 1974-11 1973-08,-0.560 -0.562 +0.449 -0.326 +0.165 +0.140 +0.123 -0.011
dVar-PP,scaled,joint,7,3,2.0693824853930898,0.945831431482414,-3.39697949175103,178,9,178,False,0.16131203290000085,2.0693824853930898,3.0305289156593305,1980-04 1974-12 1975-02 1974-11 1975-01,-0.561 -0.258 -0.633 +0.319 -0.292 -0.127 -0.027 +0.122
dVar-PP (biloop),scaled,sequential,7,1,3.4687621691523356,0.020930018952943153,-3.260876560421157,474,6,474,False,0.004668866855814354,1.450386245650198,3.4687621691523356,1980-04 1981-01 1973-09 1973-07 1980-12,-0.110 -0.348 -0.185 -0.273 +0.079 +0.739 +0.392 -0.228
dVar-PP (biloop),scaled,sequential,7,2,3.4063230062513137,3.2206033901221267,-5.932424890101928,9,1,9,False,0.701212495362206,1.2922533291344434,3.1621520022903766,2001-10 1982-10 1987-10 1982-09 1974-09,-0.172 +0.249 +0.282 -0.046 -0.066 +0.574 -0.098 +0.695
dVar-PP (biloop),scaled,sequential,7,3,3.3556224610078775,2.358248040589724,-10.293298157694649,14,1,14,False,0.38189956216925386,1.6523183476524357,3.2831199066994095,2001-10 1980-05 1974-12 1975-01 1981-11,-0.481 +0.247 +0.160 -0.075 +0.106 +0.459 -0.652 -0.170
dVar-PP (biloop),scaled,joint,7,1,3.372380973658161,1.8825063510347388,3.0411822997918394,38,7,38,False,0.292111135165463,1.5413190819691054,3.372380973658161,1980-05 1980-04 1974-12 1981-01 1981-11,+0.307 +0.190 -0.064 +0.452 +0.019 -0.491 -0.088 +0.642
dVar-PP (biloop),scaled,joint,7,2,3.333593867874776,-0.7212688441450091,3.713236638673862,232,8,232,False,0.10086560450435035,1.934456083697899,3.333593867874776,1980-05 1981-11 1975-01 1982-10 1974-11,+0.584 -0.083 -0.397 -0.071 +0.357 +0.019 +0.579 -0.161
dVar-PP (biloop),scaled,joint,7,3,3.3332569062874167,-0.14439092069435472,5.390092047643337,436,1,436,False,0.03802225391639719,1.7336278457035807,3.3332569062874167,2001-10 1973-08 1975-04 1974-01 1973-12,+0.136 -0.760 +0.174 -0.410 -0.213 -0.152 +0.061 +0.364
PCA,scaled,-,123,1,23.116725381981603,1.7863249217813832,1.9569174664961912,55,45,55,False,0.29148153910254,2.7313280520667433,3.166607563998934,1980-05 1974-12 1980-04 1974-11 1975-02,+1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,scaled,-,123,2,9.400195252574871,-0.24207687570767578,-2.2911293555819707,386,41,386,False,0.03964712480456157,1.756063151391775,3.0600261503546844,1980-03 1974-07 1973-08 1980-12 1981-05,+0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,scaled,-,123,3,7.272958111514728,-4.28646483574973,7.076354013436696,6,3,6,False,0.4998726625248841,1.3962136722592944,3.1158370964178217,1973-08 1973-09 2001-10 2003-04 1986-05,+0.000 +0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,scaled,-,123,1,11.676498588535452,-2.043619313242692,-1.7875493240399698,42,56,56,False,0.3055497050777623,2.720187102640802,3.187349706577372,1974-12 1980-05 1975-02 1975-01 1974-11,-0.980 +0.116 +0.097 +0.057 +0.108 -0.023 -0.006 -0.028
MCD-PCA,scaled,-,123,2,5.20051472910209,-1.9449219599234122,-1.2328655379111229,21,119,119,False,0.3617841053485591,1.5528383390698735,3.4179059415442983,1966-10 1966-11 1966-12 1966-09 1967-01,+0.088 +0.237 +0.266 -0.282 +0.539 +0.582 +0.337 -0.209
MCD-PCA,scaled,-,123,3,4.628310405463322,-0.7483010501085533,3.0755864474622516,218,12,218,False,0.1777178481020297,1.7049809825566482,3.1169792108781103,1970-12 1973-08 1973-12 1982-02 1979-04,-0.088 -0.792 +0.135 -0.491 +0.226 -0.084 -0.016 +0.218
MCD distance,scaled,-,123,0,17.534546139484647,15.45301738755949,27.9764726403053,2,1,2,True,1.3113052934214855,,,2001-10 2001-09 1980-05 1980-04 1980-03,flagged at chi2_0.975: 116 of 480 months
dVar-PP,scaled,sequential,123,1,2.7400327561499918,-1.872270242797746,-1.7450915288264677,47,57,57,False,0.3001575028712055,2.7400327561499918,3.1262686472610546,1974-12 1980-05 1980-04 1974-11 1975-02,-0.995 -0.013 +0.048 +0.052 +0.039 +0.030 +0.033 -0.027
dVar-PP,scaled,sequential,123,2,1.809700956159371,-0.5761958179583799,-2.01005114681409,275,48,275,False,0.12844189686542715,1.8096954400773073,3.150535112993993,1980-03 1973-12 1974-07 1970-12 1980-12,+0.012 +0.953 +0.068 +0.217 -0.025 +0.126 +0.099 -0.119
dVar-PP,scaled,sequential,123,3,1.588725134595661,-2.2998367179455235,0.7215928739122396,9,222,222,False,0.16154990117574203,1.5888350013209533,3.377793984984945,1982-02 1966-10 1978-01 1970-10 1991-06,+0.024 +0.058 +0.358 -0.624 +0.560 +0.347 +0.202 -0.054
dVar-PP,scaled,joint,123,1,2.276898041321504,-1.9041658478775834,-2.3250250672385775,32,16,32,False,0.40366111366062096,2.276898041321504,3.254565460932373,1980-05 1975-02 1975-01 1982-08 1974-12,-0.602 +0.735 +0.192 +0.125 +0.146 +0.044 -0.011 -0.148
dVar-PP,scaled,joint,123,2,2.108364783984542,-2.749912657296611,1.7030811402635557,12,58,58,False,0.3297422628481955,2.108364783984542,3.181511583222727,1974-12 1980-05 1980-04 1974-11 1973-08,-0.560 -0.562 +0.447 -0.326 +0.167 +0.143 +0.127 -0.012
dVar-PP,scaled,joint,123,3,2.0688236247726146,0.9472405133695093,-3.370514302371232,178,9,178,False,0.162765970786781,2.0688236247726146,3.0252163427568006,1980-04 1974-12 1975-02 1974-11 1975-01,-0.561 -0.258 -0.631 +0.320 -0.294 -0.130 -0.031 +0.125
dVar-PP (biloop),scaled,sequential,123,1,3.4349970893623323,2.024518906074687,-5.387179902982524,19,2,19,False,0.31102950383809613,1.4387801180868578,3.4349970893623323,1973-09 2001-10 1973-07 1980-12 2003-04,+0.050 -0.170 -0.584 -0.205 +0.134 +0.651 +0.361 -0.117
dVar-PP (biloop),scaled,sequential,123,2,3.4085615669542713,-5.269577710518069,10.11880253084101,3,1,3,False,0.7443043806597508,1.3440376409702857,3.31992380304834,2001-10 1973-08 2001-09 1973-09 1986-05,+0.025 -0.255 +0.723 +0.072 +0.141 +0.114 +0.557 +0.251
dVar-PP (biloop),scaled,sequential,123,3,3.3941024094003804,1.4169445793101285,-8.71966244288688,95,1,95,False,0.31205426432312583,1.4838294389277797,3.2427002249500085,2001-10 1982-01 1974-12 1970-10 1964-11,-0.278 +0.079 -0.004 +0.223 +0.748 +0.545 -0.094 +0.038
dVar-PP (biloop),scaled,joint,123,1,3.4890787904112246,2.988127775701176,-7.994902509721997,7,1,7,False,0.6454308630592106,1.3906412645481274,3.4890787904112246,2001-10 1973-09 1973-07 1980-04 1981-01,-0.024 -0.251 -0.298 -0.372 +0.123 +0.809 +0.071 -0.183
dVar-PP (biloop),scaled,joint,123,2,3.425703410444954,1.624876855105326,2.7647629837389176,67,4,67,False,0.5429704314545926,1.7902587779549768,3.425703410444954,1975-04 1970-12 1983-01 2001-10 1973-12,+0.194 -0.691 -0.217 -0.380 -0.097 -0.353 -0.168 +0.362
dVar-PP (biloop),scaled,joint,123,3,3.251992377481738,-3.631024065465547,3.220801605463593,12,16,16,False,0.3874239070424085,2.0957154990218245,3.251992377481738,1980-05 1980-04 1981-11 1980-06 1974-11,-0.695 -0.081 +0.223 -0.261 -0.490 -0.020 +0.376 +0.101
