# script: ch06_case_mechanism.py
# seeds: 0, 42, 7, 123, 2024
# K: 3
seed,strategy,direction,dvar,sd_fit,margin,pair_isolated,worse_rank,loadings
0,sequential,1,0.6763466334419385,1.0000000000000004,0.35050469938467727,False,146,-0.058 +0.075 +0.164 -0.453 -0.232 -0.817 +0.196 -0.006
0,sequential,2,0.6559686259271319,1.0000000000000002,0.02553247267158372,False,442,-0.461 +0.622 +0.261 -0.188 +0.074 +0.110 -0.484 -0.214
0,sequential,3,0.6447542396775157,0.9999999999999999,1.4624816269056065,True,2,-0.410 -0.160 -0.100 -0.136 +0.060 +0.001 -0.188 +0.859
0,joint,1,0.6727658411075207,1.0000000000000004,0.11057033326348424,False,360,+0.048 -0.057 -0.151 +0.486 +0.189 +0.819 -0.037 -0.166
0,joint,2,0.6560048234817737,1.0000000000000002,0.05912483148635858,False,409,+0.470 -0.619 -0.246 +0.171 -0.057 -0.134 +0.475 +0.243
0,joint,3,0.6527374479464583,1.0,1.5744345948820966,True,2,-0.083 -0.062 +0.092 +0.071 -0.437 -0.070 +0.363 -0.805
42,sequential,1,0.6763539946581426,1.0000000000000002,0.3479924787241439,False,147,-0.057 +0.080 +0.163 -0.448 -0.235 -0.818 +0.197 -0.008
42,sequential,2,0.6559782490488213,1.0000000000000002,0.02745500927538644,False,441,-0.457 +0.624 +0.257 -0.189 +0.074 +0.113 -0.485 -0.214
42,sequential,3,0.6447721763790988,1.0,1.4430085506896382,True,2,-0.416 -0.165 -0.097 -0.142 +0.057 -0.001 -0.187 +0.856
42,joint,1,0.6727622318147491,1.0000000000000002,0.10645956607738703,False,363,+0.049 -0.057 -0.154 +0.488 +0.192 +0.815 -0.045 -0.171
42,joint,2,0.6560288092671008,1.0000000000000002,0.05910290687808588,False,409,+0.470 -0.618 -0.248 +0.174 -0.060 -0.132 +0.476 +0.242
42,joint,3,0.652719734076879,1.0,1.5757743548081347,True,2,-0.087 -0.065 +0.094 +0.068 -0.433 -0.069 +0.362 -0.807
7,sequential,1,0.6763170751474227,1.0000000000000002,0.33600458447996456,False,157,-0.049 +0.086 +0.160 -0.457 -0.239 -0.815 +0.186 -0.003
7,sequential,2,0.6560433492148593,1.0000000000000002,0.018359070488519705,False,451,-0.458 +0.624 +0.260 -0.186 +0.077 +0.116 -0.485 -0.211
7,sequential,3,0.6447372580922515,1.0,1.445843162891818,True,2,-0.412 -0.165 -0.106 -0.138 +0.058 +0.002 -0.192 +0.856
7,joint,1,0.6726729685639277,1.0000000000000007,0.10393120536522676,False,363,-0.051 +0.055 +0.152 -0.488 -0.186 -0.818 +0.040 +0.169
7,joint,2,0.6560017880538986,1.0000000000000002,0.057350948126629914,False,409,+0.471 -0.619 -0.248 +0.171 -0.056 -0.133 +0.475 +0.242
7,joint,3,0.6528294075574623,1.0,1.5784171071447795,True,2,-0.084 -0.063 +0.090 +0.070 -0.438 -0.073 +0.361 -0.805
123,sequential,1,0.6763369396926844,1.0000000000000004,0.36111902527542944,False,128,-0.059 +0.081 +0.163 -0.448 -0.237 -0.819 +0.188 +0.001
123,sequential,2,0.6560279426030463,1.0000000000000002,0.02754799972835284,False,442,-0.459 +0.620 +0.263 -0.187 +0.072 +0.118 -0.486 -0.215
123,sequential,3,0.6448121061323658,1.0,1.4482572640616191,True,2,+0.414 +0.164 +0.100 +0.140 -0.061 -0.009 +0.192 -0.855
123,joint,1,0.6728264934567796,1.0000000000000009,0.11319136621130398,False,358,+0.043 -0.060 -0.152 +0.489 +0.194 +0.815 -0.044 -0.168
123,joint,2,0.6560011950187117,1.0000000000000002,0.06365021040331424,False,405,-0.473 +0.614 +0.244 -0.175 +0.058 +0.130 -0.478 -0.245
123,joint,3,0.6526570237095284,1.0,1.5793641169330197,True,2,-0.081 -0.066 +0.094 +0.067 -0.439 -0.066 +0.359 -0.806
2024,sequential,1,0.6763459850112847,1.0000000000000004,0.35101402143929056,False,146,-0.055 +0.079 +0.163 -0.455 -0.234 -0.815 +0.196 -0.005
2024,sequential,2,0.6559835730998911,1.0,0.021786106774805393,False,444,+0.460 -0.624 -0.265 +0.185 -0.074 -0.113 +0.480 +0.213
2024,sequential,3,0.6447865888275706,1.0,1.4498704365043609,True,2,+0.414 +0.164 +0.098 +0.140 -0.060 -0.005 +0.189 -0.856
2024,joint,1,0.6726676801480485,1.0000000000000004,0.10561869213850911,False,366,-0.047 +0.058 +0.151 -0.485 -0.186 -0.820 +0.039 +0.168
2024,joint,2,0.6560107620259038,1.0000000000000004,0.05804436520715975,False,409,+0.472 -0.617 -0.246 +0.172 -0.057 -0.132 +0.477 +0.243
2024,joint,3,0.6528306817932059,1.0,1.5743435003217712,True,2,+0.087 +0.064 -0.092 -0.068 +0.436 +0.072 -0.364 +0.805
