# script: ch06_case_mechanism.py
# seeds: 0, 42, 7, 123, 2024
# KMAX: 8
fitted_on,n_fit,seed,dvar_train,sd_train,dvar_over_sd_train,margin_train,excess_sep_train,excess_oct_train,excess_abs_max_train,dvar_full,sd_full,dvar_over_sd_full,margin_full,excess_sep_full,excess_oct_full,excess_abs_max_full,dvar_held,sd_held,dvar_over_sd_held,margin_held,excess_sep_held,excess_oct_held,excess_abs_max_held,angle_to_full_deg,loadings
train,240,0,0.7316892524313746,1.090802722296537,0.6707805522257061,0.9355976557955072,1.992974464701758,-5.025166313107052,5.025166313107052,0.5626244891029577,1.001047807768312,0.5620355838521297,1.0270296527943796,0.0,0.0,0.0,0.5564537791520606,0.8971203429729082,0.6202665935632058,1.0270296527943796,2.4232445385867383,-6.110066656347751,6.110066656347751,81.2640294906585,+0.621 -0.049 -0.497 +0.148 -0.170 +0.549 -0.107 -0.018
full,480,0,0.6995267895352391,1.0848273866852354,0.644827737685247,0.32484365972757423,0.0,0.0,0.0,0.6176662424125923,1.0010446860900404,0.6170216484791723,0.30099496166345835,0.0,0.0,0.0,0.6140029822053497,0.9957886675990357,0.616599688451751,0.3009949616634583,0.0,0.0,0.0,0.0,+0.015 +0.125 -0.069 -0.270 +0.685 -0.113 -0.369 +0.538
held,478,0,0.7031859279957464,1.0889883713380986,0.6457240008281301,0.09783275650807093,0.0,0.0,0.0,0.6171847911515729,1.001044483754333,0.6165408242767327,0.07980441276697313,0.0,0.0,0.0,0.6179085731918107,1.0022534208147398,0.6165192957780158,0.07980441276697313,0.0,0.0,0.0,5.928543797628242,+0.026 +0.135 -0.114 -0.263 +0.682 -0.029 -0.342 +0.563
train,240,42,0.7317873865758955,1.0908728129428202,0.6708274125942978,0.937099921257943,1.9947732519524293,-5.026207799334925,5.026207799334925,0.5625851331869219,1.0010478054064587,0.5619962704563282,1.0278140916856424,0.0,0.0,0.0,0.5564132803797198,0.8970899839372288,0.6202424398249141,1.0278140916856426,2.425669606732234,-6.111932513649918,6.111932513649918,79.93720727348735,+0.621 -0.050 -0.497 +0.149 -0.170 +0.549 -0.106 -0.018
full,480,42,0.6554887995638241,1.0931372473651384,0.5996399822106442,0.4435208571381144,0.0,0.0,0.0,0.6215355661970005,1.0010443282141912,0.6208871562219289,0.289382500607659,0.0,0.0,0.0,0.6177956505200182,0.9965992923310859,0.6199037619974316,0.29022692487212687,0.0,0.0,0.0,1.4787793334710982e-06,+0.587 +0.547 +0.428 +0.311 +0.180 +0.082 +0.122 -0.152
held,478,42,0.6771652355375973,1.0750590937431634,0.6298865238931463,0.13601581649536693,0.0,-2.2712563017407525,2.2712563017407525,0.6229081945001583,1.0010444944946064,0.6222582491846615,0.03508741325122162,0.0,0.0,0.0,0.6209716901036199,0.9669107065730538,0.6422223747056038,0.037660382045726956,0.0,-2.525294967579698,2.525294967579698,34.99597192992063,+0.537 +0.710 -0.057 +0.156 +0.072 +0.246 +0.072 -0.330
train,240,7,0.7319823596545919,1.0912666599697332,0.6707639722768529,0.930658698563205,1.9808196302600476,-5.008398967726361,5.008398967726361,0.5627982374387879,1.0010478023013964,0.5622091533939955,1.0225330598739164,0.0,0.0,0.0,0.5566295638299792,0.8974147768302668,0.6202589685407618,1.0225330598739166,2.408699385975455,-6.0902705799108166,6.0902705799108166,80.72035575088987,+0.621 -0.049 -0.497 +0.148 -0.170 +0.549 -0.108 -0.020
full,480,7,0.7031319538517046,1.0872621459989469,0.6466995622345392,0.29909006136664706,0.0,0.0,0.0,0.61764817689475,1.001044655116229,0.6170036209054393,0.2551819266653645,0.0,0.0,0.0,0.6145352885101545,0.9975291669971789,0.6160574636229083,0.2551819266653645,0.0,0.0,0.0,0.0,-0.019 +0.181 -0.077 -0.275 +0.670 -0.097 -0.371 +0.538
held,478,7,0.703630141811954,1.090523267476626,0.6452224934549922,0.13205302910069536,0.0,0.0,0.0,0.6174264203466309,1.0010445052826467,0.6167821880929254,0.11061370961423053,0.0,0.0,0.0,0.6174448749525985,1.001707538277352,0.6163923614016379,0.11061370961423053,0.0,0.0,0.0,5.636590360030033,+0.022 +0.132 -0.103 -0.257 +0.686 -0.040 -0.344 +0.561
train,240,123,0.7397376477833403,1.1032026672075887,0.6705364932227311,0.8972231147710086,1.8295504952377462,-4.584290697372493,4.584290697372493,0.5661905525934926,1.0010475389926312,0.5655980665646093,0.960094907721134,0.0,0.0,0.0,0.5600497667306897,0.9046947486825647,0.6190483227035923,0.960094907721134,2.230990053912031,-5.590174732373505,5.590174732373505,79.61185556985646,+0.629 -0.037 -0.496 +0.164 -0.214 +0.523 -0.102 -0.029
full,480,123,0.6984477058928996,1.083965252108961,0.6443451065742198,0.31260417936657553,0.0,0.0,0.0,0.617638098917536,1.0010446713238947,0.6169935434556596,0.2848487902556169,0.0,0.0,0.0,0.6141518415171333,0.9962933753026331,0.6164367411663048,0.2848487902556169,0.0,0.0,0.0,1.2074182697257333e-06,+0.016 +0.119 -0.078 -0.269 +0.682 -0.109 -0.372 +0.540
held,478,123,0.7229304765291674,1.1018655777006716,0.6560967972497602,0.3335115171590673,0.0,0.0,0.0,0.6225206705327553,1.0010446045655519,0.6218710611830589,0.3137099141590214,0.0,0.0,0.0,0.6203563836716991,0.9996604024321305,0.6205671267586461,0.3137099141590214,0.0,0.0,0.0,12.195296649999838,+0.027 +0.263 +0.011 -0.313 +0.711 -0.033 -0.339 +0.458
train,240,2024,0.7330831804224979,1.0923955869124355,0.6710784895190725,0.9297345485255115,1.9680462303042416,-4.986567296253331,4.986567296253331,0.5630827115099235,1.0010477967636282,0.5624933328162363,1.02020040493931,0.0,0.0,0.0,0.5569176802737071,0.8978366786059848,0.6202884038313055,1.02020040493931,2.3945168069564735,-6.067143655488328,6.067143655488328,79.74602465943416,+0.623 -0.050 -0.494 +0.150 -0.172 +0.549 -0.107 -0.020
full,480,2024,0.6549444238185158,1.0915231064133628,0.6000279975479388,0.46119695302235103,0.0,0.0,0.0,0.6220334949110473,1.0010443359482868,0.6213845606766223,0.3006662510181812,0.0,0.0,0.0,0.618178317940137,0.9965444041451644,0.6203218997254921,0.30292996772432723,0.0,0.0,0.0,0.0,+0.584 +0.547 +0.426 +0.314 +0.179 +0.085 +0.126 -0.158
held,478,2024,0.705047790049846,1.0917710463057022,0.6457835573086159,0.09007095077074023,0.0,0.0,0.0,0.6173288510130049,1.0010444925099644,0.616684728433147,0.07710201847430379,0.0,0.0,0.0,0.6181595786975074,1.0023296946926301,0.6167228028568678,0.07710201847430379,0.0,0.0,0.0,87.18410723584383,+0.024 +0.133 -0.105 -0.262 +0.691 -0.028 -0.332 +0.559
