# script: ch03_degenerate_branch.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
config,kind,seed,calls,degenerate,share
k2_p5_product_noisy,joint,99,808,68,0.08415841584158416
k1_square_noise0.0_p5,single,777,245,12,0.04897959183673469
k1_square_noise2.0_p20,single,777,303,2,0.006600660066006601
k1_abs_noise0.0_p5,single,777,267,8,0.0299625468164794
k1_sine_noise0.0_p5,single,777,206,3,0.014563106796116505
k1_sine_noise1.0_p20,single,777,281,3,0.010676156583629894
k1_cubic_noise2.0_p20,single,777,250,4,0.016
k2_p5_product,sequential,777,619,7,0.011308562197092083
k2_p5_product,joint,777,738,2,0.0027100271002710027
k2_p5_sum_squares,sequential,777,643,13,0.02021772939346812
k2_p5_sum_squares,joint,777,808,11,0.013613861386138614
k2_p10_sum_squares,sequential,777,689,31,0.04499274310595065
k2_p10_sum_squares,joint,777,808,34,0.04207920792079208
k2_p5_product_noisy,sequential,777,563,3,0.0053285968028419185
k2_p5_product_noisy,joint,777,808,2,0.0024752475247524753
k1_square_noise0.0_p5,single,31337,191,1,0.005235602094240838
k1_square_noise2.0_p20,single,31337,255,3,0.011764705882352941
k1_abs_noise0.0_p5,single,31337,267,0,0.0
k1_sine_noise0.0_p5,single,31337,188,0,0.0
k1_sine_noise1.0_p20,single,31337,282,4,0.014184397163120567
k1_cubic_noise2.0_p20,single,31337,293,0,0.0
k2_p5_product,sequential,31337,493,35,0.07099391480730223
k2_p5_product,joint,31337,808,8,0.009900990099009901
k2_p5_sum_squares,sequential,31337,657,7,0.0106544901065449
k2_p5_sum_squares,joint,31337,808,0,0.0
k2_p10_sum_squares,sequential,31337,607,6,0.009884678747940691
k2_p10_sum_squares,joint,31337,808,5,0.006188118811881188
k2_p5_product_noisy,sequential,31337,576,13,0.022569444444444444
k2_p5_product_noisy,joint,31337,808,10,0.012376237623762377
