# script: ch06_case_motivating_example.py
# seeds: 42, 7, 123
# K: 2
# basis: fit_unit
# headline_seed: 42
# holdout: 2001-09-01, 2001-10-01
method,basis,strategy,seed,direction,criterion,margin,pair_isolated,outside_support,z_sep_mad,z_oct_mad,z_sep_sd,z_oct_sd,excess_sep_sd,excess_oct_sd,rank_sep2001,rank_oct2001,worse_rank,fit_support,dvar_fit,dvar_biloop_fit,top5_months,detail
MCD-PCA,fit_unit,-,7,1,1.0502756204527783,0.031668557560034775,False,False,0.1254368707221723,6.405712891093514,0.08778537392137978,6.148621413506299,0.0,3.9334768422395294,426,1,426,"[-3.86, 2.22]",0.6243228981254074,3.3204223542882203,2001-10 1966-11 1966-10 1966-09 1966-07,-0.049 +0.191 +0.055 +0.206 +0.372 +0.733 -0.432 -0.233
MCD-PCA,fit_unit,-,7,2,0.8714108380497883,1.2088820483797469,True,True,5.531726150925229,-9.515947587536061,5.626094426299572,-9.735507303117263,2.3990535391630745,-5.0431056310650755,2,1,2,"[-4.69, 3.23]",0.6243865546391859,3.3046029688108067,2001-10 2001-09 1982-02 2001-11 1978-01,-0.122 -0.074 +0.084 +0.238 +0.374 -0.042 -0.115 +0.872
MCD distance,fit_unit,-,7,0,17.534546139484647,0.2625653239441916,False,False,6.9139025965425,14.971438340563648,,,,,27,1,27,max d2 on the 478 = 182.1,,,2001-10 1980-05 1980-04 1980-03 1973-08,flagged at chi2_0.975: 118 of 480 months
dVar-PP,fit_unit,sequential,7,1,0.6763170751474227,0.33600458447996456,False,False,-1.0294859890515367,-0.9279463387591089,-1.2522329090785715,-1.1319728784247807,0.0,0.0,117,157,157,"[-2.59, 3.24]",0.6763170751474227,3.324804138714656,1966-10 1966-11 1981-01 1966-09 1967-01,-0.049 +0.086 +0.160 -0.457 -0.239 -0.815 +0.186 -0.003
dVar-PP,fit_unit,sequential,7,2,0.6560433492148593,0.018359070488519705,False,False,-0.05373279532918567,6.116659343719318,-0.06956795208958343,6.795901071366864,0.0,3.549220054440898,451,1,451,"[-2.41, 3.25]",0.6560415579579197,3.3057355950411185,2001-10 1982-02 1975-04 1982-07 2002-01,-0.458 +0.624 +0.260 -0.186 +0.077 +0.116 -0.485 -0.211
dVar-PP,fit_unit,joint,7,1,0.6762967386091226,0.3301300443233606,False,False,-1.0085940953902541,-0.9325807508879286,-1.207072116054912,-1.118900799030215,0.0,0.0,130,162,162,"[-2.58, 3.24]",0.6762967386091226,3.3856735178739936,1966-10 1966-11 1981-01 1966-09 1967-01,-0.064 +0.088 +0.162 -0.451 -0.240 -0.819 +0.177 -0.000
dVar-PP,fit_unit,joint,7,2,0.6561278969523666,0.015061377126697322,False,False,0.044313529230572586,-6.134282575286503,0.05321574115233925,-6.782385400807303,0.0,-3.531518760245567,457,1,457,"[-3.25, 2.38]",0.6561278969523666,3.3216658068913345,2001-10 1982-02 1975-04 1982-07 2002-01,+0.456 -0.623 -0.261 +0.183 -0.076 -0.128 +0.485 +0.210
dVar-PP (biloop),fit_unit,sequential,7,1,3.492056122513031,0.9929335500171953,False,False,3.2599175306131074,-9.190629400300244,3.3200960624039197,-9.434239861537836,0.0,-6.462177111821108,3,1,3,"[-2.97, 3.34]",0.6393300286634744,3.3804287460706535,2001-10 1964-11 2001-09 1966-09 1970-10,-0.032 +0.190 +0.074 -0.164 -0.140 -0.623 +0.146 +0.708
dVar-PP (biloop),fit_unit,sequential,7,2,3.464212731053922,0.6610032683821416,False,False,1.9597079372726354,2.6719531690452656,1.8301962714907714,2.5000313063490345,0.0,0.0,34,5,34,"[-2.80, 2.58]",0.6393827598324499,3.464212731053922,1974-01 1975-04 1973-10 1980-12 2001-10,-0.359 +0.740 +0.269 -0.159 +0.205 +0.042 -0.411 +0.116
dVar-PP (biloop),fit_unit,joint,7,1,3.482392545818733,0.6862618017925036,False,False,-2.818983492969424,10.619428994267416,-2.6803673683841445,9.875211002770646,0.0,6.083906869817378,12,1,12,"[-2.97, 3.79]",0.6257964916045972,3.482392545818733,2001-10 1980-05 1982-10 1982-02 1970-10,-0.371 +0.361 +0.188 +0.225 -0.155 +0.142 -0.265 -0.729
dVar-PP (biloop),fit_unit,joint,7,2,3.3962590359486047,0.23616180619240174,False,False,0.9157144559435371,-2.0510899769689033,0.8985469942837346,-1.9553078893671698,0.0,0.0,181,23,181,"[-2.71, 3.75]",0.62828474845248,3.3962590359486047,1981-01 1973-08 1981-06 1975-08 1973-10,-0.081 -0.425 -0.167 +0.539 +0.033 +0.646 +0.275 -0.028
PCA,fit_unit,-,123,1,1.0000000000000002,0.26183286242452875,False,False,-1.9383380093080507,-1.5970674451234332,-1.4352023194337373,-1.1575628903488864,0.0,0.0,45,66,66,"[-4.82, 2.21]",0.5662141339723658,3.142454237402284,1980-05 1974-12 1980-04 1974-11 1975-02,+1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,fit_unit,-,123,2,1.0000000000000009,0.11961980745519865,False,False,1.049999386508048,0.7608105768911936,0.9463191783518019,0.7314627169350022,0.0,0.0,154,219,219,"[-4.56, 2.61]",0.570234791444096,3.0471652221058214,1980-03 1980-12 1974-07 1973-08 1981-05,+0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,fit_unit,-,123,1,1.0676118655855624,0.08005052681948803,False,False,0.3306193142294265,6.756160510485717,0.2501233332642692,6.223959017311202,0.0,3.8838010731727817,368,1,368,"[-3.90, 2.34]",0.6176340973419528,3.278080767460431,2001-10 1966-11 1966-10 1966-07 1966-06,-0.083 +0.197 +0.023 +0.152 +0.409 +0.700 -0.486 -0.193
MCD-PCA,fit_unit,-,123,2,0.871957660150503,1.2953552628660172,True,True,-5.346387987039621,8.960140107712967,-5.44540405686035,9.092862697214562,-2.372985826454344,4.911069453513365,2,1,2,"[-3.07, 4.18]",0.6292032289579451,3.3514972520708057,2001-10 2001-09 1982-02 1982-01 2001-11,+0.163 +0.023 -0.073 -0.117 -0.381 +0.141 +0.171 -0.872
MCD distance,fit_unit,-,123,0,17.534546139484647,0.2585921475190838,False,False,6.895735856649727,14.879467992092582,,,,,27,1,27,max d2 on the 478 = 183.9,,,2001-10 1980-05 1980-04 1980-03 1973-08,flagged at chi2_0.975: 113 of 480 months
dVar-PP,fit_unit,sequential,123,1,0.6763369396926844,0.36111902527542944,False,False,-0.9992659107121613,-1.0083678603097017,-1.2027824290297167,-1.2135058412177175,0.0,0.0,128,125,128,"[-2.57, 3.23]",0.6763369396926844,3.3434944315482142,1966-10 1966-11 1981-01 1966-09 1967-01,-0.059 +0.081 +0.163 -0.448 -0.237 -0.819 +0.188 +0.001
dVar-PP,fit_unit,sequential,123,2,0.6560279426030463,0.02754799972835284,False,False,-0.08192599559390289,6.18624215161653,-0.09364702477740434,6.833126022140025,0.0,3.549827201131393,442,1,442,"[-2.39, 3.28]",0.6560404816286267,3.3250444119829985,2001-10 1982-02 1975-04 1982-07 2002-01,-0.459 +0.620 +0.263 -0.187 +0.072 +0.118 -0.486 -0.215
dVar-PP,fit_unit,joint,123,1,0.6762882851955144,0.31326774408405406,False,False,1.0525687949898832,0.8904729405059235,1.2458369302466057,1.059460452501759,0.0,0.0,116,173,173,"[-3.23, 2.58]",0.6762882851955144,3.412978240663351,1966-10 1966-11 1981-01 1966-09 1967-01,+0.065 -0.092 -0.160 +0.446 +0.240 +0.819 -0.185 +0.011
dVar-PP,fit_unit,joint,123,2,0.6561318046990731,0.02230680779307035,False,False,-0.06518048586228689,6.11885946672682,-0.07399557005232546,6.8261300114741985,0.0,3.5670425756400603,447,1,447,"[-2.38, 3.26]",0.6561318046990731,3.298781211915027,2001-10 1982-02 1975-04 1982-07 2002-01,-0.459 +0.621 +0.262 -0.182 +0.076 +0.128 -0.484 -0.215
dVar-PP (biloop),fit_unit,sequential,123,1,3.4795599914761697,0.6003965612766514,False,False,2.262689218555326,-2.3725185516587968,2.2283743615783704,-2.336188746652931,0.0,0.0,12,8,12,"[-3.30, 3.71]",0.6411063097319984,3.4795599914761697,1973-08 1982-02 1966-10 1973-03 1986-05,+0.233 -0.205 +0.085 +0.565 +0.482 +0.561 -0.064 +0.161
dVar-PP (biloop),fit_unit,sequential,123,2,3.465587078346994,0.6002682550815639,False,False,3.017034418190865,-11.640018196342648,2.6536763117004702,-10.084984744794088,0.0,-5.7482162078027965,9,1,9,"[-4.34, 4.38]",0.6059269945388612,3.462472614464412,2001-10 1970-10 1964-11 1980-04 1980-05,+0.584 -0.008 +0.159 -0.151 -0.103 -0.216 +0.161 +0.726
dVar-PP (biloop),fit_unit,joint,123,1,3.4485104559513178,1.1468387689322972,True,True,-3.883617231865165,4.231007216301052,-3.837370714472731,4.160676143499839,-0.68072046432573,0.8325055811594455,2,1,2,"[-3.16, 3.33]",0.6424953461448122,3.4485104559513178,2001-10 2001-09 1966-10 2001-11 1966-12,+0.081 +0.100 -0.076 -0.258 -0.475 -0.685 +0.080 -0.458
dVar-PP (biloop),fit_unit,joint,123,2,3.381071040167699,0.4317990675259526,False,False,2.5881857338371552,-2.222955482582484,2.2495989802449468,-2.011344422623786,0.0,0.0,13,25,25,"[-4.60, 2.51]",0.6091431239445206,3.381071040167699,1973-08 1974-01 1981-01 1973-10 1981-06,-0.096 +0.607 +0.068 -0.541 +0.181 -0.184 -0.221 +0.457
