# script: ch04_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,angle_dcor,angle_ols,angle_sir,angle_save,dcor_found,dcor_ols,dcor_sir,dcor_save,spread
123,square,0.5,200,5,3.3791,65.8985,82.5688,5.3893,0.240363,0.012263,0.004996,0.239482,7.5e-05
2024,square,0.5,200,5,6.3591,80.3913,53.6297,6.0752,0.231142,0.005523,0.014792,0.228451,0.00035
5,square,0.5,200,5,4.3452,13.5128,35.7074,8.0171,0.25507,0.208689,0.088484,0.24954,0.000175
42,square,0.5,200,20,11.4284,77.9738,75.0447,21.693,0.233619,0.064549,0.083084,0.192759,0.126284
7,square,0.5,200,20,11.4823,63.5388,84.4413,14.2879,0.229316,0.029718,0.014519,0.191451,0.078744
123,square,0.5,200,20,9.5393,76.7749,79.091,21.6148,0.219567,0.07695,0.103093,0.183715,7.9e-05
2024,square,0.5,200,20,35.1974,51.4001,77.6455,23.6262,0.229811,0.10956,0.089938,0.226755,0.064519
5,square,0.5,200,20,15.0052,49.7253,76.4583,25.0976,0.298576,0.123807,0.017443,0.244302,0.206949
42,square,0.5,500,5,3.0859,40.6448,57.4518,4.5633,0.235572,0.074512,0.034934,0.23433,0.002556
7,square,0.5,500,5,2.9638,21.1511,83.499,2.2071,0.213531,0.143294,0.005534,0.210715,0.0001
123,square,0.5,500,5,1.1991,85.1687,89.7697,2.1917,0.236626,0.002687,0.010048,0.235447,0.224161
2024,square,0.5,500,5,1.2975,79.1598,71.7366,2.0349,0.228241,0.005711,0.00589,0.227679,1.6e-05
5,square,0.5,500,5,1.6241,89.2215,85.6683,1.4956,0.227955,0.004321,0.00221,0.227478,0.226447
42,square,0.5,1000,5,1.7536,35.2465,53.7473,2.8371,0.233063,0.097287,0.032648,0.231299,8.1e-05
7,square,0.5,1000,5,2.5344,23.5822,40.5182,3.3472,0.216102,0.139759,0.063622,0.215649,0.000467
123,square,0.5,1000,5,1.8925,55.9481,41.9399,2.2232,0.231109,0.022058,0.058163,0.230337,0.000999
2024,square,0.5,1000,5,1.7347,40.9013,54.7174,4.2894,0.220922,0.065531,0.021692,0.218458,0.000239
5,square,0.5,1000,5,1.7995,41.5919,66.3862,3.011,0.239747,0.076148,0.010831,0.238896,0.000244
42,square,1.0,200,2,0.0099,68.725,52.2334,1.3746,0.181122,0.0,0.013503,0.180895,5e-06
7,square,1.0,200,2,3.6093,18.4295,25.785,0.207,0.183206,0.153267,0.122902,0.181164,0.0
123,square,1.0,200,2,5.3286,88.1143,61.4254,5.1918,0.161222,0.0,0.005692,0.161219,0.0
2024,square,1.0,200,2,1.0671,4.5197,31.4495,3.7253,0.184764,0.183163,0.108331,0.183727,0.0
5,square,1.0,200,2,0.5464,86.1788,52.5907,0.9421,0.154359,0.0,0.016893,0.154332,1e-06
42,square,1.0,200,5,2.3061,88.5627,75.6496,5.1748,0.168681,0.0,0.0,0.163382,2.9e-05
7,square,1.0,200,5,12.2965,39.477,50.3722,5.393,0.170558,0.102978,0.078012,0.159887,9.3e-05
123,square,1.0,200,5,4.0906,64.0919,79.4273,4.7737,0.166388,0.021743,0.022845,0.165782,0.000142
2024,square,1.0,200,5,7.3819,89.3495,89.109,10.8215,0.166995,0.0,0.007402,0.164013,4.8e-05
5,square,1.0,200,5,5.5056,19.4096,29.7123,10.1502,0.191929,0.124821,0.100827,0.181176,4e-05
42,square,1.0,200,20,13.2546,74.1648,82.411,19.3357,0.149345,0.061179,0.070983,0.119736,0.057612
7,square,1.0,200,20,20.8957,63.7602,82.4083,25.7144,0.161834,0.040624,0.021441,0.091822,0.106672
123,square,1.0,200,20,13.5065,73.4538,79.5903,27.7133,0.156966,0.08362,0.116298,0.114314,0.024002
2024,square,1.0,200,20,31.0411,56.5802,81.3446,27.2141,0.193454,0.098598,0.038139,0.161686,0.021589
5,square,1.0,200,20,18.31,52.723,62.8695,27.9743,0.240227,0.114771,0.050777,0.205144,0.094252
42,square,2.0,200,2,0.2872,75.2628,59.6012,3.3875,0.101092,0.0,0.00242,0.10036,2e-06
7,square,2.0,200,2,7.5492,26.7005,36.0447,3.7236,0.086619,0.060136,0.039685,0.077627,1e-06
123,square,2.0,200,2,9.5118,71.5287,69.2894,10.2696,0.077941,0.003568,0.003814,0.07789,1e-06
2024,square,2.0,200,2,1.4379,2.3705,5.6152,7.7208,0.092863,0.092767,0.092042,0.091104,3e-06
5,square,2.0,200,2,0.4109,52.9049,44.935,1.0337,0.082485,0.007147,0.017298,0.082447,0.0
42,square,2.0,200,5,3.2045,75.906,61.4391,9.9814,0.085356,0.001782,0.003747,0.079039,9e-05
7,square,2.0,200,5,20.6525,46.2433,57.3765,11.1128,0.087789,0.064745,0.059456,0.066771,4.1e-05
123,square,2.0,200,5,13.7751,62.3815,57.3468,13.6714,0.07594,0.029631,0.03358,0.073693,0.000143
2024,square,2.0,200,5,10.116,71.4251,82.2586,14.1633,0.094448,0.020252,0.012734,0.09277,0.00545
5,square,2.0,200,5,9.1812,37.9062,35.6851,13.9961,0.11325,0.025943,0.061913,0.102509,0.091574
42,square,2.0,200,20,86.1473,71.3721,75.2468,35.0628,0.086578,0.051056,0.014169,0.046262,0.021611
7,square,2.0,200,20,65.0901,66.8472,81.5303,56.9032,0.133578,0.077415,0.090707,0.029149,0.00042
123,square,2.0,200,20,70.6617,70.3396,71.7053,31.9069,0.118423,0.080658,0.063236,0.057215,0.014991
2024,square,2.0,200,20,77.1614,67.2994,86.7066,26.8453,0.138338,0.103084,0.0907,0.079709,0.001724
5,square,2.0,200,20,30.1822,59.8455,67.018,40.4468,0.157763,0.107154,0.034454,0.092949,0.012042
42,tanh,0.0,200,2,0.7661,1.7188,1.755,2.175,0.919548,0.919186,0.917029,0.916112,5e-06
7,tanh,0.0,200,2,0.1995,0.929,0.7345,0.9761,0.926546,0.926281,0.926403,0.926246,0.0
123,tanh,0.0,200,2,0.1055,1.0505,0.837,0.7063,0.918686,0.917989,0.918223,0.918343,0.0
2024,tanh,0.0,200,2,0.06,1.0367,2.1801,2.2781,0.913167,0.912689,0.910954,0.910753,1e-06
5,tanh,0.0,200,2,0.8682,0.9579,1.9575,2.023,0.93654,0.936534,0.932103,0.931898,1e-06
42,tanh,0.0,200,5,1.041,1.6559,1.3443,2.2718,0.920297,0.919435,0.919355,0.917293,8e-05
7,tanh,0.0,200,5,1.5158,1.0535,1.6013,1.5422,0.933368,0.932097,0.928971,0.929674,0.000142
123,tanh,0.0,200,5,0.8548,3.2091,3.7874,3.9502,0.911497,0.908319,0.906384,0.906129,6.7e-05
2024,tanh,0.0,200,5,3.6092,5.4427,2.9808,2.3203,0.933083,0.931276,0.929088,0.930511,4.4e-05
5,tanh,0.0,200,5,1.8043,2.6119,2.0228,2.2432,0.931966,0.931154,0.929628,0.929287,6.5e-05
42,tanh,0.0,200,20,5.4088,7.2721,5.8143,16.2331,0.936831,0.928861,0.904159,0.814185,0.00129
7,tanh,0.0,200,20,4.3001,6.5473,6.1889,27.5516,0.953252,0.942745,0.927171,0.782747,0.003434
123,tanh,0.0,200,20,4.1975,8.5971,5.1959,15.7208,0.939136,0.926553,0.924921,0.859269,0.000128
2024,tanh,0.0,200,20,5.4324,8.8709,4.2183,77.7437,0.937636,0.928806,0.918711,0.040515,0.000834
5,tanh,0.0,200,20,5.153,8.9334,7.5942,14.7454,0.920497,0.909582,0.891665,0.83222,0.000146
42,tanh,0.5,200,2,0.8408,0.2755,0.6938,4.1095,0.63697,0.636691,0.636444,0.631736,0.0
7,tanh,0.5,200,2,0.2127,1.1591,0.8164,0.1309,0.662798,0.662533,0.662683,0.662796,2e-06
123,tanh,0.5,200,2,1.1086,4.9418,1.5502,0.3583,0.638157,0.628466,0.636234,0.637569,0.0
2024,tanh,0.5,200,2,0.5031,0.5989,1.1066,0.8612,0.635254,0.634907,0.635142,0.635214,1.5e-05
5,tanh,0.5,200,2,0.9358,1.5795,0.1461,1.0738,0.674236,0.674102,0.673831,0.674231,0.0
42,tanh,0.5,200,5,3.8073,7.2536,4.6253,3.4467,0.69552,0.687669,0.689453,0.693898,4.9e-05
7,tanh,0.5,200,5,9.9893,8.7415,7.5142,6.3296,0.65683,0.655344,0.654861,0.652436,0.000235
123,tanh,0.5,200,5,1.8532,6.6141,4.4868,8.8781,0.642802,0.635011,0.63794,0.62873,7.3e-05
2024,tanh,0.5,200,5,8.2234,11.7147,9.8159,8.8446,0.6853,0.680218,0.683941,0.680496,5.3e-05
5,tanh,0.5,200,5,4.8663,5.6538,7.2271,8.2581,0.721671,0.721017,0.719363,0.718985,3e-05
42,tanh,0.5,200,20,10.0641,13.889,13.5557,82.6323,0.671912,0.653956,0.656126,0.006238,0.000621
7,tanh,0.5,200,20,15.8425,20.1051,19.8052,70.9358,0.732279,0.711073,0.7173,0.0621,0.000953
123,tanh,0.5,200,20,9.3535,14.4209,14.6822,84.3734,0.746631,0.731496,0.729587,0.009043,0.006015
2024,tanh,0.5,200,20,14.3559,14.0082,15.6747,84.3219,0.718876,0.705775,0.70282,0.0,9.4e-05
5,tanh,0.5,200,20,13.9581,15.584,17.0234,88.3767,0.735718,0.722916,0.718249,0.023741,0.000103
42,tanh,0.5,500,5,2.2439,2.5828,2.5066,1.6715,0.677579,0.677283,0.677158,0.67729,1.2e-05
7,tanh,0.5,500,5,3.3322,3.6081,4.3722,4.0651,0.664031,0.66272,0.662713,0.662149,2e-06
123,tanh,0.5,500,5,2.5183,2.435,3.0372,3.0631,0.666366,0.665286,0.66547,0.666158,3.4e-05
2024,tanh,0.5,500,5,3.0001,2.3057,2.5029,3.9637,0.740833,0.739439,0.740377,0.739427,2.6e-05
5,tanh,0.5,500,5,2.9595,3.3059,2.1801,4.2573,0.694361,0.692156,0.693658,0.69349,8.7e-05
42,tanh,0.5,1000,5,1.3484,1.8224,1.7314,2.7052,0.652041,0.651594,0.651787,0.650961,1.8e-05
7,tanh,0.5,1000,5,1.2609,2.12,2.0511,1.8623,0.683256,0.68294,0.682922,0.68295,8e-05
123,tanh,0.5,1000,5,1.0078,1.5448,0.6059,0.5654,0.677341,0.676623,0.67723,0.676896,0.000124
2024,tanh,0.5,1000,5,0.8578,2.0428,0.7448,0.6248,0.669757,0.668512,0.669509,0.669642,8.2e-05
5,tanh,0.5,1000,5,1.3073,0.91,1.8672,1.5038,0.662204,0.662132,0.662082,0.661955,6.3e-05
42,tanh,1.0,200,2,0.5932,2.3242,3.3398,6.8913,0.28997,0.289239,0.288696,0.286376,3e-06
7,tanh,1.0,200,2,0.3924,3.1201,1.6837,3.0481,0.358001,0.357,0.357811,0.357054,3e-06
123,tanh,1.0,200,2,1.259,9.177,1.182,1.3777,0.280266,0.270023,0.280266,0.280263,2e-06
2024,tanh,1.0,200,2,0.4688,0.1286,0.4201,2.7313,0.292278,0.292232,0.292181,0.291596,0.0
5,tanh,1.0,200,2,1.031,2.1417,2.6653,1.2473,0.38681,0.386589,0.386374,0.386795,0.0
42,tanh,1.0,200,5,6.9971,12.8517,11.5235,15.4564,0.400461,0.387411,0.393273,0.382006,2.7e-05
7,tanh,1.0,200,5,19.5602,16.6841,21.2478,47.0209,0.334441,0.332542,0.326298,0.188513,0.000218
123,tanh,1.0,200,5,4.0486,13.457,9.4334,37.7207,0.29239,0.282058,0.286554,0.167053,7.2e-05
2024,tanh,1.0,200,5,14.1969,19.2611,25.7137,27.5576,0.330768,0.326179,0.31149,0.236957,7.6e-05
5,tanh,1.0,200,5,8.9621,9.7781,10.6955,21.8597,0.362957,0.362183,0.361478,0.305199,1.2e-05
42,tanh,1.0,200,20,15.0106,23.55,20.3169,88.4229,0.366256,0.335426,0.323798,0.006208,0.005145
7,tanh,1.0,200,20,27.0971,35.4103,36.0038,83.6547,0.397561,0.377217,0.375292,0.005073,0.000164
123,tanh,1.0,200,20,15.5948,21.4759,21.2208,86.1623,0.484909,0.467778,0.463153,0.0,0.001657
2024,tanh,1.0,200,20,26.2697,25.2877,25.9461,71.1613,0.418998,0.398891,0.385631,0.002674,0.000182
5,tanh,1.0,200,20,23.6036,26.9408,26.9416,89.3734,0.461741,0.447239,0.44652,0.00718,4.2e-05
42,tanh,2.0,200,2,3.8667,6.5715,23.3577,25.676,0.078918,0.078715,0.067353,0.0637,1.4e-05
7,tanh,2.0,200,2,1.4197,6.6892,6.9486,2.4556,0.125085,0.123893,0.123784,0.124982,0.0
123,tanh,2.0,200,2,6.0954,18.6421,61.0518,61.3795,0.063619,0.061748,0.038804,0.038537,2e-06
2024,tanh,2.0,200,2,1.0959,0.9253,0.7848,12.8168,0.075653,0.075514,0.075532,0.070426,4e-06
5,tanh,2.0,200,2,1.1312,3.1184,3.416,5.4232,0.166378,0.166098,0.165992,0.162274,0.0
42,tanh,2.0,200,5,12.8324,22.7336,17.2273,74.5868,0.163884,0.151724,0.153208,0.034793,2.6e-05
7,tanh,2.0,200,5,33.2745,31.8418,19.4234,57.7458,0.126926,0.125066,0.099623,0.007043,1.3e-05
123,tanh,2.0,200,5,7.0518,29.3113,26.6331,42.3425,0.068574,0.056668,0.053592,0.040752,6e-05
2024,tanh,2.0,200,5,33.7639,34.4721,36.0833,40.3094,0.106788,0.104685,0.101457,0.064456,3.3e-05
5,tanh,2.0,200,5,14.4439,18.7542,16.0596,73.8164,0.107535,0.104768,0.107199,0.021155,5.4e-05
42,tanh,2.0,200,20,34.2467,42.1937,82.3199,88.6546,0.142891,0.109475,0.014627,0.005537,0.015534
7,tanh,2.0,200,20,56.8938,57.8941,56.4181,84.7343,0.19295,0.177922,0.166475,0.001696,0.000127
123,tanh,2.0,200,20,28.0648,32.4599,31.9153,88.5314,0.256567,0.23654,0.227003,0.004928,0.00396
2024,tanh,2.0,200,20,46.2124,45.5614,44.61,87.8302,0.21232,0.192404,0.167863,0.01101,0.000761
5,tanh,2.0,200,20,40.4722,44.7269,41.4127,86.6137,0.245292,0.225651,0.220763,0.01403,0.003149
