# script: ch04_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,angle_dcor,angle_ols,angle_sir,angle_save,dcor_found,dcor_ols,dcor_sir,dcor_save,spread
123,abs,1.0,200,20,69.6632,77.0857,74.0549,30.3914,0.127953,0.063582,0.106199,0.060229,0.017012
2024,abs,1.0,200,20,79.5798,71.7733,85.761,31.6407,0.131831,0.101026,0.036722,0.077661,0.004644
5,abs,1.0,200,20,64.8107,64.7616,66.0084,48.8201,0.132523,0.082633,0.040654,0.061441,0.023394
42,abs,2.0,200,2,0.9781,88.5494,72.3742,5.4239,0.044485,0.002928,0.0008,0.043736,0.041428
7,abs,2.0,200,2,10.0303,53.321,37.618,6.1301,0.038221,0.002298,0.0131,0.026837,0.037032
123,abs,2.0,200,2,14.5323,75.9667,59.0979,23.282,0.030957,0.011076,0.009237,0.027699,6e-06
2024,abs,2.0,200,2,3.1662,0.5889,54.0488,17.0798,0.021719,0.021539,0.003084,0.018977,2e-06
5,abs,2.0,200,2,0.847,34.7898,32.0831,4.8587,0.042109,0.013635,0.016189,0.040391,1e-06
42,abs,2.0,200,5,4.0686,79.274,55.9291,23.0544,0.037749,0.001659,0.005106,0.02535,0.022847
7,abs,2.0,200,5,30.9753,57.9189,55.6347,33.4816,0.041904,0.032272,0.032328,0.0,0.001017
123,abs,2.0,200,5,52.058,59.6129,50.3504,30.1932,0.031947,0.022335,0.028069,0.007638,0.000574
2024,abs,2.0,200,5,15.9171,66.0286,78.2347,18.9024,0.053374,0.027839,0.020139,0.046399,0.01616
5,abs,2.0,200,5,16.1644,72.4618,64.616,28.1901,0.055688,0.007125,0.016842,0.037793,0.036047
42,abs,2.0,200,20,81.8274,72.9285,52.9577,57.6007,0.082103,0.046421,0.008813,0.002868,0.025641
7,abs,2.0,200,20,64.9944,72.7481,77.7391,64.9456,0.137162,0.095299,0.099866,0.031617,0.002586
123,abs,2.0,200,20,66.596,73.033,79.2755,78.7419,0.106325,0.068126,0.033151,0.0,0.007996
2024,abs,2.0,200,20,82.3251,83.0228,81.2508,55.5214,0.120297,0.106528,0.078368,0.026151,6.2e-05
5,abs,2.0,200,20,86.0283,72.8197,75.1942,66.6006,0.128548,0.096574,0.05085,0.022448,7.4e-05
42,cubic,0.0,200,2,1.3071,2.5275,1.755,2.175,0.745133,0.74472,0.745085,0.744937,0.0
7,cubic,0.0,200,2,0.3752,0.7481,0.7345,0.9761,0.780018,0.779976,0.77955,0.779329,0.0
123,cubic,0.0,200,2,0.5906,2.438,0.837,0.7063,0.753151,0.751909,0.752438,0.752563,0.0
2024,cubic,0.0,200,2,0.3836,3.1624,2.1801,2.2781,0.686947,0.683234,0.686062,0.685936,0.0
5,cubic,0.0,200,2,1.5015,0.7701,1.9575,2.023,0.714553,0.712863,0.714466,0.71444,0.0
42,cubic,0.0,200,5,1.6455,3.3233,1.3443,2.2718,0.770638,0.764997,0.768293,0.766899,0.000263
7,cubic,0.0,200,5,2.3484,4.138,1.6013,1.5422,0.730486,0.718203,0.72935,0.728956,9e-06
123,cubic,0.0,200,5,2.5247,4.8146,3.7874,3.9502,0.719351,0.715794,0.710149,0.708589,7.2e-05
2024,cubic,0.0,200,5,4.8116,6.0675,2.9808,2.3203,0.762489,0.759782,0.742194,0.744646,0.000106
5,cubic,0.0,200,5,2.666,4.4494,2.0228,2.2432,0.737778,0.728771,0.733946,0.733501,8.1e-05
42,cubic,0.0,200,20,6.8447,10.8509,5.8143,16.2331,0.802118,0.767616,0.778927,0.702798,0.000105
7,cubic,0.0,200,20,5.7178,15.0478,6.1889,27.5516,0.800125,0.728533,0.773715,0.577601,0.000753
123,cubic,0.0,200,20,6.5816,15.5554,5.1959,15.7208,0.777444,0.737364,0.745083,0.684869,0.000255
2024,cubic,0.0,200,20,8.2687,13.9923,4.2183,77.7437,0.734773,0.706493,0.712233,0.00685,3.9e-05
5,cubic,0.0,200,20,9.9925,12.2575,7.5942,14.7454,0.747703,0.72875,0.711904,0.679535,5e-05
42,cubic,0.5,200,2,1.3585,3.0403,1.2154,0.6116,0.642509,0.641861,0.641003,0.642413,1e-06
7,cubic,0.5,200,2,1.6721,1.3186,2.2071,2.0391,0.705099,0.705055,0.704977,0.705035,1e-06
123,cubic,0.5,200,2,0.469,1.6397,1.1065,1.8556,0.67635,0.675124,0.676256,0.675837,1e-06
2024,cubic,0.5,200,2,1.1568,3.2773,2.6192,2.0671,0.614081,0.609713,0.613418,0.613886,2e-06
5,cubic,0.5,200,2,1.5504,0.9394,0.337,1.7117,0.641097,0.639591,0.64071,0.641089,0.0
42,cubic,0.5,200,5,1.8903,3.59,5.8775,3.2099,0.717903,0.713136,0.712507,0.714795,5.4e-05
7,cubic,0.5,200,5,3.4809,4.4078,9.1676,4.6571,0.619304,0.609379,0.612251,0.618608,7e-06
123,cubic,0.5,200,5,4.7145,5.0055,4.5373,6.4966,0.670219,0.666672,0.665852,0.661241,3.4e-05
2024,cubic,0.5,200,5,5.2468,4.743,6.0522,8.1798,0.683868,0.6796,0.679822,0.679768,0.000715
5,cubic,0.5,200,5,2.9069,4.345,3.2794,4.385,0.629733,0.623027,0.62659,0.620726,7e-05
42,cubic,0.5,200,20,7.2032,11.5232,11.0362,87.0838,0.735709,0.713889,0.714706,0.018493,0.000498
7,cubic,0.5,200,20,9.9875,15.608,16.1163,72.9218,0.66308,0.607027,0.646821,0.048735,0.000452
123,cubic,0.5,200,20,7.6021,14.4808,11.0299,85.8329,0.726976,0.68575,0.705489,0.005741,0.000238
2024,cubic,0.5,200,20,11.7432,15.2275,12.9139,76.5278,0.671735,0.64306,0.650242,0.018535,0.000374
5,cubic,0.5,200,20,13.4655,13.4834,10.6856,84.4989,0.705696,0.692405,0.677519,0.004063,3.7e-05
42,cubic,0.5,500,5,1.8215,6.0757,2.7545,2.6873,0.673874,0.66666,0.672173,0.672382,2.6e-05
