# script: ch06_peer_dm_published.py
# seeds: 0
seed,maturity,d,peer,dcor,DM,p,mspe_peer,mspe_dcor
0,2,1,PLS+linear,DcorSDR(seqX)+linear,1.3114319018212632,0.1897118866814398,3.804477229416655,3.5605535479103727
0,2,1,PLS+poly,DcorSDR(seqX)+linear,1.7609501291892218,0.07824684422865369,3.898701723642955,3.5605535479103727
0,2,1,SIR+linear,DcorSDR(seqX)+linear,2.167856615767898,0.030169597631728884,3.7844045500279386,3.5605535479103727
0,2,1,SIR+poly,DcorSDR(seqX)+linear,2.4720100647817986,0.013435573365005782,3.884561417610439,3.5605535479103727
0,2,1,SAVE+linear,DcorSDR(seqX)+linear,1.3369872608664128,0.1812267951570643,4.382117924511713,3.5605535479103727
0,2,1,SAVE+poly,DcorSDR(seqX)+linear,0.9768481228777905,0.32864434777208107,4.090051982294548,3.5605535479103727
0,2,2,PLS+linear,DcorSDR(seqX)+linear,1.409870717207518,0.15857786062242285,3.6740439757369656,3.4214191068045743
0,2,2,PLS+poly,DcorSDR(seqX)+linear,1.7942893865764873,0.0727669912480311,3.7382382502074716,3.4214191068045743
0,2,2,SIR+linear,DcorSDR(seqX)+linear,1.5778636357856808,0.11459694066480486,3.6873581775808484,3.4214191068045743
0,2,2,SIR+poly,DcorSDR(seqX)+linear,1.8932214495637278,0.0583284260776713,3.759841352409371,3.4214191068045743
0,2,2,SAVE+linear,DcorSDR(seqX)+linear,1.5133668927035133,0.13018648976464453,4.369853152808046,3.4214191068045743
0,2,2,SAVE+poly,DcorSDR(seqX)+linear,1.1768486289493487,0.23925592910243187,4.065102307487936,3.4214191068045743
0,2,3,PLS+linear,DcorSDR(seqX)+linear,1.5791366667512332,0.11430471296056122,3.668775332509287,3.5036606819394613
0,2,3,PLS+poly,DcorSDR(seqX)+linear,2.247878261639054,0.02458395368523858,3.7303480684994583,3.5036606819394613
0,2,3,SIR+linear,DcorSDR(seqX)+linear,1.73477843487284,0.08278005730955318,3.6356925786140453,3.5036606819394613
0,2,3,SIR+poly,DcorSDR(seqX)+linear,2.1662966058431725,0.030288528925824343,3.7091007682306065,3.5036606819394613
0,2,3,SAVE+linear,DcorSDR(seqX)+linear,1.2094811459125743,0.226478050240285,4.1686940770902465,3.5036606819394613
0,2,3,SAVE+poly,DcorSDR(seqX)+linear,0.8025519196453614,0.4222337678586272,3.9167277983002333,3.5036606819394613
0,2,4,PLS+linear,DcorSDR(seqX)+linear,-1.3687690473653802,0.1710714791573733,3.662328128629854,3.768202130305378
0,2,4,PLS+poly,DcorSDR(seqX)+linear,-0.7854008199503302,0.43221860017384817,3.7222935506135637,3.768202130305378
0,2,4,SIR+linear,DcorSDR(seqX)+linear,-1.2744032631448425,0.2025205364646563,3.696188773096279,3.768202130305378
0,2,4,SIR+poly,DcorSDR(seqX)+linear,-0.08223737921788533,0.934457949780773,3.7626267216320715,3.768202130305378
0,2,4,SAVE+linear,DcorSDR(seqX)+linear,1.0791188903251205,0.2805347311763873,4.294009331402443,3.768202130305378
0,2,4,SAVE+poly,DcorSDR(seqX)+linear,0.6591627244545748,0.5097912805971103,4.068470740949976,3.768202130305378
0,2,5,PLS+linear,DcorSDR(seqX)+linear,-1.3288181670408188,0.18390796704953583,3.6862721424103166,3.784364452116871
0,2,5,PLS+poly,DcorSDR(seqX)+linear,-0.44567888989219256,0.6558292155237377,3.7605015005946703,3.784364452116871
0,2,5,SIR+linear,DcorSDR(seqX)+linear,-1.4551850082053557,0.1456180501206461,3.708071705662519,3.784364452116871
0,2,5,SIR+poly,DcorSDR(seqX)+linear,-0.0301036638163988,0.9759843787537776,3.7821714390534886,3.784364452116871
0,2,5,SAVE+linear,DcorSDR(seqX)+linear,0.9463242790926091,0.34398321351437033,4.280342983821431,3.784364452116871
0,2,5,SAVE+poly,DcorSDR(seqX)+linear,0.5433957664189136,0.5868573399690551,4.035982244960484,3.784364452116871
0,2,6,PLS+linear,DcorSDR(seqX)+linear,1.39458246412668,0.16314178614033636,3.686916921328992,3.6711240712496833
0,2,6,PLS+poly,DcorSDR(seqX)+linear,1.3634269052021248,0.17274800644557287,3.7724964963314758,3.6711240712496833
0,2,6,SIR+linear,DcorSDR(seqX)+linear,0.8638840850701621,0.38765157034542486,3.6975412502964797,3.6711240712496833
0,2,6,SIR+poly,DcorSDR(seqX)+linear,1.0099665858411944,0.31251129910948716,3.777355725158681,3.6711240712496833
0,2,6,SAVE+linear,DcorSDR(seqX)+linear,1.2686883041832018,0.2045522555265218,4.497141458718136,3.6711240712496833
0,2,6,SAVE+poly,DcorSDR(seqX)+linear,0.9867433351857582,0.3237684799260936,4.20269597138282,3.6711240712496833
0,2,7,PLS+linear,DcorSDR(seqX)+linear,1.767923014753562,0.07707377468243748,3.686814666164443,3.6722287045963884
0,2,7,PLS+poly,DcorSDR(seqX)+linear,1.3529449506459243,0.17607321758191397,3.7823855537335724,3.6722287045963884
0,2,7,SIR+linear,DcorSDR(seqX)+linear,0.023104244936881322,0.9815671196212119,3.672766554727203,3.6722287045963884
0,2,7,SIR+poly,DcorSDR(seqX)+linear,0.8121475202656423,0.41670698850173427,3.7522664156349013,3.6722287045963884
0,2,7,SAVE+linear,DcorSDR(seqX)+linear,1.8048581224871503,0.07109688638475875,4.232335789041699,3.6722287045963884
0,2,7,SAVE+poly,DcorSDR(seqX)+linear,1.173222425698276,0.24070662123487496,3.9731417169458827,3.6722287045963884
0,2,8,PLS+linear,DcorSDR(seqX)+linear,0.4076048006054207,0.6835638393073413,3.6867851150039748,3.686785115003974
0,2,8,PLS+poly,DcorSDR(seqX)+linear,1.070943353018116,0.28419490106839373,3.7759235313343193,3.686785115003974
0,2,8,SIR+linear,DcorSDR(seqX)+linear,-1.0127844863441011,0.31116311238495875,3.686785115003973,3.686785115003974
0,2,8,SIR+poly,DcorSDR(seqX)+linear,0.7711605533169392,0.44061177229336157,3.7538337002225632,3.686785115003974
0,2,8,SAVE+linear,DcorSDR(seqX)+linear,-0.0777368122415111,0.9380374107600911,3.686785115003974,3.686785115003974
0,2,8,SAVE+poly,DcorSDR(seqX)+linear,-1.4220061929421686,0.1550244531265148,3.5096180823510066,3.686785115003974
0,3,1,PLS+linear,DcorSDR(seqX)+linear,1.0689047706724888,0.28511258207236945,13.038415065243004,12.451927452676365
0,3,1,PLS+poly,DcorSDR(seqX)+linear,1.4981580600473543,0.13409218927270827,13.32276762341918,12.451927452676365
0,3,1,SIR+linear,DcorSDR(seqX)+linear,0.862079403985134,0.3886438242611683,12.617518346355112,12.451927452676365
0,3,1,SIR+poly,DcorSDR(seqX)+linear,2.0544935611991026,0.03992794593305815,12.8223525240606,12.451927452676365
0,3,1,SAVE+linear,DcorSDR(seqX)+linear,1.7415891856978911,0.08158035501009708,15.998347906073162,12.451927452676365
0,3,1,SAVE+poly,DcorSDR(seqX)+linear,1.773303118181572,0.07617849265390575,16.162298233324112,12.451927452676365
0,3,2,PLS+linear,DcorSDR(seqX)+linear,1.4961513005297025,0.13461423193189992,12.659173860250943,11.9418667277996
0,3,2,PLS+poly,DcorSDR(seqX)+linear,1.895492026477523,0.058027247098504375,12.863121926543707,11.9418667277996
0,3,2,SIR+linear,DcorSDR(seqX)+linear,1.5491457496116101,0.12134668725251263,12.467944876501873,11.9418667277996
0,3,2,SIR+poly,DcorSDR(seqX)+linear,1.894283350418532,0.05818740977111592,12.642707545825948,11.9418667277996
0,3,2,SAVE+linear,DcorSDR(seqX)+linear,1.911397724097239,0.055953488960169384,15.966142064823101,11.9418667277996
0,3,2,SAVE+poly,DcorSDR(seqX)+linear,1.9333876284370761,0.053188464144184655,16.134585355116542,11.9418667277996
0,3,3,PLS+linear,DcorSDR(seqX)+linear,1.405852951640065,0.15976779451674994,12.638799974066256,12.144146790814698
0,3,3,PLS+poly,DcorSDR(seqX)+linear,2.0771818064571566,0.03778478240287031,12.83548337592971,12.144146790814698
0,3,3,SIR+linear,DcorSDR(seqX)+linear,1.6681345832249903,0.09528901333282547,12.616538619676055,12.144146790814698
0,3,3,SIR+poly,DcorSDR(seqX)+linear,2.088466039770161,0.03675581571807296,12.80035208502214,12.144146790814698
0,3,3,SAVE+linear,DcorSDR(seqX)+linear,1.3944447193105436,0.16318335192664124,14.544718688048462,12.144146790814698
0,3,3,SAVE+poly,DcorSDR(seqX)+linear,1.4581480457648726,0.14479974064592538,14.690287551627723,12.144146790814698
0,3,4,PLS+linear,DcorSDR(seqX)+linear,0.09143773603181818,0.927144778307591,12.621467035278624,12.591853558324035
0,3,4,PLS+poly,DcorSDR(seqX)+linear,0.9799972737509633,0.3270874643854542,12.813753776972593,12.591853558324035
0,3,4,SIR+linear,DcorSDR(seqX)+linear,-0.19244698953575637,0.8473920878986454,12.532736859140728,12.591853558324035
0,3,4,SIR+poly,DcorSDR(seqX)+linear,0.4133904266315257,0.67932058749381,12.676860531742046,12.591853558324035
0,3,4,SAVE+linear,DcorSDR(seqX)+linear,1.1300978017800194,0.2584350159132782,14.409449391239816,12.591853558324035
0,3,4,SAVE+poly,DcorSDR(seqX)+linear,1.1296649926649796,0.25861741361029544,14.378797916625944,12.591853558324035
0,3,5,PLS+linear,DcorSDR(seqX)+linear,0.32660364655006185,0.7439676851246466,12.713509856019826,12.61158737893688
0,3,5,PLS+poly,DcorSDR(seqX)+linear,1.3361690862755615,0.18149401289189648,12.919208870362066,12.61158737893688
0,3,5,SIR+linear,DcorSDR(seqX)+linear,-0.402625734538391,0.6872235750034201,12.490144579324053,12.61158737893688
0,3,5,SIR+poly,DcorSDR(seqX)+linear,0.09480959583909589,0.9244660648318639,12.630186522450725,12.61158737893688
0,3,5,SAVE+linear,DcorSDR(seqX)+linear,1.5068244329857705,0.13185566506749957,15.842970730953647,12.61158737893688
0,3,5,SAVE+poly,DcorSDR(seqX)+linear,1.5263963391254498,0.12691118882090313,15.724086555111043,12.61158737893688
0,3,6,PLS+linear,DcorSDR(seqX)+linear,-0.540973389713641,0.5885259243389036,12.714484152212128,12.735503999278794
0,3,6,PLS+poly,DcorSDR(seqX)+linear,1.0333310333758048,0.30144900909623895,12.943760077890609,12.735503999278794
0,3,6,SIR+linear,DcorSDR(seqX)+linear,-1.6352775042358039,0.10199088717770222,12.50068340235263,12.735503999278794
0,3,6,SIR+poly,DcorSDR(seqX)+linear,-0.6024668652646603,0.5468634128571204,12.635628196248426,12.735503999278794
0,3,6,SAVE+linear,DcorSDR(seqX)+linear,1.7061564911114055,0.08797894703433062,15.61855633131858,12.735503999278794
0,3,6,SAVE+poly,DcorSDR(seqX)+linear,1.7209863118952675,0.08525330778396345,15.56166618362729,12.735503999278794
0,3,7,PLS+linear,DcorSDR(seqX)+linear,-0.592863062928765,0.5532727994378517,12.713839566093172,12.732491714269113
0,3,7,PLS+poly,DcorSDR(seqX)+linear,1.1401204285141502,0.2542361321743245,12.99568596454716,12.732491714269113
0,3,7,SIR+linear,DcorSDR(seqX)+linear,-1.9718947280317174,0.04862162526480951,12.450920221830161,12.732491714269113
0,3,7,SIR+poly,DcorSDR(seqX)+linear,-0.7584384765419883,0.448188531115298,12.612552111447657,12.732491714269113
0,3,7,SAVE+linear,DcorSDR(seqX)+linear,-1.1320229442148415,0.2576247883561784,12.400063802307157,12.732491714269113
0,3,7,SAVE+poly,DcorSDR(seqX)+linear,-1.0148007970660504,0.3102007937308078,12.411321051780016,12.732491714269113
0,3,8,PLS+linear,DcorSDR(seqX)+linear,-1.5817662190038477,0.11370294942999881,12.713777788907185,12.713777788907189
0,3,8,PLS+poly,DcorSDR(seqX)+linear,1.1105868435628043,0.26674622837425277,12.993239673122831,12.713777788907189
0,3,8,SIR+linear,DcorSDR(seqX)+linear,-0.9148319856623599,0.36027984030282534,12.713777788907187,12.713777788907189
0,3,8,SIR+poly,DcorSDR(seqX)+linear,0.8583933901130696,0.3906752762309964,12.849590612077755,12.713777788907189
0,3,8,SAVE+linear,DcorSDR(seqX)+linear,-0.6805007068665851,0.4961874744017325,12.713777788907189,12.713777788907189
0,3,8,SAVE+poly,DcorSDR(seqX)+linear,0.9237641959799997,0.3556091002775672,12.834415668844166,12.713777788907189
0,4,1,PLS+linear,DcorSDR(seqX)+linear,0.6650967690289729,0.5059886010729655,26.327205480746354,25.665696298639524
0,4,1,PLS+poly,DcorSDR(seqX)+linear,1.195629363853075,0.23184122731015933,26.93456583138384,25.665696298639524
0,4,1,SIR+linear,DcorSDR(seqX)+linear,2.3802236623583486,0.017302132749070775,26.182755960140813,25.665696298639524
0,4,1,SIR+poly,DcorSDR(seqX)+linear,3.030014431280148,0.002445420537291465,26.51151938460029,25.665696298639524
0,4,1,SAVE+linear,DcorSDR(seqX)+linear,1.8923883912116315,0.05843925160944807,32.73356019294713,25.665696298639524
0,4,1,SAVE+poly,DcorSDR(seqX)+linear,1.8265397161595833,0.0677690044945225,31.94987399633723,25.665696298639524
0,4,2,PLS+linear,DcorSDR(seqX)+linear,1.4218054558786328,0.15508273531153582,25.621868041200162,24.392045699576155
0,4,2,PLS+poly,DcorSDR(seqX)+linear,1.8789850892656204,0.060246529214829314,26.070452779045496,24.392045699576155
0,4,2,SIR+linear,DcorSDR(seqX)+linear,1.673566567899393,0.09421581359406206,25.31746762487472,24.392045699576155
0,4,2,SIR+poly,DcorSDR(seqX)+linear,1.9619460966963995,0.04976876024372556,25.564559616174154,24.392045699576155
0,4,2,SAVE+linear,DcorSDR(seqX)+linear,2.039617654103564,0.04138842230504558,31.808913932217493,24.392045699576155
0,4,2,SAVE+poly,DcorSDR(seqX)+linear,2.006095267304985,0.044846084711880785,31.206126976159155,24.392045699576155
0,4,3,PLS+linear,DcorSDR(seqX)+linear,1.6661529608257495,0.09568295228040746,25.669267242494545,24.31023566688115
0,4,3,PLS+poly,DcorSDR(seqX)+linear,2.0212476058931688,0.043254139892052956,26.070567726156586,24.31023566688115
0,4,3,SIR+linear,DcorSDR(seqX)+linear,1.8497536598549702,0.06434906262560913,25.58388310377832,24.31023566688115
0,4,3,SIR+poly,DcorSDR(seqX)+linear,2.0177308671751497,0.04361929827449984,25.79693545867261,24.31023566688115
0,4,3,SAVE+linear,DcorSDR(seqX)+linear,2.1114033900270632,0.03473765394209005,31.44786998119565,24.31023566688115
0,4,3,SAVE+poly,DcorSDR(seqX)+linear,2.042730226488884,0.041079150909208995,30.829804696919947,24.31023566688115
0,4,4,PLS+linear,DcorSDR(seqX)+linear,2.343360760444148,0.019110894101391995,25.753727585374566,24.32560093096597
0,4,4,PLS+poly,DcorSDR(seqX)+linear,2.3592311318662413,0.01831284583823578,26.15504784434645,24.32560093096597
0,4,4,SIR+linear,DcorSDR(seqX)+linear,2.344838589454423,0.019035318249086775,25.45292299771963,24.32560093096597
0,4,4,SIR+poly,DcorSDR(seqX)+linear,2.350556342777342,0.018745369456983685,25.675027687692587,24.32560093096597
0,4,4,SAVE+linear,DcorSDR(seqX)+linear,1.127694891587245,0.25944879580843816,27.56938053448841,24.32560093096597
0,4,4,SAVE+poly,DcorSDR(seqX)+linear,0.861356156322066,0.3890419156456284,26.878593542381925,24.32560093096597
0,4,5,PLS+linear,DcorSDR(seqX)+linear,-0.8079575095333356,0.4191150429840689,25.967863318822534,26.352231296152432
0,4,5,PLS+poly,DcorSDR(seqX)+linear,0.027843764372924032,0.9777867605582857,26.361555255899777,26.352231296152432
