# script: ch04_master_grid.py
# seeds: 42, 7, 123, 2024, 5
# sizes: [(500, 6), (500, 20)]
# noise_sd: 0.5
# n_restarts: 5
# joint_restarts: 20
# parts: (1,)
# n_perturb: 500
# max_iter: 150
# single_models: ['A', 'B', 'C', 'square', 'cubic', 'sum_squares']
# multi_models: ['A', 'B', 'sum_squares', 'product']
grid,model,k,part,n,p,seed,method,angle_mean,angle_max,dcor2_u,seconds
single,B,2,1,500,20,2024,OLS,14.0211,14.0211,0.358784,0.0
single,B,2,1,500,20,5,dCor-SDR,11.7408,15.8045,0.264801,1.126
single,B,2,1,500,20,5,Sheng-Yin,12.4047,15.8976,0.261616,14.78
single,B,2,1,500,20,5,SIR,13.6545,14.6243,0.256092,0.0
single,B,2,1,500,20,5,OLS,12.9825,12.9825,0.431552,0.001
single,C,1,1,500,6,42,dCor-SDR,4.0429,4.0429,0.290144,0.482
single,C,1,1,500,6,42,Sheng-Yin,4.3998,4.3998,0.2901,3.127
single,C,1,1,500,6,42,SIR,9.1116,9.1116,0.287045,0.0
single,C,1,1,500,6,42,OLS,70.5502,70.5502,0.036864,0.0
single,C,1,1,500,6,7,dCor-SDR,4.1399,4.1399,0.263875,0.464
single,C,1,1,500,6,7,Sheng-Yin,2.7619,2.7619,0.263712,3.235
single,C,1,1,500,6,7,SIR,4.7669,4.7669,0.262494,0.001
single,C,1,1,500,6,7,OLS,67.482,67.482,0.039944,0.001
single,C,1,1,500,6,123,dCor-SDR,4.1278,4.1278,0.265508,0.4
single,C,1,1,500,6,123,Sheng-Yin,3.1207,3.1207,0.265007,2.998
single,C,1,1,500,6,123,SIR,6.1436,6.1436,0.259095,0.001
single,C,1,1,500,6,123,OLS,38.9172,38.9172,0.158336,0.0
single,C,1,1,500,6,2024,dCor-SDR,4.4841,4.4841,0.28712,0.375
single,C,1,1,500,6,2024,Sheng-Yin,3.3433,3.3433,0.286909,3.073
single,C,1,1,500,6,2024,SIR,3.1622,3.1622,0.285407,0.0
single,C,1,1,500,6,2024,OLS,85.7237,85.7237,0.007781,0.0
single,C,1,1,500,6,5,dCor-SDR,3.6765,3.6765,0.279205,0.397
single,C,1,1,500,6,5,Sheng-Yin,6.9086,6.9086,0.278214,3.202
single,C,1,1,500,6,5,SIR,5.4395,5.4395,0.278249,0.0
single,C,1,1,500,6,5,OLS,45.6059,45.6059,0.117645,0.0
single,C,1,1,500,20,42,dCor-SDR,11.6965,11.6965,0.295821,0.549
single,C,1,1,500,20,42,Sheng-Yin,11.7915,11.7915,0.294709,9.391
single,C,1,1,500,20,42,SIR,12.9092,12.9092,0.27119,0.0
single,C,1,1,500,20,42,OLS,46.4389,46.4389,0.137872,0.0
single,C,1,1,500,20,7,dCor-SDR,8.9232,8.9232,0.298073,0.528
single,C,1,1,500,20,7,Sheng-Yin,9.5686,9.5686,0.297069,8.15
single,C,1,1,500,20,7,SIR,10.7969,10.7969,0.286976,0.0
single,C,1,1,500,20,7,OLS,89.5113,89.5113,0.010896,0.0
single,C,1,1,500,20,123,dCor-SDR,6.3278,6.3278,0.289579,0.509
single,C,1,1,500,20,123,Sheng-Yin,7.1037,7.1037,0.287972,7.245
single,C,1,1,500,20,123,SIR,9.0671,9.0671,0.282304,0.0
single,C,1,1,500,20,123,OLS,49.4371,49.4371,0.124776,0.0
single,C,1,1,500,20,2024,dCor-SDR,14.2319,14.2319,0.27427,0.505
single,C,1,1,500,20,2024,Sheng-Yin,14.5272,14.5272,0.27289,6.897
single,C,1,1,500,20,2024,SIR,8.0365,8.0365,0.263122,0.0
single,C,1,1,500,20,2024,OLS,48.1792,48.1792,0.158803,0.001
single,C,1,1,500,20,5,dCor-SDR,10.155,10.155,0.283328,0.529
single,C,1,1,500,20,5,Sheng-Yin,10.1471,10.1471,0.282238,7.006
single,C,1,1,500,20,5,SIR,9.9453,9.9453,0.27275,0.0
single,C,1,1,500,20,5,OLS,48.5533,48.5533,0.099144,0.0
single,square,1,1,500,6,42,dCor-SDR,1.5476,1.5476,0.218071,0.475
single,square,1,1,500,6,42,Sheng-Yin,1.2251,1.2251,0.217933,2.859
single,square,1,1,500,6,42,SIR,86.3251,86.3251,0.006763,0.0
single,square,1,1,500,6,42,OLS,84.6766,84.6766,0.010173,0.0
single,square,1,1,500,6,7,dCor-SDR,2.8726,2.8726,0.222654,0.479
single,square,1,1,500,6,7,Sheng-Yin,2.3779,2.3779,0.222595,2.949
single,square,1,1,500,6,7,SIR,81.3446,81.3446,0.023224,0.001
single,square,1,1,500,6,7,OLS,79.2,79.2,0.015006,0.0
single,square,1,1,500,6,123,dCor-SDR,2.6157,2.6157,0.236679,0.487
single,square,1,1,500,6,123,Sheng-Yin,1.8876,1.8876,0.236508,3.034
single,square,1,1,500,6,123,SIR,61.4959,61.4959,0.028846,0.0
single,square,1,1,500,6,123,OLS,24.7518,24.7518,0.163442,0.0
single,square,1,1,500,6,2024,dCor-SDR,3.7583,3.7583,0.23809,0.429
single,square,1,1,500,6,2024,Sheng-Yin,3.0254,3.0254,0.237966,3.11
single,square,1,1,500,6,2024,SIR,64.7848,64.7848,0.022951,0.001
single,square,1,1,500,6,2024,OLS,29.2018,29.2018,0.137876,0.0
single,square,1,1,500,6,5,dCor-SDR,2.4925,2.4925,0.24244,0.481
single,square,1,1,500,6,5,Sheng-Yin,2.2314,2.2314,0.242306,3.155
single,square,1,1,500,6,5,SIR,57.872,57.872,0.015982,0.0
single,square,1,1,500,6,5,OLS,64.4995,64.4995,0.004884,0.0
single,square,1,1,500,20,42,dCor-SDR,6.6797,6.6797,0.252619,0.657
single,square,1,1,500,20,42,Sheng-Yin,5.6878,5.6878,0.251969,6.535
single,square,1,1,500,20,42,SIR,73.2402,73.2402,0.056709,0.0
single,square,1,1,500,20,42,OLS,59.2633,59.2633,0.060678,0.0
single,square,1,1,500,20,7,dCor-SDR,8.2685,8.2685,0.221886,0.604
single,square,1,1,500,20,7,Sheng-Yin,7.3906,7.3906,0.221295,6.692
single,square,1,1,500,20,7,SIR,75.0849,75.0849,0.022761,0.0
single,square,1,1,500,20,7,OLS,65.5674,65.5674,0.038966,0.0
single,square,1,1,500,20,123,dCor-SDR,6.5073,6.5073,0.226662,0.597
single,square,1,1,500,20,123,Sheng-Yin,5.4762,5.4762,0.226214,8.382
single,square,1,1,500,20,123,SIR,79.5494,79.5494,0.004978,0.001
single,square,1,1,500,20,123,OLS,68.9969,68.9969,0.032429,0.0
single,square,1,1,500,20,2024,dCor-SDR,5.3077,5.3077,0.227723,0.62
single,square,1,1,500,20,2024,Sheng-Yin,4.749,4.749,0.227508,6.988
single,square,1,1,500,20,2024,SIR,87.0875,87.0875,0.007966,0.001
single,square,1,1,500,20,2024,OLS,61.2952,61.2952,0.030899,0.001
single,square,1,1,500,20,5,dCor-SDR,5.1972,5.1972,0.253397,0.584
single,square,1,1,500,20,5,Sheng-Yin,4.7445,4.7445,0.253055,6.782
single,square,1,1,500,20,5,SIR,83.5233,83.5233,0.010769,0.0
single,square,1,1,500,20,5,OLS,57.9595,57.9595,0.023385,0.0
single,cubic,1,1,500,6,42,dCor-SDR,2.2404,2.2404,0.651171,0.538
single,cubic,1,1,500,6,42,Sheng-Yin,1.901,1.901,0.651004,3.0
single,cubic,1,1,500,6,42,SIR,2.9091,2.9091,0.648473,0.0
single,cubic,1,1,500,6,42,OLS,1.5523,1.5523,0.64971,0.0
single,cubic,1,1,500,6,7,dCor-SDR,4.0389,4.0389,0.671235,0.53
single,cubic,1,1,500,6,7,Sheng-Yin,1.9542,1.9542,0.670025,3.112
single,cubic,1,1,500,6,7,SIR,2.8572,2.8572,0.667858,0.001
single,cubic,1,1,500,6,7,OLS,7.2434,7.2434,0.667927,0.0
single,cubic,1,1,500,6,123,dCor-SDR,3.3536,3.3536,0.631154,0.506
single,cubic,1,1,500,6,123,Sheng-Yin,2.3984,2.3984,0.630775,3.0
single,cubic,1,1,500,6,123,SIR,4.6796,4.6796,0.629593,0.0
single,cubic,1,1,500,6,123,OLS,1.9676,1.9676,0.6297,0.0
single,cubic,1,1,500,6,2024,dCor-SDR,4.8301,4.8301,0.663457,0.386
single,cubic,1,1,500,6,2024,Sheng-Yin,3.2542,3.2542,0.662632,3.081
single,cubic,1,1,500,6,2024,SIR,7.4268,7.4268,0.659309,0.0
single,cubic,1,1,500,6,2024,OLS,4.3646,4.3646,0.654541,0.0
single,cubic,1,1,500,6,5,dCor-SDR,3.558,3.558,0.659668,0.496
single,cubic,1,1,500,6,5,Sheng-Yin,2.9685,2.9685,0.659551,3.158
single,cubic,1,1,500,6,5,SIR,4.7717,4.7717,0.659218,0.0
single,cubic,1,1,500,6,5,OLS,2.4062,2.4062,0.653289,0.0
single,cubic,1,1,500,20,42,dCor-SDR,7.5465,7.5465,0.649028,0.552
single,cubic,1,1,500,20,42,Sheng-Yin,4.8811,4.8811,0.644282,6.326
single,cubic,1,1,500,20,42,SIR,7.5899,7.5899,0.636846,0.001
single,cubic,1,1,500,20,42,OLS,12.2128,12.2128,0.626489,0.0
single,cubic,1,1,500,20,7,dCor-SDR,8.3738,8.3738,0.654381,0.613
single,cubic,1,1,500,20,7,Sheng-Yin,5.1809,5.1809,0.65019,6.929
single,cubic,1,1,500,20,7,SIR,9.1913,9.1913,0.644843,0.0
single,cubic,1,1,500,20,7,OLS,10.5523,10.5523,0.639368,0.0
single,cubic,1,1,500,20,123,dCor-SDR,7.3783,7.3783,0.708334,0.555
single,cubic,1,1,500,20,123,Sheng-Yin,4.4056,4.4056,0.704173,7.037
single,cubic,1,1,500,20,123,SIR,7.9746,7.9746,0.695093,0.0
single,cubic,1,1,500,20,123,OLS,9.4697,9.4697,0.694458,0.0
single,cubic,1,1,500,20,2024,dCor-SDR,5.5351,5.5351,0.698123,0.593
single,cubic,1,1,500,20,2024,Sheng-Yin,3.5544,3.5544,0.696044,6.27
single,cubic,1,1,500,20,2024,SIR,7.766,7.766,0.691827,0.001
single,cubic,1,1,500,20,2024,OLS,7.2477,7.2477,0.684714,0.0
single,cubic,1,1,500,20,5,dCor-SDR,6.0763,6.0763,0.674559,0.547
single,cubic,1,1,500,20,5,Sheng-Yin,4.7527,4.7527,0.672094,6.659
single,cubic,1,1,500,20,5,SIR,7.8826,7.8826,0.661645,0.0
single,cubic,1,1,500,20,5,OLS,8.0086,8.0086,0.661355,0.001
single,sum_squares,2,1,500,6,42,dCor-SDR,3.3643,5.0742,0.117226,0.744
single,sum_squares,2,1,500,6,42,Sheng-Yin,2.3647,3.5588,0.114997,3.731
single,sum_squares,2,1,500,6,42,SIR,73.4435,88.3329,0.009286,0.0
single,sum_squares,2,1,500,6,42,OLS,35.1235,35.1235,0.042059,0.0
single,sum_squares,2,1,500,6,7,dCor-SDR,4.8553,5.2992,0.126562,0.85
single,sum_squares,2,1,500,6,7,Sheng-Yin,3.9364,4.6471,0.129296,3.097
single,sum_squares,2,1,500,6,7,SIR,73.778,82.7674,0.005548,0.0
single,sum_squares,2,1,500,6,7,OLS,60.9269,60.9269,0.003913,0.0
single,sum_squares,2,1,500,6,123,dCor-SDR,3.5392,4.463,0.131024,0.769
single,sum_squares,2,1,500,6,123,Sheng-Yin,2.9476,3.8756,0.116394,3.08
single,sum_squares,2,1,500,6,123,SIR,50.1622,78.5446,0.042939,0.001
single,sum_squares,2,1,500,6,123,OLS,20.6453,20.6453,0.095595,0.0
single,sum_squares,2,1,500,6,2024,dCor-SDR,4.4484,6.0861,0.112402,0.842
single,sum_squares,2,1,500,6,2024,Sheng-Yin,3.7635,4.2671,0.11368,3.112
single,sum_squares,2,1,500,6,2024,SIR,59.4512,86.544,0.012678,0.0
single,sum_squares,2,1,500,6,2024,OLS,66.4391,66.4391,0.005989,0.0
single,sum_squares,2,1,500,6,5,dCor-SDR,4.2276,5.38,0.109823,0.809
single,sum_squares,2,1,500,6,5,Sheng-Yin,2.4647,3.5567,0.106516,3.819
single,sum_squares,2,1,500,6,5,SIR,65.7858,79.5362,0.006006,0.0
single,sum_squares,2,1,500,6,5,OLS,61.5115,61.5115,0.004699,0.0
single,sum_squares,2,1,500,20,42,dCor-SDR,11.4794,15.0821,0.115071,1.031
single,sum_squares,2,1,500,20,42,Sheng-Yin,8.3877,10.3679,0.108323,14.487
single,sum_squares,2,1,500,20,42,SIR,68.0343,83.3246,0.01486,0.001
single,sum_squares,2,1,500,20,42,OLS,61.8831,61.8831,0.026664,0.0
single,sum_squares,2,1,500,20,7,dCor-SDR,12.1974,14.4503,0.133028,1.079
single,sum_squares,2,1,500,20,7,Sheng-Yin,9.1237,10.6651,0.115382,14.75
single,sum_squares,2,1,500,20,7,SIR,74.4433,85.1087,0.028122,0.0
single,sum_squares,2,1,500,20,7,OLS,54.0318,54.0318,0.035196,0.0
single,sum_squares,2,1,500,20,123,dCor-SDR,10.3217,11.3719,0.124175,0.899
single,sum_squares,2,1,500,20,123,Sheng-Yin,6.7907,8.2337,0.115722,15.714
single,sum_squares,2,1,500,20,123,SIR,81.5216,85.305,0.019756,0.001
single,sum_squares,2,1,500,20,123,OLS,80.0885,80.0885,0.022895,0.0
single,sum_squares,2,1,500,20,2024,dCor-SDR,9.2961,11.0917,0.120001,0.983
single,sum_squares,2,1,500,20,2024,Sheng-Yin,6.9134,8.3478,0.115897,15.262
single,sum_squares,2,1,500,20,2024,SIR,81.097,87.3367,0.01286,0.0
single,sum_squares,2,1,500,20,2024,OLS,73.1043,73.1043,0.012614,0.0
single,sum_squares,2,1,500,20,5,dCor-SDR,10.2529,13.0786,0.11998,1.131
single,sum_squares,2,1,500,20,5,Sheng-Yin,8.6089,10.8017,0.128464,14.842
single,sum_squares,2,1,500,20,5,SIR,65.1038,82.7556,0.015347,0.0
single,sum_squares,2,1,500,20,5,OLS,75.3143,75.3143,0.011957,0.0
multi,A,2,1,500,6,42,dCor-SDR,2.2663,3.363,0.328762,0.944
multi,A,2,1,500,6,42,Sheng-Yin,1.8729,1.9809,0.260814,3.262
multi,A,2,1,500,6,42,SIR,21.9292,41.1925,0.212471,0.0
multi,A,2,1,500,6,42,OLS,4.1572,4.1572,0.382089,0.001
multi,A,2,1,500,6,42,dCor-SDR (joint),2.3243,3.4263,0.266036,5.244
multi,A,2,1,500,6,7,dCor-SDR,3.4549,4.1098,0.257752,0.821
multi,A,2,1,500,6,7,Sheng-Yin,2.1746,2.9407,0.243658,3.89
multi,A,2,1,500,6,7,SIR,47.272,89.7523,0.165981,0.0
multi,A,2,1,500,6,7,OLS,9.4498,9.4498,0.326148,0.0
multi,A,2,1,500,6,7,dCor-SDR (joint),3.141,4.0998,0.258962,5.691
multi,A,2,1,500,6,123,dCor-SDR,2.7876,3.7169,0.382524,1.019
multi,A,2,1,500,6,123,Sheng-Yin,2.6079,2.9066,0.305023,4.216
multi,A,2,1,500,6,123,SIR,43.4406,83.5385,0.246304,0.001
multi,A,2,1,500,6,123,OLS,4.9864,4.9864,0.489571,0.0
multi,A,2,1,500,6,123,dCor-SDR (joint),3.4871,3.9485,0.307831,6.208
multi,A,2,1,500,6,2024,dCor-SDR,3.7598,5.0328,0.272782,0.875
multi,A,2,1,500,6,2024,Sheng-Yin,2.5247,3.3985,0.266009,3.217
multi,A,2,1,500,6,2024,SIR,36.4368,69.7658,0.193047,0.0
multi,A,2,1,500,6,2024,OLS,5.1118,5.1118,0.373769,0.001
multi,A,2,1,500,6,2024,dCor-SDR (joint),3.5889,5.4054,0.26869,5.691
multi,A,2,1,500,6,5,dCor-SDR,3.215,3.7245,0.304895,0.9
multi,A,2,1,500,6,5,Sheng-Yin,2.2525,3.2336,0.277363,4.686
multi,A,2,1,500,6,5,SIR,31.8045,59.7551,0.23202,0.001
multi,A,2,1,500,6,5,OLS,2.0577,2.0577,0.452735,0.0
multi,A,2,1,500,6,5,dCor-SDR (joint),3.2092,3.656,0.29676,5.82
multi,A,2,1,500,20,42,dCor-SDR,9.5116,12.0439,0.335326,1.028
multi,A,2,1,500,20,42,Sheng-Yin,6.9924,8.1039,0.31541,14.908
multi,A,2,1,500,20,42,SIR,47.1341,84.7595,0.246576,0.0
multi,A,2,1,500,20,42,OLS,14.8783,14.8783,0.474304,0.0
multi,A,2,1,500,20,42,dCor-SDR (joint),9.5127,11.859,0.331457,6.603
multi,A,2,1,500,20,7,dCor-SDR,8.4473,9.2349,0.297151,1.077
multi,A,2,1,500,20,7,Sheng-Yin,6.9794,7.9855,0.26352,14.919
multi,A,2,1,500,20,7,SIR,48.4614,87.4177,0.191425,0.001
multi,A,2,1,500,20,7,OLS,16.1567,16.1567,0.357286,0.0
multi,A,2,1,500,20,7,dCor-SDR (joint),8.064,9.9162,0.27233,6.622
multi,A,2,1,500,20,123,dCor-SDR,10.4419,11.3926,0.314937,0.958
