# script: ch04_master_grid.py
# seeds: 42, 7, 123, 2024, 5
# sizes: [(500, 6), (500, 20)]
# noise_sd: 0.5
# n_restarts: 5
# joint_restarts: 20
# parts: (1,)
# n_perturb: 500
# max_iter: 150
# single_models: ['A', 'B', 'C', 'square', 'cubic', 'sum_squares']
# multi_models: ['A', 'B', 'sum_squares', 'product']
grid,model,k,part,n,p,seed,method,angle_mean,angle_max,dcor2_u,seconds
multi,B,2,1,500,20,123,dCor-SDR (joint),17.271,23.9133,0.277891,6.653
multi,B,2,1,500,20,2024,dCor-SDR,14.4342,16.2974,0.287012,1.131
multi,B,2,1,500,20,2024,Sheng-Yin,10.9978,14.5361,0.273819,13.112
multi,B,2,1,500,20,2024,SIR,14.2516,18.3419,0.264922,0.0
multi,B,2,1,500,20,2024,OLS,16.4214,16.4214,0.441446,0.001
multi,B,2,1,500,20,2024,dCor-SDR (joint),18.6578,23.6467,0.291163,6.309
multi,B,2,1,500,20,5,dCor-SDR,13.3207,17.3408,0.295022,0.949
multi,B,2,1,500,20,5,Sheng-Yin,15.4072,19.0089,0.254547,13.226
multi,B,2,1,500,20,5,SIR,15.9332,21.6102,0.254417,0.0
multi,B,2,1,500,20,5,OLS,19.7637,19.7637,0.411908,0.0
multi,B,2,1,500,20,5,dCor-SDR (joint),18.206,20.989,0.281024,6.291
multi,sum_squares,2,1,500,6,42,dCor-SDR,4.8796,6.1462,0.11867,0.829
multi,sum_squares,2,1,500,6,42,Sheng-Yin,4.0753,5.6597,0.120142,3.816
multi,sum_squares,2,1,500,6,42,SIR,63.906,77.7273,0.009181,0.0
multi,sum_squares,2,1,500,6,42,OLS,34.7796,34.7796,0.047455,0.0
multi,sum_squares,2,1,500,6,42,dCor-SDR (joint),4.6274,6.0434,0.120662,5.278
multi,sum_squares,2,1,500,6,7,dCor-SDR,3.6433,4.0477,0.117499,0.895
multi,sum_squares,2,1,500,6,7,Sheng-Yin,3.2009,4.267,0.121422,2.995
multi,sum_squares,2,1,500,6,7,SIR,71.5392,74.2177,0.008227,0.0
multi,sum_squares,2,1,500,6,7,OLS,64.514,64.514,0.015821,0.0
multi,sum_squares,2,1,500,6,7,dCor-SDR (joint),3.1218,4.4086,0.128417,5.423
multi,sum_squares,2,1,500,6,123,dCor-SDR,3.8924,5.3978,0.131466,0.934
multi,sum_squares,2,1,500,6,123,Sheng-Yin,3.8374,5.0384,0.130323,3.259
multi,sum_squares,2,1,500,6,123,SIR,47.3279,77.1909,0.04727,0.0
multi,sum_squares,2,1,500,6,123,OLS,52.3385,52.3385,0.013006,0.0
multi,sum_squares,2,1,500,6,123,dCor-SDR (joint),3.8994,5.3074,0.131993,5.372
multi,sum_squares,2,1,500,6,2024,dCor-SDR,4.1305,5.56,0.110459,0.753
multi,sum_squares,2,1,500,6,2024,Sheng-Yin,2.6972,3.3182,0.107929,2.57
multi,sum_squares,2,1,500,6,2024,SIR,44.051,74.229,0.040136,0.0
multi,sum_squares,2,1,500,6,2024,OLS,21.5653,21.5653,0.068907,0.0
multi,sum_squares,2,1,500,6,2024,dCor-SDR (joint),3.192,4.7523,0.110894,5.41
multi,sum_squares,2,1,500,6,5,dCor-SDR,4.0931,5.3325,0.118994,0.856
multi,sum_squares,2,1,500,6,5,Sheng-Yin,4.2925,6.258,0.115236,2.638
multi,sum_squares,2,1,500,6,5,SIR,66.5893,89.4639,0.010956,0.0
multi,sum_squares,2,1,500,6,5,OLS,31.5824,31.5824,0.064778,0.0
multi,sum_squares,2,1,500,6,5,dCor-SDR (joint),4.0115,5.1305,0.119626,5.047
multi,sum_squares,2,1,500,20,42,dCor-SDR,10.1613,10.3794,0.13809,1.085
multi,sum_squares,2,1,500,20,42,Sheng-Yin,7.8666,8.7153,0.133799,12.558
multi,sum_squares,2,1,500,20,42,SIR,83.7995,89.4151,0.012007,0.0
multi,sum_squares,2,1,500,20,42,OLS,84.9544,84.9544,0.004879,0.001
multi,sum_squares,2,1,500,20,42,dCor-SDR (joint),9.9114,10.0514,0.139886,6.586
multi,sum_squares,2,1,500,20,7,dCor-SDR,11.1572,12.2591,0.135438,1.051
multi,sum_squares,2,1,500,20,7,Sheng-Yin,9.3428,9.6191,0.114489,11.907
multi,sum_squares,2,1,500,20,7,SIR,77.6347,88.1907,0.013683,0.0
multi,sum_squares,2,1,500,20,7,OLS,78.8843,78.8843,0.00775,0.001
multi,sum_squares,2,1,500,20,7,dCor-SDR (joint),11.3582,12.5993,0.134193,6.679
multi,sum_squares,2,1,500,20,123,dCor-SDR,9.9758,12.1283,0.124874,1.049
multi,sum_squares,2,1,500,20,123,Sheng-Yin,9.124,9.6837,0.124668,12.95
multi,sum_squares,2,1,500,20,123,SIR,77.8662,83.5017,0.007484,0.0
multi,sum_squares,2,1,500,20,123,OLS,67.6708,67.6708,0.006354,0.0
multi,sum_squares,2,1,500,20,123,dCor-SDR (joint),10.351,12.4646,0.128219,6.326
multi,sum_squares,2,1,500,20,2024,dCor-SDR,9.705,11.5053,0.139891,1.021
multi,sum_squares,2,1,500,20,2024,Sheng-Yin,8.0083,8.6488,0.135901,12.24
multi,sum_squares,2,1,500,20,2024,SIR,77.3172,84.5876,0.014256,0.0
multi,sum_squares,2,1,500,20,2024,OLS,61.4635,61.4635,0.021703,0.001
multi,sum_squares,2,1,500,20,2024,dCor-SDR (joint),9.5975,10.5406,0.143548,6.416
multi,sum_squares,2,1,500,20,5,dCor-SDR,12.1789,14.8152,0.127256,1.059
multi,sum_squares,2,1,500,20,5,Sheng-Yin,8.8528,11.4663,0.116573,10.194
multi,sum_squares,2,1,500,20,5,SIR,67.3292,73.9,0.010948,0.0
multi,sum_squares,2,1,500,20,5,OLS,60.933,60.933,0.014683,0.001
multi,sum_squares,2,1,500,20,5,dCor-SDR (joint),11.2815,14.2004,0.131135,6.336
multi,product,2,1,500,6,42,dCor-SDR,3.6801,4.8571,0.09699,0.834
multi,product,2,1,500,6,42,Sheng-Yin,2.8342,4.3689,0.068323,2.588
multi,product,2,1,500,6,42,SIR,53.4387,72.3118,0.01232,0.001
multi,product,2,1,500,6,42,OLS,27.1122,27.1122,0.059768,0.001
multi,product,2,1,500,6,42,dCor-SDR (joint),3.8934,5.4246,0.096702,5.808
multi,product,2,1,500,6,7,dCor-SDR,4.7065,7.0457,0.080575,0.833
multi,product,2,1,500,6,7,Sheng-Yin,4.1176,6.2227,0.072069,3.029
multi,product,2,1,500,6,7,SIR,69.6478,89.2445,0.007748,0.0
multi,product,2,1,500,6,7,OLS,38.9955,38.9955,0.019756,0.001
multi,product,2,1,500,6,7,dCor-SDR (joint),5.1555,7.5018,0.087714,5.965
multi,product,2,1,500,6,123,dCor-SDR,5.6703,9.9976,0.098265,0.801
multi,product,2,1,500,6,123,Sheng-Yin,4.9452,8.3147,0.023208,2.462
multi,product,2,1,500,6,123,SIR,61.8997,82.8507,0.009665,0.001
multi,product,2,1,500,6,123,OLS,58.1178,58.1178,0.002369,0.0
multi,product,2,1,500,6,123,dCor-SDR (joint),5.1754,9.568,0.097494,5.797
multi,product,2,1,500,6,2024,dCor-SDR,5.7695,9.5809,0.079897,0.696
multi,product,2,1,500,6,2024,Sheng-Yin,5.2863,7.7603,0.065657,2.512
multi,product,2,1,500,6,2024,SIR,60.3675,63.8565,0.007287,0.0
multi,product,2,1,500,6,2024,OLS,70.1283,70.1283,0.010687,0.0
multi,product,2,1,500,6,2024,dCor-SDR (joint),5.7393,9.4087,0.083241,5.809
multi,product,2,1,500,6,5,dCor-SDR,6.7818,9.6839,0.092035,0.646
multi,product,2,1,500,6,5,Sheng-Yin,5.8047,8.5698,0.077023,4.07
multi,product,2,1,500,6,5,SIR,37.3031,41.5996,0.012115,0.0
multi,product,2,1,500,6,5,OLS,48.734,48.734,0.023681,0.0
multi,product,2,1,500,6,5,dCor-SDR (joint),6.8137,9.6706,0.09749,5.647
multi,product,2,1,500,20,42,dCor-SDR,10.0428,12.0128,0.093904,0.905
multi,product,2,1,500,20,42,Sheng-Yin,8.9527,11.1072,0.086291,13.366
multi,product,2,1,500,20,42,SIR,78.8426,85.1926,0.018415,0.0
multi,product,2,1,500,20,42,OLS,64.4143,64.4143,0.035504,0.0
multi,product,2,1,500,20,42,dCor-SDR (joint),10.3978,12.3471,0.098411,6.422
multi,product,2,1,500,20,7,dCor-SDR,11.2132,12.9331,0.111362,1.151
multi,product,2,1,500,20,7,Sheng-Yin,8.5343,9.1087,0.112386,11.512
multi,product,2,1,500,20,7,SIR,75.9605,83.6299,0.007499,0.001
multi,product,2,1,500,20,7,OLS,65.8638,65.8638,0.017656,0.0
multi,product,2,1,500,20,7,dCor-SDR (joint),12.8597,15.7672,0.109818,6.763
multi,product,2,1,500,20,123,dCor-SDR,11.1763,14.6556,0.093468,1.046
multi,product,2,1,500,20,123,Sheng-Yin,9.8143,12.8944,0.08106,13.926
multi,product,2,1,500,20,123,SIR,85.0652,87.2507,0.025264,0.0
multi,product,2,1,500,20,123,OLS,81.2864,81.2864,0.040937,0.001
multi,product,2,1,500,20,123,dCor-SDR (joint),42.2202,75.7733,0.08061,6.555
multi,product,2,1,500,20,2024,dCor-SDR,13.9654,16.895,0.099361,1.116
multi,product,2,1,500,20,2024,Sheng-Yin,12.92,15.0425,0.093084,16.973
multi,product,2,1,500,20,2024,SIR,67.6411,71.8712,0.026701,0.0
multi,product,2,1,500,20,2024,OLS,68.1321,68.1321,0.04379,0.0
multi,product,2,1,500,20,2024,dCor-SDR (joint),13.8279,16.5966,0.099403,6.326
multi,product,2,1,500,20,5,dCor-SDR,11.1636,12.7089,0.103021,0.994
multi,product,2,1,500,20,5,Sheng-Yin,10.1688,11.3295,0.055368,13.929
multi,product,2,1,500,20,5,SIR,76.3813,83.2641,0.005176,0.0
multi,product,2,1,500,20,5,OLS,81.2286,81.2286,0.015928,0.001
multi,product,2,1,500,20,5,dCor-SDR (joint),11.1242,12.7203,0.104636,6.513
