# script: ch03_sir_initialisation.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
# n_restarts: 3
seed,p,nonlinearity,noise,start,angle,dcor2,spread
42,5,square,0.0,sir1,87.38780039229182,0.02710695844304616,
42,5,square,0.0,random,1.472692893820133,0.2973519006524969,0.25447892265259064
42,5,square,0.0,sir,1.472692893820133,0.2973519006524969,0.25447892265259064
42,5,square,0.5,sir1,87.99303463608594,0.003507446323099017,
42,5,square,0.5,random,2.0833330623176414,0.23972485342611086,1.4743069984474166e-05
42,5,square,0.5,sir,1.9260893998275121,0.23971716701960982,0.222441491101744
42,5,square,1.0,sir1,75.6496041425783,0.0,
42,5,square,1.0,random,2.53056269578225,0.16869084854093,2.2477424373834598e-05
42,5,square,1.0,sir,2.53056269578225,0.16869084854093,2.2487708253249306e-05
42,5,square,2.0,sir1,61.439056894007514,0.003746887035051946,
42,5,square,2.0,random,3.539433083038553,0.08539602836066121,8.263677936201641e-06
42,5,square,2.0,sir,3.539433083038553,0.08539602836066121,0.07064736102593393
42,5,sine,0.0,sir1,73.436668996007,0.023336398499538516,
42,5,sine,0.0,random,80.57048439017812,0.03239580319408551,0.005396861274464922
42,5,sine,0.0,sir,80.62287185592677,0.03238430281384157,0.005385360894220977
42,5,sine,0.5,sir1,73.70702004696746,0.039972897188668685,
42,5,sine,0.5,random,70.12567907842268,0.04665801271731271,1.6846088392898084e-05
42,5,sine,0.5,sir,70.12567907842268,0.04665801271731271,1.6846088392898084e-05
42,5,sine,1.0,sir1,72.42771142912791,0.03678377086539739,
42,5,sine,1.0,random,69.87565800048267,0.042969403525901735,3.317206281655549e-05
42,5,sine,1.0,sir,69.94652589835054,0.042969126769500696,4.498471385333547e-05
42,5,sine,2.0,sir1,69.32697293415616,0.001475790517488353,
42,5,sine,2.0,random,70.726744032296,0.03455728414802722,0.0009415762234792832
42,5,sine,2.0,sir,70.726744032296,0.03455728414802722,0.0009415762234792832
42,5,abs,0.0,sir1,87.38780039229182,0.037167955190047716,
42,5,abs,0.0,random,1.3465853591809236,0.31423728465549383,0.30354184718452276
42,5,abs,0.0,sir,1.3780755762083432,0.3142364884301191,0.303541050959148
42,5,abs,0.5,sir1,73.36882785536119,0.0,
42,5,abs,0.5,random,2.559907786440367,0.18480568957139046,2.5980475925418967e-05
42,5,abs,0.5,sir,2.410801391995401,0.1847984556853479,1.874658988285094e-05
42,5,abs,1.0,sir1,31.50296591556133,0.03342187488531579,
42,5,abs,1.0,random,3.4802440275460986,0.0932096442266097,3.239868098188492e-05
42,5,abs,1.0,sir,3.3246536205869104,0.09318665156326433,5.0571104262375766e-05
42,5,abs,2.0,sir1,55.929054447279306,0.005105932807054207,
42,5,abs,2.0,random,4.0513544151427165,0.03775122009687711,0.022830280608946082
42,5,abs,2.0,sir,4.072839946159335,0.03775433842688325,0.00034140843424519673
42,5,cubic,0.0,sir1,1.3443466532899315,0.7682932444421857,
42,5,cubic,0.0,random,1.5928825931937904,0.7706476279439866,2.44085150568063e-05
42,5,cubic,0.0,sir,1.5928825931937904,0.7706476279439866,2.44085150568063e-05
42,5,cubic,0.5,sir1,5.87745476289849,0.7125065919019621,
42,5,cubic,0.5,random,1.8229517305566998,0.717904533866364,1.4514364101603228e-05
42,5,cubic,0.5,sir,1.9668050916907909,0.7178993265000375,9.306997775127002e-06
42,5,cubic,1.0,sir1,7.867466794982848,0.6077064020660425,
42,5,cubic,1.0,random,3.980795787587962,0.6121490560202245,2.3939034706543794e-05
42,5,cubic,1.0,sir,3.980795787587962,0.6121490560202245,2.3939034706543794e-05
