# script: ch06_dcor_linear_vs_poly.py
# seeds: 0
maturity,d,anchor,r2_anchor,r2_dcorlin,mspe_anchor,mspe_dcorlin,DM,p
2,1,INPCA(k3)+lin,0.05495219632099424,0.21158993123235037,4.267948170162003,3.5605535479103727,1.508076923631217,0.1315348405430088
2,1,INPCA(k4)+lin,-0.11565563532093348,0.21158993123235037,5.038433409148701,3.5605535479103727,2.2953888421643622,0.021710850221064337
2,1,PCA+poly,0.15353331487855937,0.21158993123235037,3.822744125538678,3.5605535479103727,1.0077740998235059,0.3135629224769658
2,2,INPCA(k3)+lin,-0.04082210778232476,0.24239834144276529,4.700476307209701,3.4214191068045743,2.4587969599157637,0.013940343303138203
2,2,INPCA(k4)+lin,0.011018458978316992,0.24239834144276529,4.466358148123018,3.4214191068045743,2.355111114250443,0.018517167747391206
2,2,PCA+poly,0.2384670291803268,0.24239834144276529,3.439173380092647,3.4214191068045743,0.06472678312534534,0.9483915376817407
2,3,INPCA(k3)+lin,0.16400402758630261,0.22418766576125226,3.775457142840728,3.5036606819394613,0.9487469812844684,0.34274931304840295
2,3,INPCA(k4)+lin,0.18980330648905563,0.22418766576125226,3.6589445338956,3.5036606819394613,1.2118881100168932,0.22555521413601953
2,3,PCA+poly,0.19896363752798962,0.22418766576125226,3.6175753905110017,3.5036606819394613,0.47232052451147943,0.6366980225681738
2,4,INPCA(k3)+lin,0.1961046658719452,0.16561049828108043,3.630486846207167,3.768202130305378,-0.6417164400986775,0.5210573128196114
2,4,INPCA(k4)+lin,0.1999674368603599,0.16561049828108043,3.6130421134565274,3.768202130305378,-0.6982939087420637,0.48499340781871725
2,4,PCA+poly,0.2208312557563723,0.16561049828108043,3.5188186283236282,3.768202130305378,-1.0524123885897103,0.29261038725162924
2,5,INPCA(k3)+lin,0.17179161944244126,0.16203169035714893,3.7402874527118413,3.784364452116871,-0.2245854198680223,0.8223018084174256
2,5,INPCA(k4)+lin,0.18099924966904757,0.16203169035714893,3.6987047005757168,3.784364452116871,-0.4163700644652949,0.6771392302044268
2,5,PCA+poly,0.2016522354114434,0.16203169035714893,3.605433363015337,3.784364452116871,-0.8147261957717825,0.41522905520606157
2,6,INPCA(k3)+lin,0.1495841021273442,0.1871064028324524,3.8405792395609675,3.6711240712496833,0.7471016949461996,0.45500217716902824
2,6,INPCA(k4)+lin,0.15652855114459263,0.1871064028324524,3.809217282673106,3.6711240712496833,0.7105616205998694,0.4773559331396564
2,6,PCA+poly,0.1929160002635001,0.1871064028324524,3.64488723896597,3.6711240712496833,-0.20924467015679524,0.8342572424087458
2,7,INPCA(k3)+lin,0.17297524877332304,0.18686180489532833,3.734942042017037,3.6722287045963884,0.3397873014044415,0.7340167115697034
2,7,INPCA(k4)+lin,0.18485216951241046,0.18686180489532833,3.681304456766625,3.6722287045963884,0.063382627022041,0.9494618210605406
2,7,PCA+poly,0.2063820376467319,0.18686180489532833,3.5840730141348436,3.6722287045963884,-0.6330373049277044,0.5267092821247199
2,8,INPCA(k3)+lin,0.21370565244750817,0.18363859244366054,3.5509986995168275,3.686785115003974,-0.8561447897298124,0.3919176966353026
2,8,INPCA(k4)+lin,0.21462938379326035,0.18363859244366054,3.546827019003443,3.686785115003974,-0.8891481626147464,0.37392345762355994
2,8,PCA+poly,0.2689258791002641,0.18363859244366054,3.301617594792721,3.686785115003974,-2.0772780456799933,0.037775904160890716
3,1,INPCA(k3)+lin,0.053492807401232745,0.22063094195650879,15.122282279544308,12.451927452676365,1.8011438864152816,0.07168020405841036
3,1,INPCA(k4)+lin,-0.0717158929704711,0.22063094195650879,17.12273333335731,12.451927452676365,2.2940715686195863,0.021786388156118885
3,1,PCA+poly,0.13772054476514883,0.22063094195650879,13.776581338078351,12.451927452676365,1.4717173378744592,0.14109722367678756
