# script: ch04_deflation_strategies.py
# seeds: 42, 7, 123, 2024, 5
# rhos: 0.0, 0.5
# deflations: X_deflation, X_sigma, Y_residual
seed,config,k,p,n,nonlinearity,noise,rho,deflation,mean_angle,inter_dcor,orth_err,elapsed
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,5.5582,0.0,0.05225614,1.349
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,7.1372,0.091616,0.4962793,0.486
2024,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,8.4499,0.273566,0.77146711,0.606
5,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,X_sigma,6.514,0.117891,0.46425903,0.598
42,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,12.5392,0.90898,1.36549296,1.577
7,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,22.7359,0.997357,1.41266234,1.415
123,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,35.5899,0.999424,1.41390286,0.58
2024,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,10.714,0.876926,1.34482615,0.631
5,k2_p10_sumSq_noisy,2,10,400,sum_squares,0.5,0.0,Y_residual,12.8598,0.8753,1.34246725,0.616
42,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_deflation,6.869,0.055341,0.63104713,2.588
7,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_deflation,6.3481,0.1532,1.02850615,2.847
123,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_deflation,7.9848,0.142645,1.03894962,1.213
2024,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_deflation,7.1123,0.068082,0.65404079,1.393
5,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_deflation,9.7946,0.002841,0.3042794,1.374
42,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_sigma,6.516,0.010165,0.31414659,2.595
7,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_sigma,6.4081,0.159553,1.05902599,3.122
123,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_sigma,8.0396,0.122514,0.96847311,1.515
2024,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_sigma,7.0798,0.014219,0.31693097,1.478
5,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,X_sigma,9.3771,0.011263,0.41763054,1.248
42,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,Y_residual,21.5697,0.995312,2.4457604,2.921
7,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,Y_residual,15.9664,0.920918,2.37334194,3.396
123,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,Y_residual,35.1763,0.994987,2.44554435,1.393
2024,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,Y_residual,28.3371,0.700223,2.12956432,1.332
5,k3_p10_sumSq_noiseless,3,10,500,sum_squares,0.0,0.0,Y_residual,26.7289,0.984282,2.43566215,1.399
42,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_deflation,51.1218,0.004965,0.16128865,0.655
7,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_deflation,76.9055,0.00191,0.06708297,0.778
123,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_deflation,45.2146,0.173073,0.63490828,0.405
2024,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_deflation,77.2505,0.005248,0.08641579,0.294
5,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_deflation,54.2004,0.107829,0.44812664,0.362
42,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_sigma,49.8721,0.014693,0.21990633,0.693
7,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_sigma,78.1189,0.000382,0.04523373,0.759
123,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_sigma,2.743,0.0,0.05900066,0.418
2024,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_sigma,77.8439,0.001833,0.12559802,0.333
5,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,X_sigma,55.2551,0.138246,0.52252797,0.257
42,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,Y_residual,51.0703,0.007533,0.2158524,0.716
7,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,Y_residual,77.8106,0.008383,0.12127449,0.729
123,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,Y_residual,42.9345,0.04717,0.33536294,0.351
2024,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,Y_residual,68.1969,0.998839,1.41361755,0.346
5,k2_p5_sineProd_noiseless,2,5,400,sine_product,0.0,0.0,Y_residual,53.5949,0.082888,0.39774362,0.318
42,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_deflation,45.1169,0.032945,0.27468206,1.933
7,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_deflation,8.8087,0.007033,0.14397396,2.248
123,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_deflation,7.2184,0.0231,0.3258989,1.063
2024,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_deflation,9.2763,0.0,0.10391789,1.016
5,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_deflation,6.6624,0.0,0.0660156,1.018
42,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_sigma,8.6303,0.017159,0.16717912,2.044
7,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_sigma,8.7628,0.020173,0.23422315,2.337
123,k2_p20_product_noiseless,2,20,500,product,0.0,0.0,X_sigma,7.1754,0.032095,0.36889599,1.138
