# script: ch04_shengyin_2016_design.py
# seeds: 20260813
# replicates: accuracy block: 100 at n=100, 25 at n=500; scaling block: 5 at each p
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# scaling_block: model A part 1, n=500, p in {6, 20, 50, 100}
# methods: dCor-PP (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
block,model,part,n,p,d,rep,method,angle,delta_m,dcor2_u,seconds
accuracy,A,2,500,20,2,18,OLS,19.697,,0.409375,0.0
accuracy,A,2,500,20,2,19,dCor-PP (this thesis),10.5136,0.243347,0.304599,1.004
accuracy,A,2,500,20,2,19,Sheng-Yin (SQP),7.4452,0.169166,0.277429,14.044
accuracy,A,2,500,20,2,19,SIR,26.5947,0.627028,0.269626,0.0
accuracy,A,2,500,20,2,19,OLS,24.4336,,0.399546,0.0
accuracy,A,2,500,20,2,20,dCor-PP (this thesis),13.0302,0.268355,0.312284,0.962
accuracy,A,2,500,20,2,20,Sheng-Yin (SQP),9.599,0.215373,0.29572,14.004
accuracy,A,2,500,20,2,20,SIR,20.3931,0.461907,0.290948,0.0
accuracy,A,2,500,20,2,20,OLS,25.4794,,0.417862,0.0
accuracy,A,2,500,20,2,21,dCor-PP (this thesis),8.8918,0.213372,0.32384,1.108
accuracy,A,2,500,20,2,21,Sheng-Yin (SQP),8.278,0.183671,0.302491,13.243
accuracy,A,2,500,20,2,21,SIR,27.4041,0.691542,0.265142,0.0
accuracy,A,2,500,20,2,21,OLS,22.2367,,0.408091,0.0
accuracy,A,2,500,20,2,22,dCor-PP (this thesis),8.6287,0.170274,0.299607,0.999
accuracy,A,2,500,20,2,22,Sheng-Yin (SQP),6.4169,0.150144,0.294759,14.545
accuracy,A,2,500,20,2,22,SIR,18.1295,0.425189,0.275441,0.0
accuracy,A,2,500,20,2,22,OLS,21.8858,,0.402777,0.0
accuracy,A,2,500,20,2,23,dCor-PP (this thesis),7.9324,0.163498,0.318942,1.005
accuracy,A,2,500,20,2,23,Sheng-Yin (SQP),7.2137,0.154204,0.315361,13.915
accuracy,A,2,500,20,2,23,SIR,20.0058,0.481368,0.28022,0.001
accuracy,A,2,500,20,2,23,OLS,25.1595,,0.372303,0.0
accuracy,A,2,500,20,2,24,dCor-PP (this thesis),9.5786,0.219569,0.294847,1.036
accuracy,A,2,500,20,2,24,Sheng-Yin (SQP),7.2151,0.158173,0.274294,12.351
accuracy,A,2,500,20,2,24,SIR,22.0321,0.52452,0.262986,0.0
accuracy,A,2,500,20,2,24,OLS,22.2176,,0.351858,0.0
accuracy,A,3,100,6,2,0,dCor-PP (this thesis),1.8079,0.062614,0.582341,0.074
accuracy,A,3,100,6,2,0,Sheng-Yin (SQP),0.0097,0.000279,0.472289,0.087
accuracy,A,3,100,6,2,0,SIR,14.1891,0.374172,0.464698,0.0
accuracy,A,3,100,6,2,0,OLS,8.8281,,0.830403,0.0
accuracy,A,3,100,6,2,1,dCor-PP (this thesis),1.6884,0.058011,0.523305,0.068
accuracy,A,3,100,6,2,1,Sheng-Yin (SQP),0.011,0.00033,0.475347,0.086
accuracy,A,3,100,6,2,1,SIR,20.9779,0.575594,0.463992,0.0
accuracy,A,3,100,6,2,1,OLS,8.9434,,0.833239,0.0
accuracy,A,3,100,6,2,2,dCor-PP (this thesis),1.5455,0.053787,0.54943,0.096
accuracy,A,3,100,6,2,2,Sheng-Yin (SQP),0.0172,0.000423,0.503287,0.083
accuracy,A,3,100,6,2,2,SIR,16.1963,0.482157,0.481807,0.0
accuracy,A,3,100,6,2,2,OLS,7.1179,,0.86503,0.0
accuracy,A,3,100,6,2,3,dCor-PP (this thesis),2.1014,0.072986,0.551001,0.075
accuracy,A,3,100,6,2,3,Sheng-Yin (SQP),0.009,0.00028,0.526856,0.082
accuracy,A,3,100,6,2,3,SIR,20.009,0.574934,0.478396,0.0
accuracy,A,3,100,6,2,3,OLS,8.7815,,0.830358,0.0
accuracy,A,3,100,6,2,4,dCor-PP (this thesis),2.167,0.075169,0.510089,0.085
accuracy,A,3,100,6,2,4,Sheng-Yin (SQP),0.0002,4e-06,0.511873,0.089
accuracy,A,3,100,6,2,4,SIR,34.5367,0.916258,0.468741,0.0
accuracy,A,3,100,6,2,4,OLS,7.8914,,0.877719,0.0
accuracy,A,3,100,6,2,5,dCor-PP (this thesis),2.5231,0.087686,0.52633,0.084
accuracy,A,3,100,6,2,5,Sheng-Yin (SQP),0.0002,6e-06,0.491321,0.103
accuracy,A,3,100,6,2,5,SIR,10.5088,0.283909,0.507239,0.001
accuracy,A,3,100,6,2,5,OLS,7.3383,,0.816771,0.0
accuracy,A,3,100,6,2,6,dCor-PP (this thesis),1.7789,0.061637,0.518895,0.072
accuracy,A,3,100,6,2,6,Sheng-Yin (SQP),0.0292,0.000703,0.498223,0.076
accuracy,A,3,100,6,2,6,SIR,21.0546,0.635622,0.477765,0.0
accuracy,A,3,100,6,2,6,OLS,8.7243,,0.862299,0.0
accuracy,A,3,100,6,2,7,dCor-PP (this thesis),1.0752,0.03733,0.549702,0.08
accuracy,A,3,100,6,2,7,Sheng-Yin (SQP),0.1239,0.003561,0.473386,0.075
accuracy,A,3,100,6,2,7,SIR,17.531,0.479757,0.465799,0.0
accuracy,A,3,100,6,2,7,OLS,7.1662,,0.74646,0.0
accuracy,A,3,100,6,2,8,dCor-PP (this thesis),2.4731,0.084087,0.54516,0.083
accuracy,A,3,100,6,2,8,Sheng-Yin (SQP),0.005,0.00012,0.512573,0.086
accuracy,A,3,100,6,2,8,SIR,14.6162,0.379931,0.467907,0.0
accuracy,A,3,100,6,2,8,OLS,11.8614,,0.854736,0.001
accuracy,A,3,100,6,2,9,dCor-PP (this thesis),1.851,0.063889,0.552491,0.094
accuracy,A,3,100,6,2,9,Sheng-Yin (SQP),0.0014,3.2e-05,0.501644,0.094
accuracy,A,3,100,6,2,9,SIR,17.8223,0.524299,0.471053,0.0
accuracy,A,3,100,6,2,9,OLS,7.2491,,0.831695,0.001
accuracy,A,3,100,6,2,10,dCor-PP (this thesis),1.3391,0.046455,0.524383,0.089
accuracy,A,3,100,6,2,10,Sheng-Yin (SQP),0.0198,0.000544,0.482009,0.079
accuracy,A,3,100,6,2,10,SIR,25.9001,0.756785,0.465143,0.0
accuracy,A,3,100,6,2,10,OLS,5.6064,,0.852793,0.0
accuracy,A,3,100,6,2,11,dCor-PP (this thesis),6.1265,0.133401,0.621713,0.072
accuracy,A,3,100,6,2,11,Sheng-Yin (SQP),0.0007,1.8e-05,0.515947,0.1
accuracy,A,3,100,6,2,11,SIR,16.3093,0.50133,0.503934,0.0
accuracy,A,3,100,6,2,11,OLS,5.7349,,0.888463,0.0
accuracy,A,3,100,6,2,12,dCor-PP (this thesis),41.2059,0.98338,0.527124,0.058
accuracy,A,3,100,6,2,12,Sheng-Yin (SQP),0.0073,0.000205,0.481609,0.091
accuracy,A,3,100,6,2,12,SIR,21.6511,0.646319,0.461958,0.0
accuracy,A,3,100,6,2,12,OLS,6.8542,,0.902911,0.0
accuracy,A,3,100,6,2,13,dCor-PP (this thesis),2.421,0.08403,0.585121,0.081
accuracy,A,3,100,6,2,13,Sheng-Yin (SQP),0.4737,0.015178,0.450519,0.069
accuracy,A,3,100,6,2,13,SIR,22.9389,0.647238,0.470726,0.001
accuracy,A,3,100,6,2,13,OLS,5.7388,,0.794798,0.001
accuracy,A,3,100,6,2,14,dCor-PP (this thesis),4.3435,0.09765,0.566541,0.077
accuracy,A,3,100,6,2,14,Sheng-Yin (SQP),0.0022,5.4e-05,0.44435,0.094
accuracy,A,3,100,6,2,14,SIR,12.6106,0.348278,0.48494,0.001
accuracy,A,3,100,6,2,14,OLS,7.9897,,0.824664,0.0
accuracy,A,3,100,6,2,15,dCor-PP (this thesis),1.9375,0.067332,0.568952,0.07
accuracy,A,3,100,6,2,15,Sheng-Yin (SQP),0.0153,0.000379,0.443851,0.075
accuracy,A,3,100,6,2,15,SIR,23.6741,0.655689,0.472892,0.0
accuracy,A,3,100,6,2,15,OLS,12.8911,,0.843519,0.0
accuracy,A,3,100,6,2,16,dCor-PP (this thesis),1.7203,0.05997,0.510003,0.083
accuracy,A,3,100,6,2,16,Sheng-Yin (SQP),0.0025,6.1e-05,0.500389,0.095
accuracy,A,3,100,6,2,16,SIR,19.2694,0.584849,0.481284,0.0
accuracy,A,3,100,6,2,16,OLS,7.7254,,0.890647,0.0
accuracy,A,3,100,6,2,17,dCor-PP (this thesis),4.5125,0.124842,0.521718,0.076
accuracy,A,3,100,6,2,17,Sheng-Yin (SQP),0.0608,0.001838,0.50743,0.072
accuracy,A,3,100,6,2,17,SIR,14.0874,0.384437,0.480072,0.0
accuracy,A,3,100,6,2,17,OLS,9.2844,,0.859035,0.0
accuracy,A,3,100,6,2,18,dCor-PP (this thesis),11.1138,0.338567,0.644962,0.078
accuracy,A,3,100,6,2,18,Sheng-Yin (SQP),0.0049,8.9e-05,0.498718,0.089
accuracy,A,3,100,6,2,18,SIR,11.8965,0.344982,0.499053,0.001
accuracy,A,3,100,6,2,18,OLS,6.9359,,0.858045,0.0
accuracy,A,3,100,6,2,19,dCor-PP (this thesis),1.9816,0.068989,0.548627,0.096
accuracy,A,3,100,6,2,19,Sheng-Yin (SQP),0.0076,0.000164,0.49062,0.096
accuracy,A,3,100,6,2,19,SIR,11.5213,0.288507,0.494616,0.0
accuracy,A,3,100,6,2,19,OLS,4.9363,,0.824396,0.0
accuracy,A,3,100,6,2,20,dCor-PP (this thesis),14.019,0.446009,0.529339,0.064
accuracy,A,3,100,6,2,20,Sheng-Yin (SQP),0.1532,0.004354,0.495314,0.078
accuracy,A,3,100,6,2,20,SIR,8.0622,0.195907,0.516117,0.0
accuracy,A,3,100,6,2,20,OLS,9.2738,,0.814323,0.0
accuracy,A,3,100,6,2,21,dCor-PP (this thesis),8.3749,0.282067,0.504727,0.065
accuracy,A,3,100,6,2,21,Sheng-Yin (SQP),0.0059,0.000152,0.495255,0.092
accuracy,A,3,100,6,2,21,SIR,14.8404,0.438254,0.488411,0.001
accuracy,A,3,100,6,2,21,OLS,6.8651,,0.882026,0.0
accuracy,A,3,100,6,2,22,dCor-PP (this thesis),1.0868,0.037701,0.534317,0.079
accuracy,A,3,100,6,2,22,Sheng-Yin (SQP),0.0037,0.000102,0.493964,0.089
accuracy,A,3,100,6,2,22,SIR,22.5063,0.630893,0.455685,0.0
accuracy,A,3,100,6,2,22,OLS,5.3703,,0.881467,0.0
accuracy,A,3,100,6,2,23,dCor-PP (this thesis),1.2694,0.043866,0.530166,0.081
accuracy,A,3,100,6,2,23,Sheng-Yin (SQP),0.075,0.002234,0.496321,0.082
accuracy,A,3,100,6,2,23,SIR,28.1933,0.800552,0.472,0.0
accuracy,A,3,100,6,2,23,OLS,7.5357,,0.850543,0.0
accuracy,A,3,100,6,2,24,dCor-PP (this thesis),2.3418,0.081019,0.503484,0.09
accuracy,A,3,100,6,2,24,Sheng-Yin (SQP),0.0022,4.5e-05,0.474644,0.098
accuracy,A,3,100,6,2,24,SIR,12.119,0.341849,0.473768,0.0
accuracy,A,3,100,6,2,24,OLS,8.8023,,0.846068,0.0
accuracy,A,3,100,6,2,25,dCor-PP (this thesis),2.6183,0.090793,0.666154,0.072
accuracy,A,3,100,6,2,25,Sheng-Yin (SQP),0.0117,0.000324,0.479194,0.085
accuracy,A,3,100,6,2,25,SIR,12.7986,0.397848,0.493178,0.0
accuracy,A,3,100,6,2,25,OLS,7.2847,,0.882218,0.0
accuracy,A,3,100,6,2,26,dCor-PP (this thesis),1.4114,0.049113,0.541952,0.08
accuracy,A,3,100,6,2,26,Sheng-Yin (SQP),0.0054,0.000178,0.498293,0.089
accuracy,A,3,100,6,2,26,SIR,29.0714,0.804894,0.476996,0.001
accuracy,A,3,100,6,2,26,OLS,6.5402,,0.894794,0.0
accuracy,A,3,100,6,2,27,dCor-PP (this thesis),2.7328,0.05798,0.578429,0.062
accuracy,A,3,100,6,2,27,Sheng-Yin (SQP),0.0042,9.6e-05,0.503445,0.087
accuracy,A,3,100,6,2,27,SIR,21.942,0.647291,0.459245,0.0
accuracy,A,3,100,6,2,27,OLS,7.5807,,0.854666,0.0
accuracy,A,3,100,6,2,28,dCor-PP (this thesis),1.7312,0.059749,0.543353,0.094
accuracy,A,3,100,6,2,28,Sheng-Yin (SQP),0.0071,0.000168,0.458556,0.083
accuracy,A,3,100,6,2,28,SIR,8.8674,0.205279,0.497156,0.0
accuracy,A,3,100,6,2,28,OLS,5.4679,,0.856982,0.001
accuracy,A,3,100,6,2,29,dCor-PP (this thesis),46.7419,0.999878,0.478631,0.074
accuracy,A,3,100,6,2,29,Sheng-Yin (SQP),0.0343,0.000893,0.475669,0.093
accuracy,A,3,100,6,2,29,SIR,19.5715,0.526829,0.467279,0.001
accuracy,A,3,100,6,2,29,OLS,8.8556,,0.80845,0.0
accuracy,A,3,100,6,2,30,dCor-PP (this thesis),2.0352,0.070709,0.532847,0.094
accuracy,A,3,100,6,2,30,Sheng-Yin (SQP),0.018,0.000498,0.478794,0.085
accuracy,A,3,100,6,2,30,SIR,14.958,0.462209,0.49176,0.0
accuracy,A,3,100,6,2,30,OLS,7.2068,,0.893302,0.0
accuracy,A,3,100,6,2,31,dCor-PP (this thesis),1.2803,0.044316,0.552064,0.088
accuracy,A,3,100,6,2,31,Sheng-Yin (SQP),0.0048,0.000107,0.539213,0.087
accuracy,A,3,100,6,2,31,SIR,25.0935,0.728097,0.48695,0.001
accuracy,A,3,100,6,2,31,OLS,5.7059,,0.883039,0.0
accuracy,A,3,100,6,2,32,dCor-PP (this thesis),10.2417,0.293111,0.519274,0.065
accuracy,A,3,100,6,2,32,Sheng-Yin (SQP),0.371,0.011282,0.47203,0.073
accuracy,A,3,100,6,2,32,SIR,15.5152,0.370795,0.465546,0.0
accuracy,A,3,100,6,2,32,OLS,8.7921,,0.813119,0.0
accuracy,A,3,100,6,2,33,dCor-PP (this thesis),4.798,0.102641,0.503924,0.075
accuracy,A,3,100,6,2,33,Sheng-Yin (SQP),0.014,0.000372,0.497473,0.09
accuracy,A,3,100,6,2,33,SIR,20.3298,0.599881,0.471773,0.0
accuracy,A,3,100,6,2,33,OLS,8.3932,,0.843675,0.0
accuracy,A,3,100,6,2,34,dCor-PP (this thesis),14.8854,0.447061,0.560249,0.061
accuracy,A,3,100,6,2,34,Sheng-Yin (SQP),0.0596,0.001773,0.509273,0.067
accuracy,A,3,100,6,2,34,SIR,18.9085,0.560363,0.466838,0.0
accuracy,A,3,100,6,2,34,OLS,9.3361,,0.829576,0.0
accuracy,A,3,100,6,2,35,dCor-PP (this thesis),1.3667,0.047387,0.507833,0.081
accuracy,A,3,100,6,2,35,Sheng-Yin (SQP),0.014,0.000426,0.499778,0.079
accuracy,A,3,100,6,2,35,SIR,9.9404,0.319044,0.482962,0.0
accuracy,A,3,100,6,2,35,OLS,6.0752,,0.909651,0.0
accuracy,A,3,100,6,2,36,dCor-PP (this thesis),0.9842,0.033701,0.58757,0.065
accuracy,A,3,100,6,2,36,Sheng-Yin (SQP),0.0138,0.00028,0.508198,0.082
accuracy,A,3,100,6,2,36,SIR,24.7148,0.702908,0.460867,0.0
accuracy,A,3,100,6,2,36,OLS,5.1135,,0.904582,0.001
accuracy,A,3,100,6,2,37,dCor-PP (this thesis),1.1732,0.040661,0.53444,0.094
accuracy,A,3,100,6,2,37,Sheng-Yin (SQP),0.0104,0.000231,0.520523,0.085
accuracy,A,3,100,6,2,37,SIR,15.6536,0.44023,0.484067,0.0
accuracy,A,3,100,6,2,37,OLS,3.845,,0.829512,0.0
accuracy,A,3,100,6,2,38,dCor-PP (this thesis),8.8591,0.281052,0.52243,0.056
accuracy,A,3,100,6,2,38,Sheng-Yin (SQP),0.0045,0.000135,0.498424,0.097
accuracy,A,3,100,6,2,38,SIR,9.4487,0.282244,0.516814,0.0
accuracy,A,3,100,6,2,38,OLS,6.1086,,0.809873,0.0
accuracy,A,3,100,6,2,39,dCor-PP (this thesis),1.2083,0.041966,0.512979,0.08
accuracy,A,3,100,6,2,39,Sheng-Yin (SQP),0.0101,0.000226,0.491614,0.086
accuracy,A,3,100,6,2,39,SIR,12.9786,0.329114,0.463608,0.0
accuracy,A,3,100,6,2,39,OLS,6.6323,,0.842956,0.0
accuracy,A,3,100,6,2,40,dCor-PP (this thesis),1.9283,0.067062,0.569119,0.079
accuracy,A,3,100,6,2,40,Sheng-Yin (SQP),0.0739,0.00186,0.51402,0.077
accuracy,A,3,100,6,2,40,SIR,18.6103,0.526019,0.47639,0.001
accuracy,A,3,100,6,2,40,OLS,10.7945,,0.846742,0.0
accuracy,A,3,100,6,2,41,dCor-PP (this thesis),1.2207,0.042225,0.506959,0.097
accuracy,A,3,100,6,2,41,Sheng-Yin (SQP),0.0071,0.000208,0.449779,0.09
accuracy,A,3,100,6,2,41,SIR,24.2176,0.706144,0.447509,0.0
accuracy,A,3,100,6,2,41,OLS,10.758,,0.827519,0.0
accuracy,A,3,100,6,2,42,dCor-PP (this thesis),1.6964,0.043274,0.604473,0.081
accuracy,A,3,100,6,2,42,Sheng-Yin (SQP),1.1629,0.034625,0.445909,0.067
accuracy,A,3,100,6,2,42,SIR,7.7287,0.18976,0.484752,0.001
accuracy,A,3,100,6,2,42,OLS,8.4701,,0.842174,0.0
accuracy,A,3,100,6,2,43,dCor-PP (this thesis),2.6146,0.090797,0.535361,0.085
accuracy,A,3,100,6,2,43,Sheng-Yin (SQP),0.0086,0.000242,0.55118,0.083
accuracy,A,3,100,6,2,43,SIR,15.271,0.464081,0.50111,0.0
accuracy,A,3,100,6,2,43,OLS,6.8915,,0.883542,0.001
accuracy,A,3,100,6,2,44,dCor-PP (this thesis),2.0398,0.071055,0.515074,0.087
accuracy,A,3,100,6,2,44,Sheng-Yin (SQP),0.0052,9.9e-05,0.499509,0.085
accuracy,A,3,100,6,2,44,SIR,12.007,0.325514,0.490699,0.0
accuracy,A,3,100,6,2,44,OLS,6.0886,,0.871634,0.0
accuracy,A,3,100,6,2,45,dCor-PP (this thesis),2.1042,0.073234,0.538081,0.073
accuracy,A,3,100,6,2,45,Sheng-Yin (SQP),0.005,0.000128,0.462678,0.077
accuracy,A,3,100,6,2,45,SIR,18.5666,0.568405,0.491803,0.0
accuracy,A,3,100,6,2,45,OLS,6.093,,0.875999,0.0
accuracy,A,3,100,6,2,46,dCor-PP (this thesis),10.11,0.297351,0.56735,0.074
accuracy,A,3,100,6,2,46,Sheng-Yin (SQP),0.524,0.017722,0.480096,0.086
accuracy,A,3,100,6,2,46,SIR,20.5397,0.61283,0.472858,0.0
accuracy,A,3,100,6,2,46,OLS,5.4781,,0.877863,0.0
accuracy,A,3,100,6,2,47,dCor-PP (this thesis),1.0273,0.035687,0.513055,0.087
accuracy,A,3,100,6,2,47,Sheng-Yin (SQP),0.2061,0.006198,0.479789,0.071
accuracy,A,3,100,6,2,47,SIR,14.7272,0.35198,0.466494,0.0
accuracy,A,3,100,6,2,47,OLS,5.1436,,0.897676,0.0
accuracy,A,3,100,6,2,48,dCor-PP (this thesis),13.4531,0.394171,0.526883,0.066
accuracy,A,3,100,6,2,48,Sheng-Yin (SQP),0.0123,0.000328,0.498822,0.087
accuracy,A,3,100,6,2,48,SIR,14.5187,0.430619,0.475773,0.0
accuracy,A,3,100,6,2,48,OLS,8.2681,,0.865162,0.0
accuracy,A,3,100,6,2,49,dCor-PP (this thesis),1.9498,0.066628,0.512627,0.083
accuracy,A,3,100,6,2,49,Sheng-Yin (SQP),0.0323,0.001024,0.507641,0.088
accuracy,A,3,100,6,2,49,SIR,19.0492,0.558869,0.484074,0.001
accuracy,A,3,100,6,2,49,OLS,8.0254,,0.844453,0.0
accuracy,A,3,100,6,2,50,dCor-PP (this thesis),8.5797,0.241259,0.533925,0.077
accuracy,A,3,100,6,2,50,Sheng-Yin (SQP),1.0468,0.030925,0.493449,0.066
accuracy,A,3,100,6,2,50,SIR,12.0772,0.276596,0.478447,0.0
accuracy,A,3,100,6,2,50,OLS,5.1747,,0.856288,0.0
accuracy,A,3,100,6,2,51,dCor-PP (this thesis),1.2344,0.042588,0.573203,0.07
accuracy,A,3,100,6,2,51,Sheng-Yin (SQP),0.0176,0.000353,0.456877,0.103
accuracy,A,3,100,6,2,51,SIR,19.0648,0.556249,0.455202,0.0
accuracy,A,3,100,6,2,51,OLS,7.222,,0.865843,0.0
accuracy,A,3,100,6,2,52,dCor-PP (this thesis),1.7976,0.062458,0.584291,0.081
accuracy,A,3,100,6,2,52,Sheng-Yin (SQP),0.0008,1.9e-05,0.504787,0.099
accuracy,A,3,100,6,2,52,SIR,20.3499,0.632689,0.464925,0.001
accuracy,A,3,100,6,2,52,OLS,7.1847,,0.851348,0.0
accuracy,A,3,100,6,2,53,dCor-PP (this thesis),3.3467,0.116007,0.571316,0.088
accuracy,A,3,100,6,2,53,Sheng-Yin (SQP),0.0013,3.7e-05,0.495972,0.088
accuracy,A,3,100,6,2,53,SIR,7.3051,0.167865,0.48786,0.0
accuracy,A,3,100,6,2,53,OLS,9.049,,0.867125,0.0
accuracy,A,3,100,6,2,54,dCor-PP (this thesis),2.1875,0.075775,0.555754,0.078
accuracy,A,3,100,6,2,54,Sheng-Yin (SQP),0.0053,0.000163,0.461961,0.087
accuracy,A,3,100,6,2,54,SIR,15.2171,0.462199,0.477855,0.001
accuracy,A,3,100,6,2,54,OLS,5.7344,,0.864138,0.0
accuracy,A,3,100,6,2,55,dCor-PP (this thesis),1.8371,0.063924,0.492657,0.091
accuracy,A,3,100,6,2,55,Sheng-Yin (SQP),0.0173,0.000383,0.4428,0.074
accuracy,A,3,100,6,2,55,SIR,17.3643,0.528211,0.469986,0.0
accuracy,A,3,100,6,2,55,OLS,9.4357,,0.886772,0.0
accuracy,A,3,100,6,2,56,dCor-PP (this thesis),1.9732,0.068398,0.527312,0.085
accuracy,A,3,100,6,2,56,Sheng-Yin (SQP),0.0046,0.000124,0.508856,0.085
accuracy,A,3,100,6,2,56,SIR,16.8316,0.481815,0.474573,0.0
accuracy,A,3,100,6,2,56,OLS,4.5395,,0.86575,0.0
accuracy,A,3,100,6,2,57,dCor-PP (this thesis),1.2828,0.044652,0.53172,0.089
accuracy,A,3,100,6,2,57,Sheng-Yin (SQP),0.0163,0.000445,0.497381,0.079
accuracy,A,3,100,6,2,57,SIR,14.8092,0.477497,0.486421,0.0
accuracy,A,3,100,6,2,57,OLS,8.2873,,0.868446,0.0
accuracy,A,3,100,6,2,58,dCor-PP (this thesis),1.9162,0.066437,0.552217,0.082
accuracy,A,3,100,6,2,58,Sheng-Yin (SQP),0.0005,1.7e-05,0.53968,0.101
accuracy,A,3,100,6,2,58,SIR,25.3889,0.718137,0.453938,0.0
accuracy,A,3,100,6,2,58,OLS,4.511,,0.879592,0.0
accuracy,A,3,100,6,2,59,dCor-PP (this thesis),2.2153,0.076888,0.5146,0.081
accuracy,A,3,100,6,2,59,Sheng-Yin (SQP),0.009,0.000206,0.442623,0.081
accuracy,A,3,100,6,2,59,SIR,17.1976,0.49131,0.483911,0.0
accuracy,A,3,100,6,2,59,OLS,7.8906,,0.904846,0.0
accuracy,A,3,100,6,2,60,dCor-PP (this thesis),4.665,0.127096,0.504732,0.077
accuracy,A,3,100,6,2,60,Sheng-Yin (SQP),0.2524,0.008364,0.454915,0.075
accuracy,A,3,100,6,2,60,SIR,14.1413,0.415987,0.488211,0.0
accuracy,A,3,100,6,2,60,OLS,6.7727,,0.87488,0.001
accuracy,A,3,100,6,2,61,dCor-PP (this thesis),1.2846,0.04438,0.520373,0.089
accuracy,A,3,100,6,2,61,Sheng-Yin (SQP),0.0024,6e-05,0.486927,0.086
accuracy,A,3,100,6,2,61,SIR,31.3998,0.863583,0.445481,0.0
accuracy,A,3,100,6,2,61,OLS,7.5556,,0.861341,0.0
accuracy,A,3,100,6,2,62,dCor-PP (this thesis),30.8516,0.851934,0.664978,0.063
accuracy,A,3,100,6,2,62,Sheng-Yin (SQP),0.0085,0.000214,0.503484,0.083
accuracy,A,3,100,6,2,62,SIR,11.0256,0.335282,0.490127,0.0
accuracy,A,3,100,6,2,62,OLS,6.0539,,0.892899,0.0
accuracy,A,3,100,6,2,63,dCor-PP (this thesis),2.3626,0.082189,0.526215,0.079
accuracy,A,3,100,6,2,63,Sheng-Yin (SQP),0.0033,7.6e-05,0.417521,0.094
accuracy,A,3,100,6,2,63,SIR,42.6031,0.991103,0.445529,0.0
accuracy,A,3,100,6,2,63,OLS,8.151,,0.843423,0.0
accuracy,A,3,100,6,2,64,dCor-PP (this thesis),2.5156,0.087294,0.595808,0.081
accuracy,A,3,100,6,2,64,Sheng-Yin (SQP),0.0135,0.000436,0.451877,0.084
accuracy,A,3,100,6,2,64,SIR,22.821,0.678979,0.459781,0.0
accuracy,A,3,100,6,2,64,OLS,5.6099,,0.847798,0.0
accuracy,A,3,100,6,2,65,dCor-PP (this thesis),2.0186,0.070178,0.518719,0.074
accuracy,A,3,100,6,2,65,Sheng-Yin (SQP),0.0081,0.000249,0.482499,0.09
accuracy,A,3,100,6,2,65,SIR,17.173,0.531623,0.458361,0.0
accuracy,A,3,100,6,2,65,OLS,10.0224,,0.874288,0.001
accuracy,A,3,100,6,2,66,dCor-PP (this thesis),2.5816,0.089733,0.63924,0.085
accuracy,A,3,100,6,2,66,Sheng-Yin (SQP),0.004,9.3e-05,0.520513,0.09
accuracy,A,3,100,6,2,66,SIR,21.785,0.649579,0.466125,0.0
accuracy,A,3,100,6,2,66,OLS,7.1161,,0.833743,0.0
accuracy,A,3,100,6,2,67,dCor-PP (this thesis),11.6545,0.363943,0.512664,0.078
accuracy,A,3,100,6,2,67,Sheng-Yin (SQP),0.0075,0.000177,0.48926,0.085
accuracy,A,3,100,6,2,67,SIR,10.0326,0.302715,0.499041,0.0
accuracy,A,3,100,6,2,67,OLS,6.6873,,0.867318,0.0
accuracy,A,3,100,6,2,68,dCor-PP (this thesis),1.8256,0.063197,0.635246,0.085
accuracy,A,3,100,6,2,68,Sheng-Yin (SQP),0.0014,3.3e-05,0.483601,0.1
accuracy,A,3,100,6,2,68,SIR,14.0657,0.391526,0.506948,0.0
accuracy,A,3,100,6,2,68,OLS,5.0452,,0.877047,0.001
accuracy,A,3,100,6,2,69,dCor-PP (this thesis),0.8589,0.029812,0.522982,0.093
accuracy,A,3,100,6,2,69,Sheng-Yin (SQP),0.0006,2.1e-05,0.430234,0.096
accuracy,A,3,100,6,2,69,SIR,11.2325,0.283393,0.470758,0.0
accuracy,A,3,100,6,2,69,OLS,6.4859,,0.885275,0.0
accuracy,A,3,100,6,2,70,dCor-PP (this thesis),4.4718,0.099028,0.537854,0.067
accuracy,A,3,100,6,2,70,Sheng-Yin (SQP),0.002,5.3e-05,0.512942,0.093
accuracy,A,3,100,6,2,70,SIR,20.5354,0.600363,0.489484,0.001
accuracy,A,3,100,6,2,70,OLS,5.4504,,0.887599,0.0
accuracy,A,3,100,6,2,71,dCor-PP (this thesis),1.728,0.060155,0.589452,0.091
accuracy,A,3,100,6,2,71,Sheng-Yin (SQP),0.0014,2.5e-05,0.503356,0.098
accuracy,A,3,100,6,2,71,SIR,11.9355,0.340565,0.479419,0.0
accuracy,A,3,100,6,2,71,OLS,5.1094,,0.901436,0.0
accuracy,A,3,100,6,2,72,dCor-PP (this thesis),15.0694,0.441524,0.558563,0.072
accuracy,A,3,100,6,2,72,Sheng-Yin (SQP),0.0092,0.000258,0.496723,0.081
accuracy,A,3,100,6,2,72,SIR,8.259,0.266406,0.497325,0.0
accuracy,A,3,100,6,2,72,OLS,5.2372,,0.896237,0.0
accuracy,A,3,100,6,2,73,dCor-PP (this thesis),18.2131,0.537593,0.505696,0.065
