# script: ch04_shengyin_2016_design.py
# seeds: 20260813
# replicates: accuracy block: 100 at n=100, 25 at n=500; scaling block: 5 at each p
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# scaling_block: model A part 1, n=500, p in {6, 20, 50, 100}
# methods: dCor-PP (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
block,model,part,n,p,d,rep,method,angle,delta_m,dcor2_u,seconds
accuracy,A,1,100,6,2,17,dCor-PP (this thesis),7.4464,0.208939,0.339081,0.069
accuracy,A,1,100,6,2,17,Sheng-Yin (SQP),4.8176,0.125049,0.273631,0.071
accuracy,A,1,100,6,2,17,SIR,43.6818,0.980534,0.217319,0.0
accuracy,A,1,100,6,2,17,OLS,9.6336,,0.42846,0.0
accuracy,A,1,100,6,2,18,dCor-PP (this thesis),7.0817,0.185574,0.350209,0.058
accuracy,A,1,100,6,2,18,Sheng-Yin (SQP),5.5173,0.131943,0.286063,0.072
accuracy,A,1,100,6,2,18,SIR,27.2171,0.67109,0.240923,0.0
accuracy,A,1,100,6,2,18,OLS,16.2358,,0.460839,0.0
accuracy,A,1,100,6,2,19,dCor-PP (this thesis),7.3618,0.153479,0.339061,0.06
accuracy,A,1,100,6,2,19,Sheng-Yin (SQP),7.0384,0.139672,0.273986,0.067
accuracy,A,1,100,6,2,19,SIR,42.3318,0.986543,0.212864,0.0
accuracy,A,1,100,6,2,19,OLS,14.5424,,0.425751,0.0
accuracy,A,1,100,6,2,20,dCor-PP (this thesis),9.0738,0.273007,0.357965,0.06
accuracy,A,1,100,6,2,20,Sheng-Yin (SQP),8.4791,0.208929,0.278622,0.064
accuracy,A,1,100,6,2,20,SIR,49.0412,0.999866,0.214531,0.0
accuracy,A,1,100,6,2,20,OLS,22.9068,,0.385645,0.0
accuracy,A,1,100,6,2,21,dCor-PP (this thesis),6.6045,0.183624,0.301962,0.061
accuracy,A,1,100,6,2,21,Sheng-Yin (SQP),6.1419,0.163693,0.301562,0.063
accuracy,A,1,100,6,2,21,SIR,33.1162,0.891547,0.241179,0.0
accuracy,A,1,100,6,2,21,OLS,6.6201,,0.450037,0.0
accuracy,A,1,100,6,2,22,dCor-PP (this thesis),14.4383,0.360934,0.290518,0.06
accuracy,A,1,100,6,2,22,Sheng-Yin (SQP),12.719,0.260854,0.239959,0.067
accuracy,A,1,100,6,2,22,SIR,46.4867,0.997465,0.173652,0.0
accuracy,A,1,100,6,2,22,OLS,21.1178,,0.344732,0.0
accuracy,A,1,100,6,2,23,dCor-PP (this thesis),8.1188,0.190726,0.331408,0.069
accuracy,A,1,100,6,2,23,Sheng-Yin (SQP),7.0145,0.201662,0.300863,0.067
accuracy,A,1,100,6,2,23,SIR,31.7823,0.834459,0.262728,0.0
accuracy,A,1,100,6,2,23,OLS,3.2585,,0.518829,0.0
accuracy,A,1,100,6,2,24,dCor-PP (this thesis),6.9389,0.164373,0.212313,0.056
accuracy,A,1,100,6,2,24,Sheng-Yin (SQP),5.596,0.144826,0.204535,0.067
accuracy,A,1,100,6,2,24,SIR,45.2224,0.99612,0.111713,0.0
